data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
CharacterTrajectories,Crossformer,182,3,256,4,512,10,24,0.9596100278551533,11173492,47.66
CharacterTrajectories,Crossformer,182,3,256,4,512,10,12,0.9547353760445683,11230788,47.88
CharacterTrajectories,Crossformer,182,3,256,4,512,10,6,0.9442896935933147,11365164,48.39
CharacterTrajectories,Crossformer,182,3,256,4,512,3,24,0.9568245125348189,11148404,47.56
CharacterTrajectories,Crossformer,182,3,256,4,512,3,12,0.9449860724233984,11180612,47.68
CharacterTrajectories,Crossformer,182,3,256,4,512,3,6,0.9387186629526463,11266604,48.01
CharacterTrajectories,Crossformer,182,3,256,4,256,10,24,0.9540389972144847,9334900,40.64
CharacterTrajectories,Crossformer,182,3,256,4,256,10,12,0.9616991643454039,9392196,40.86
CharacterTrajectories,Crossformer,182,3,256,4,256,10,6,0.9658774373259053,9526572,41.37
CharacterTrajectories,Crossformer,182,3,256,4,256,3,24,0.9651810584958217,9309812,40.55
CharacterTrajectories,Crossformer,182,3,256,4,256,3,12,0.9596100278551533,9342020,40.67
CharacterTrajectories,Crossformer,182,3,256,4,256,3,6,0.9484679665738162,9428012,41.0
CharacterTrajectories,Crossformer,182,3,256,4,128,10,24,0.963091922005571,8415604,37.14
CharacterTrajectories,Crossformer,182,3,256,4,128,10,12,0.9463788300835655,8472900,37.35
CharacterTrajectories,Crossformer,182,3,256,4,128,10,6,0.9435933147632312,8607276,37.87
CharacterTrajectories,Crossformer,182,3,256,4,128,3,24,0.9610027855153204,8390516,37.04
CharacterTrajectories,Crossformer,182,3,256,4,128,3,12,0.9651810584958217,8422724,37.16
CharacterTrajectories,Crossformer,182,3,256,4,128,3,6,0.9575208913649025,8508716,37.49
CharacterTrajectories,Crossformer,182,3,256,4,64,10,24,0.9686629526462396,7955956,35.38
CharacterTrajectories,Crossformer,182,3,256,4,64,10,12,0.9498607242339833,8013252,35.6
CharacterTrajectories,Crossformer,182,3,256,4,64,10,6,0.9561281337047354,8147628,36.11
CharacterTrajectories,Crossformer,182,3,256,4,64,3,24,0.9644846796657381,7930868,35.29
CharacterTrajectories,Crossformer,182,3,256,4,64,3,12,0.9519498607242339,7963076,35.41
CharacterTrajectories,Crossformer,182,3,256,4,64,3,6,0.9540389972144847,8049068,35.74
CharacterTrajectories,Crossformer,182,3,128,4,512,10,24,0.9784122562674095,3755380,16.92
CharacterTrajectories,Crossformer,182,3,128,4,512,10,12,0.9832869080779945,3784004,17.03
CharacterTrajectories,Crossformer,182,3,128,4,512,10,6,0.9637883008356546,3851180,17.28
