data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
Cricket,Crossformer,1197,3,256,4,512,10,24,0.9305555555555556,11642476,49.45
Cricket,Crossformer,1197,3,256,4,512,10,12,0.9305555555555556,12147772,51.37
Cricket,Crossformer,1197,3,256,4,512,10,6,0.9027777777777778,13202468,55.4
Cricket,Crossformer,1197,3,256,4,512,3,24,0.9166666666666666,11484780,48.84
Cricket,Crossformer,1197,3,256,4,512,3,12,0.9583333333333334,11834172,50.18
Cricket,Crossformer,1197,3,256,4,512,3,6,0.9166666666666666,12575268,53.0
Cricket,Crossformer,1197,3,256,4,256,10,24,0.9305555555555556,9803884,42.43
Cricket,Crossformer,1197,3,256,4,256,10,12,0.9305555555555556,10309180,44.36
Cricket,Crossformer,1197,3,256,4,256,10,6,0.9444444444444444,11363876,48.38
Cricket,Crossformer,1197,3,256,4,256,3,24,0.9444444444444444,9646188,41.83
Cricket,Crossformer,1197,3,256,4,256,3,12,0.9027777777777778,9995580,43.16
Cricket,Crossformer,1197,3,256,4,256,3,6,0.9305555555555556,10736676,45.99
Cricket,Crossformer,1197,3,256,4,128,10,24,0.9444444444444444,8884588,38.93
Cricket,Crossformer,1197,3,256,4,128,10,12,0.9583333333333334,9389884,40.85
Cricket,Crossformer,1197,3,256,4,128,10,6,0.9444444444444444,10444580,44.88
Cricket,Crossformer,1197,3,256,4,128,3,24,0.9583333333333334,8726892,38.32
Cricket,Crossformer,1197,3,256,4,128,3,12,0.9305555555555556,9076284,39.66
Cricket,Crossformer,1197,3,256,4,128,3,6,0.9444444444444444,9817380,42.48
Cricket,Crossformer,1197,3,256,4,64,10,24,0.9444444444444444,8424940,37.17
Cricket,Crossformer,1197,3,256,4,64,10,12,0.9166666666666666,8930236,39.1
Cricket,Crossformer,1197,3,256,4,64,10,6,0.9722222222222222,9984932,43.12
Cricket,Crossformer,1197,3,256,4,64,3,24,0.9166666666666666,8267244,36.57
Cricket,Crossformer,1197,3,256,4,64,3,12,0.9444444444444444,8616636,37.9
Cricket,Crossformer,1197,3,256,4,64,3,6,0.9305555555555556,9357732,40.73
Cricket,Crossformer,1197,3,128,4,512,10,24,0.9583333333333334,3989868,17.81
Cricket,Crossformer,1197,3,128,4,512,10,12,0.9444444444444444,4242492,18.77
Cricket,Crossformer,1197,3,128,4,512,10,6,0.9166666666666666,4769828,20.79
Cricket,Crossformer,1197,3,128,4,512,3,24,0.9444444444444444,3911020,17.51
Cricket,Crossformer,1197,3,128,4,512,3,12,0.9444444444444444,4085692,18.18
Cricket,Crossformer,1197,3,128,4,512,3,6,0.9583333333333334,4456228,19.59
Cricket,Crossformer,1197,3,128,4,256,10,24,0.9444444444444444,3068780,14.3
Cricket,Crossformer,1197,3,128,4,256,10,12,0.9166666666666666,3321404,15.26
Cricket,Crossformer,1197,3,128,4,256,10,6,0.9444444444444444,3848740,17.27
Cricket,Crossformer,1197,3,128,4,256,3,24,0.9583333333333334,2989932,14.0
Cricket,Crossformer,1197,3,128,4,256,3,12,0.9305555555555556,3164604,14.66
Cricket,Crossformer,1197,3,128,4,256,3,6,0.9444444444444444,3535140,16.08
Cricket,Crossformer,1197,3,128,4,128,10,24,0.9583333333333334,2608236,12.54
Cricket,Crossformer,1197,3,128,4,128,10,12,0.9444444444444444,2860860,13.5
Cricket,Crossformer,1197,3,128,4,128,10,6,0.9444444444444444,3388196,15.52
Cricket,Crossformer,1197,3,128,4,128,3,24,0.9444444444444444,2529388,12.24
Cricket,Crossformer,1197,3,128,4,128,3,12,0.9305555555555556,2704060,12.91
Cricket,Crossformer,1197,3,128,4,128,3,6,0.9305555555555556,3074596,14.32
Cricket,Crossformer,1197,3,128,4,64,10,24,0.9027777777777778,2377964,11.66
Cricket,Crossformer,1197,3,128,4,64,10,12,0.9444444444444444,2630588,12.63
