data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
DuckDuckGeese,Crossformer,270,3,256,4,512,10,24,0.6,20451173,83.05
DuckDuckGeese,Crossformer,270,3,256,4,512,10,12,0.64,29439285,117.34
DuckDuckGeese,Crossformer,270,3,256,4,512,10,6,0.6,47436061,185.99
DuckDuckGeese,Crossformer,270,3,256,4,512,3,24,0.6,20413541,82.9
DuckDuckGeese,Crossformer,270,3,256,4,512,3,12,0.62,29365813,117.05
DuckDuckGeese,Crossformer,270,3,256,4,512,3,6,0.6,47292701,185.44
DuckDuckGeese,Crossformer,270,3,256,4,256,10,24,0.5,18612581,76.03
DuckDuckGeese,Crossformer,270,3,256,4,256,10,12,0.62,27600693,110.32
DuckDuckGeese,Crossformer,270,3,256,4,256,10,6,0.58,45597469,178.97
DuckDuckGeese,Crossformer,270,3,256,4,256,3,24,0.66,18574949,75.89
DuckDuckGeese,Crossformer,270,3,256,4,256,3,12,0.6,27527221,110.04
DuckDuckGeese,Crossformer,270,3,256,4,256,3,6,0.66,45454109,178.43
DuckDuckGeese,Crossformer,270,3,256,4,128,10,24,0.64,17693285,72.53
DuckDuckGeese,Crossformer,270,3,256,4,128,10,12,0.64,26681397,106.81
DuckDuckGeese,Crossformer,270,3,256,4,128,10,6,0.6,44678173,175.47
DuckDuckGeese,Crossformer,270,3,256,4,128,3,24,0.62,17655653,72.38
DuckDuckGeese,Crossformer,270,3,256,4,128,3,12,0.6,26607925,106.53
DuckDuckGeese,Crossformer,270,3,256,4,128,3,6,0.56,44534813,174.92
DuckDuckGeese,Crossformer,270,3,256,4,64,10,24,0.72,17233637,70.77
DuckDuckGeese,Crossformer,270,3,256,4,64,10,12,0.6,26221749,105.06
DuckDuckGeese,Crossformer,270,3,256,4,64,10,6,0.6,44218525,173.71
DuckDuckGeese,Crossformer,270,3,256,4,64,3,24,0.54,17196005,70.63
DuckDuckGeese,Crossformer,270,3,256,4,64,3,12,0.66,26148277,104.78
