data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
ERing,Crossformer,65,3,256,4,512,10,24,0.9592592592592593,11125350,47.47
ERing,Crossformer,65,3,256,4,512,10,12,0.9555555555555556,11131958,47.5
ERing,Crossformer,65,3,256,4,512,10,6,0.9518518518518518,11158558,47.6
ERing,Crossformer,65,3,256,4,512,3,24,0.9666666666666667,11114598,47.43
ERing,Crossformer,65,3,256,4,512,3,12,0.9555555555555556,11112246,47.42
ERing,Crossformer,65,3,256,4,512,3,6,0.9407407407407408,11122718,47.46
ERing,Crossformer,65,3,256,4,256,10,24,0.9740740740740741,9286758,40.46
ERing,Crossformer,65,3,256,4,256,10,12,0.9444444444444444,9293366,40.48
ERing,Crossformer,65,3,256,4,256,10,6,0.9481481481481482,9319966,40.59
ERing,Crossformer,65,3,256,4,256,3,24,0.9629629629629629,9276006,40.42
ERing,Crossformer,65,3,256,4,256,3,12,0.9481481481481482,9273654,40.41
ERing,Crossformer,65,3,256,4,256,3,6,0.9518518518518518,9284126,40.45
ERing,Crossformer,65,3,256,4,128,10,24,0.9666666666666667,8367462,36.95
ERing,Crossformer,65,3,256,4,128,10,12,0.9481481481481482,8374070,36.98
ERing,Crossformer,65,3,256,4,128,10,6,0.9555555555555556,8400670,37.08
ERing,Crossformer,65,3,256,4,128,3,24,0.9518518518518518,8356710,36.91
ERing,Crossformer,65,3,256,4,128,3,12,0.9518518518518518,8354358,36.9
ERing,Crossformer,65,3,256,4,128,3,6,0.9444444444444444,8364830,36.94
ERing,Crossformer,65,3,256,4,64,10,24,0.9592592592592593,7907814,35.2
ERing,Crossformer,65,3,256,4,64,10,12,0.9592592592592593,7914422,35.22
ERing,Crossformer,65,3,256,4,64,10,6,0.9592592592592593,7941022,35.33
ERing,Crossformer,65,3,256,4,64,3,24,0.9555555555555556,7897062,35.16
ERing,Crossformer,65,3,256,4,64,3,12,0.9407407407407408,7894710,35.15
ERing,Crossformer,65,3,256,4,64,3,6,0.9518518518518518,7905182,35.19
ERing,Crossformer,65,3,128,4,512,10,24,0.9555555555555556,3731302,16.82
ERing,Crossformer,65,3,128,4,512,10,12,0.9444444444444444,3734582,16.84
ERing,Crossformer,65,3,128,4,512,10,6,0.9444444444444444,3747870,16.89
ERing,Crossformer,65,3,128,4,512,3,24,0.9592592592592593,3725926,16.8
ERing,Crossformer,65,3,128,4,512,3,12,0.9481481481481482,3724726,16.8
ERing,Crossformer,65,3,128,4,512,3,6,0.9481481481481482,3729950,16.82
ERing,Crossformer,65,3,128,4,256,10,24,0.9555555555555556,2810214,13.31
ERing,Crossformer,65,3,128,4,256,10,12,0.937037037037037,2813494,13.32
ERing,Crossformer,65,3,128,4,256,10,6,0.9444444444444444,2826782,13.37
ERing,Crossformer,65,3,128,4,256,3,24,0.9481481481481482,2804838,13.29
ERing,Crossformer,65,3,128,4,256,3,12,0.9333333333333333,2803638,13.29
ERing,Crossformer,65,3,128,4,256,3,6,0.9444444444444444,2808862,13.31
ERing,Crossformer,65,3,128,4,128,10,24,0.9555555555555556,2349670,11.55
ERing,Crossformer,65,3,128,4,128,10,12,0.9444444444444444,2352950,11.57
ERing,Crossformer,65,3,128,4,128,10,6,0.937037037037037,2366238,11.62
ERing,Crossformer,65,3,128,4,128,3,24,0.9592592592592593,2344294,11.53
ERing,Crossformer,65,3,128,4,128,3,12,0.9555555555555556,2343094,11.53
ERing,Crossformer,65,3,128,4,128,3,6,0.9518518518518518,2348318,11.55
ERing,Crossformer,65,3,128,4,64,10,24,0.9592592592592593,2119398,10.68
ERing,Crossformer,65,3,128,4,64,10,12,0.937037037037037,2122678,10.69
ERing,Crossformer,65,3,128,4,64,10,6,0.9629629629629629,2135966,10.74
ERing,Crossformer,65,3,128,4,64,3,24,0.9518518518518518,2114022,10.66
ERing,Crossformer,65,3,128,4,64,3,12,0.9333333333333333,2112822,10.65
ERing,Crossformer,65,3,128,4,64,3,6,0.9481481481481482,2118046,10.67
ERing,Crossformer,65,3,64,4,512,10,24,0.9555555555555556,1410534,6.75
ERing,Crossformer,65,3,64,4,512,10,12,0.937037037037037,1412150,6.76
ERing,Crossformer,65,3,64,4,512,10,6,0.9407407407407408,1418782,6.78
ERing,Crossformer,65,3,64,4,512,3,24,0.9481481481481482,1407846,6.74
ERing,Crossformer,65,3,64,4,512,3,12,0.9555555555555556,1407222,6.74
ERing,Crossformer,65,3,64,4,512,3,6,0.9259259259259259,1409822,6.75
ERing,Crossformer,65,3,64,4,256,10,24,0.9703703703703703,948198,4.99
ERing,Crossformer,65,3,64,4,256,10,12,0.9444444444444444,949814,4.99
ERing,Crossformer,65,3,64,4,256,10,6,0.9444444444444444,956446,5.02
ERing,Crossformer,65,3,64,4,256,3,24,0.9703703703703703,945510,4.98
ERing,Crossformer,65,3,64,4,256,3,12,0.9592592592592593,944886,4.97
ERing,Crossformer,65,3,64,4,256,3,6,0.9555555555555556,947486,4.98
ERing,Crossformer,65,3,64,4,128,10,24,0.9592592592592593,717030,4.11
ERing,Crossformer,65,3,64,4,128,10,12,0.9518518518518518,718646,4.11
