data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
EthanolConcentration,Crossformer,1751,3,256,4,512,10,24,0.3688212927756654,11545444,49.08
EthanolConcentration,Crossformer,1751,3,256,4,512,10,12,0.35361216730038025,11966516,50.68
EthanolConcentration,Crossformer,1751,3,256,4,512,10,6,0.35361216730038025,12834332,53.99
EthanolConcentration,Crossformer,1751,3,256,4,512,3,24,0.3916349809885932,11314276,48.19
EthanolConcentration,Crossformer,1751,3,256,4,512,3,12,0.3574144486692015,11507764,48.93
EthanolConcentration,Crossformer,1751,3,256,4,512,3,6,0.3269961977186312,11918620,50.5
EthanolConcentration,Crossformer,1751,3,256,4,256,10,24,0.3650190114068441,9706852,42.06
EthanolConcentration,Crossformer,1751,3,256,4,256,10,12,0.3840304182509506,10127924,43.67
EthanolConcentration,Crossformer,1751,3,256,4,256,10,6,0.311787072243346,10995740,46.98
EthanolConcentration,Crossformer,1751,3,256,4,256,3,24,0.3840304182509506,9475684,41.18
EthanolConcentration,Crossformer,1751,3,256,4,256,3,12,0.3916349809885932,9669172,41.92
EthanolConcentration,Crossformer,1751,3,256,4,256,3,6,0.35361216730038025,10080028,43.49
EthanolConcentration,Crossformer,1751,3,256,4,128,10,24,0.38022813688212925,8787556,38.55
EthanolConcentration,Crossformer,1751,3,256,4,128,10,12,0.4068441064638783,9208628,40.16
EthanolConcentration,Crossformer,1751,3,256,4,128,10,6,0.34600760456273766,10076444,43.47
EthanolConcentration,Crossformer,1751,3,256,4,128,3,24,0.376425855513308,8556388,37.67
EthanolConcentration,Crossformer,1751,3,256,4,128,3,12,0.38022813688212925,8749876,38.41
EthanolConcentration,Crossformer,1751,3,256,4,128,3,6,0.34980988593155893,9160732,39.98
EthanolConcentration,Crossformer,1751,3,256,4,64,10,24,0.4068441064638783,8327908,36.8
EthanolConcentration,Crossformer,1751,3,256,4,64,10,12,0.40304182509505704,8748980,38.41
EthanolConcentration,Crossformer,1751,3,256,4,64,10,6,0.3193916349809886,9616796,41.72
EthanolConcentration,Crossformer,1751,3,256,4,64,3,24,0.3840304182509506,8096740,35.92
EthanolConcentration,Crossformer,1751,3,256,4,64,3,12,0.3574144486692015,8290228,36.66
EthanolConcentration,Crossformer,1751,3,256,4,64,3,6,0.3269961977186312,8701084,38.23
EthanolConcentration,Crossformer,1751,3,128,4,512,10,24,0.35361216730038025,3941348,17.63
EthanolConcentration,Crossformer,1751,3,128,4,512,10,12,0.3916349809885932,4151860,18.43
EthanolConcentration,Crossformer,1751,3,128,4,512,10,6,0.34220532319391633,4585756,20.08
EthanolConcentration,Crossformer,1751,3,128,4,512,3,24,0.376425855513308,3825764,17.18
EthanolConcentration,Crossformer,1751,3,128,4,512,3,12,0.41064638783269963,3922484,17.55
EthanolConcentration,Crossformer,1751,3,128,4,512,3,6,0.3193916349809886,4127900,18.34
EthanolConcentration,Crossformer,1751,3,128,4,256,10,24,0.3916349809885932,3020260,14.11
EthanolConcentration,Crossformer,1751,3,128,4,256,10,12,0.4068441064638783,3230772,14.92
EthanolConcentration,Crossformer,1751,3,128,4,256,10,6,0.34980988593155893,3664668,16.57
EthanolConcentration,Crossformer,1751,3,128,4,256,3,24,0.39923954372623577,2904676,13.67
EthanolConcentration,Crossformer,1751,3,128,4,256,3,12,0.3726235741444867,3001396,14.04
EthanolConcentration,Crossformer,1751,3,128,4,256,3,6,0.376425855513308,3206812,14.82
EthanolConcentration,Crossformer,1751,3,128,4,128,10,24,0.39543726235741444,2559716,12.36
EthanolConcentration,Crossformer,1751,3,128,4,128,10,12,0.42585551330798477,2770228,13.16
EthanolConcentration,Crossformer,1751,3,128,4,128,10,6,0.3193916349809886,3204124,14.81
EthanolConcentration,Crossformer,1751,3,128,4,128,3,24,0.3840304182509506,2444132,11.91
EthanolConcentration,Crossformer,1751,3,128,4,128,3,12,0.4068441064638783,2540852,12.28
EthanolConcentration,Crossformer,1751,3,128,4,128,3,6,0.3650190114068441,2746268,13.07
EthanolConcentration,Crossformer,1751,3,128,4,64,10,24,0.376425855513308,2329444,11.48
EthanolConcentration,Crossformer,1751,3,128,4,64,10,12,0.3916349809885932,2539956,12.28
EthanolConcentration,Crossformer,1751,3,128,4,64,10,6,0.3840304182509506,2973852,13.94
EthanolConcentration,Crossformer,1751,3,128,4,64,3,24,0.3726235741444867,2213860,11.04
EthanolConcentration,Crossformer,1751,3,128,4,64,3,12,0.39923954372623577,2310580,11.4
EthanolConcentration,Crossformer,1751,3,128,4,64,3,6,0.2965779467680608,2515996,12.19
EthanolConcentration,Crossformer,1751,3,64,4,512,10,24,0.40304182509505704,1515556,7.15
EthanolConcentration,Crossformer,1751,3,64,4,512,10,12,0.39543726235741444,1620788,7.55
EthanolConcentration,Crossformer,1751,3,64,4,512,10,6,0.3155893536121673,1837724,8.38
EthanolConcentration,Crossformer,1751,3,64,4,512,3,24,0.38783269961977185,1457764,6.93
EthanolConcentration,Crossformer,1751,3,64,4,512,3,12,0.4068441064638783,1506100,7.12
EthanolConcentration,Crossformer,1751,3,64,4,512,3,6,0.3193916349809886,1608796,7.51
EthanolConcentration,Crossformer,1751,3,64,4,256,10,24,0.4144486692015209,1053220,5.39
EthanolConcentration,Crossformer,1751,3,64,4,256,10,12,0.39543726235741444,1158452,5.79
EthanolConcentration,Crossformer,1751,3,64,4,256,10,6,0.3231939163498099,1375388,6.62
EthanolConcentration,Crossformer,1751,3,64,4,256,3,24,0.38022813688212925,995428,5.17
EthanolConcentration,Crossformer,1751,3,64,4,256,3,12,0.39923954372623577,1043764,5.35
EthanolConcentration,Crossformer,1751,3,64,4,256,3,6,0.3193916349809886,1146460,5.74
EthanolConcentration,Crossformer,1751,3,64,4,128,10,24,0.41825095057034223,822052,4.51
EthanolConcentration,Crossformer,1751,3,64,4,128,10,12,0.311787072243346,927284,4.91
EthanolConcentration,Crossformer,1751,3,64,4,128,10,6,0.33460076045627374,1144220,5.73
EthanolConcentration,Crossformer,1751,3,64,4,128,3,24,0.4220532319391635,764260,4.29
EthanolConcentration,Crossformer,1751,3,64,4,128,3,12,0.41064638783269963,812596,4.47
EthanolConcentration,Crossformer,1751,3,64,4,128,3,6,0.34600760456273766,915292,4.86
EthanolConcentration,Crossformer,1751,3,64,4,64,10,24,0.4068441064638783,706468,4.06
EthanolConcentration,Crossformer,1751,3,64,4,64,10,12,0.39923954372623577,811700,4.47
EthanolConcentration,Crossformer,1751,3,64,4,64,10,6,0.3155893536121673,1028636,5.29
EthanolConcentration,Crossformer,1751,3,64,4,64,3,24,0.3041825095057034,648676,3.84
EthanolConcentration,Crossformer,1751,3,64,4,64,3,12,0.38783269961977185,697012,4.03
EthanolConcentration,Crossformer,1751,3,64,4,64,3,6,0.34600760456273766,799708,4.42
EthanolConcentration,Crossformer,1751,3,32,4,512,10,24,0.42585551330798477,646724,3.23
EthanolConcentration,Crossformer,1751,3,32,4,512,10,12,0.34220532319391633,699316,3.43
EthanolConcentration,Crossformer,1751,3,32,4,512,10,6,0.33840304182509506,807772,3.84
EthanolConcentration,Crossformer,1751,3,32,4,512,3,24,0.3916349809885932,617828,3.12
EthanolConcentration,Crossformer,1751,3,32,4,512,3,12,0.4144486692015209,641972,3.21
EthanolConcentration,Crossformer,1751,3,32,4,512,3,6,0.33079847908745247,693308,3.4
EthanolConcentration,Crossformer,1751,3,32,4,256,10,24,0.2965779467680608,413764,2.34
EthanolConcentration,Crossformer,1751,3,32,4,256,10,12,0.27756653992395436,466356,2.54
EthanolConcentration,Crossformer,1751,3,32,4,256,10,6,0.311787072243346,574812,2.95
EthanolConcentration,Crossformer,1751,3,32,4,256,3,24,0.29277566539923955,384868,2.23
EthanolConcentration,Crossformer,1751,3,32,4,256,3,12,0.3612167300380228,409012,2.32
EthanolConcentration,Crossformer,1751,3,32,4,256,3,6,0.3574144486692015,460348,2.52
EthanolConcentration,Crossformer,1751,3,32,4,128,10,24,0.42585551330798477,297284,1.89
EthanolConcentration,Crossformer,1751,3,32,4,128,10,12,0.41064638783269963,349876,2.09
EthanolConcentration,Crossformer,1751,3,32,4,128,10,6,0.35361216730038025,458332,2.51
EthanolConcentration,Crossformer,1751,3,32,4,128,3,24,0.4068441064638783,268388,1.78
EthanolConcentration,Crossformer,1751,3,32,4,128,3,12,0.41064638783269963,292532,1.88
EthanolConcentration,Crossformer,1751,3,32,4,128,3,6,0.33840304182509506,343868,2.07
