data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
HandMovementDirection,Crossformer,400,3,256,4,512,10,24,0.581081081081081,11274852,48.04
HandMovementDirection,Crossformer,400,3,256,4,512,10,12,0.5945945945945946,11418164,48.59
HandMovementDirection,Crossformer,400,3,256,4,512,10,6,0.581081081081081,11725340,49.76
HandMovementDirection,Crossformer,400,3,256,4,512,3,24,0.6621621621621622,11219300,47.83
HandMovementDirection,Crossformer,400,3,256,4,512,3,12,0.5675675675675675,11310644,48.18
HandMovementDirection,Crossformer,400,3,256,4,512,3,6,0.5945945945945946,11513884,48.96
HandMovementDirection,Crossformer,400,3,256,4,256,10,24,0.6081081081081081,9436260,41.03
HandMovementDirection,Crossformer,400,3,256,4,256,10,12,0.6081081081081081,9579572,41.58
HandMovementDirection,Crossformer,400,3,256,4,256,10,6,0.6216216216216216,9886748,42.75
HandMovementDirection,Crossformer,400,3,256,4,256,3,24,0.5675675675675675,9380708,40.82
HandMovementDirection,Crossformer,400,3,256,4,256,3,12,0.6081081081081081,9472052,41.17
HandMovementDirection,Crossformer,400,3,256,4,256,3,6,0.527027027027027,9675292,41.94
HandMovementDirection,Crossformer,400,3,256,4,128,10,24,0.6081081081081081,8516964,37.52
HandMovementDirection,Crossformer,400,3,256,4,128,10,12,0.581081081081081,8660276,38.07
HandMovementDirection,Crossformer,400,3,256,4,128,10,6,0.5540540540540541,8967452,39.24
HandMovementDirection,Crossformer,400,3,256,4,128,3,24,0.6216216216216216,8461412,37.31
HandMovementDirection,Crossformer,400,3,256,4,128,3,12,0.5405405405405406,8552756,37.66
HandMovementDirection,Crossformer,400,3,256,4,128,3,6,0.5945945945945946,8755996,38.43
HandMovementDirection,Crossformer,400,3,256,4,64,10,24,0.5945945945945946,8057316,35.77
HandMovementDirection,Crossformer,400,3,256,4,64,10,12,0.581081081081081,8200628,36.32
HandMovementDirection,Crossformer,400,3,256,4,64,10,6,0.581081081081081,8507804,37.49
HandMovementDirection,Crossformer,400,3,256,4,64,3,24,0.5675675675675675,8001764,35.56
HandMovementDirection,Crossformer,400,3,256,4,64,3,12,0.5945945945945946,8093108,35.91
HandMovementDirection,Crossformer,400,3,256,4,64,3,6,0.6351351351351351,8296348,36.68
HandMovementDirection,Crossformer,400,3,128,4,512,10,24,0.5675675675675675,3806052,17.11
HandMovementDirection,Crossformer,400,3,128,4,512,10,12,0.6351351351351351,3877684,17.38
HandMovementDirection,Crossformer,400,3,128,4,512,10,6,0.581081081081081,4031260,17.97
HandMovementDirection,Crossformer,400,3,128,4,512,3,24,0.5945945945945946,3778276,17.0
HandMovementDirection,Crossformer,400,3,128,4,512,3,12,0.6081081081081081,3823924,17.18
HandMovementDirection,Crossformer,400,3,128,4,512,3,6,0.5945945945945946,3925532,17.57
HandMovementDirection,Crossformer,400,3,128,4,256,10,24,0.6351351351351351,2884964,13.6
HandMovementDirection,Crossformer,400,3,128,4,256,10,12,0.6081081081081081,2956596,13.87
HandMovementDirection,Crossformer,400,3,128,4,256,10,6,0.5675675675675675,3110172,14.46
HandMovementDirection,Crossformer,400,3,128,4,256,3,24,0.6351351351351351,2857188,13.49
HandMovementDirection,Crossformer,400,3,128,4,256,3,12,0.5945945945945946,2902836,13.66
HandMovementDirection,Crossformer,400,3,128,4,256,3,6,0.581081081081081,3004444,14.05
HandMovementDirection,Crossformer,400,3,128,4,128,10,24,0.581081081081081,2424420,11.84
HandMovementDirection,Crossformer,400,3,128,4,128,10,12,0.5945945945945946,2496052,12.11
HandMovementDirection,Crossformer,400,3,128,4,128,10,6,0.6081081081081081,2649628,12.7
HandMovementDirection,Crossformer,400,3,128,4,128,3,24,0.6486486486486487,2396644,11.73
HandMovementDirection,Crossformer,400,3,128,4,128,3,12,0.5675675675675675,2442292,11.91
HandMovementDirection,Crossformer,400,3,128,4,128,3,6,0.6216216216216216,2543900,12.29
HandMovementDirection,Crossformer,400,3,128,4,64,10,24,0.581081081081081,2194148,10.96
HandMovementDirection,Crossformer,400,3,128,4,64,10,12,0.5945945945945946,2265780,11.23
HandMovementDirection,Crossformer,400,3,128,4,64,10,6,0.6081081081081081,2419356,11.82
HandMovementDirection,Crossformer,400,3,128,4,64,3,24,0.6216216216216216,2166372,10.85
HandMovementDirection,Crossformer,400,3,128,4,64,3,12,0.6081081081081081,2212020,11.03
HandMovementDirection,Crossformer,400,3,128,4,64,3,6,0.6081081081081081,2313628,11.42
HandMovementDirection,Crossformer,400,3,64,4,512,10,24,0.5675675675675675,1447908,6.89
HandMovementDirection,Crossformer,400,3,64,4,512,10,12,0.5675675675675675,1483700,7.03
HandMovementDirection,Crossformer,400,3,64,4,512,10,6,0.5945945945945946,1560476,7.32
HandMovementDirection,Crossformer,400,3,64,4,512,3,24,0.5945945945945946,1434020,6.84
HandMovementDirection,Crossformer,400,3,64,4,512,3,12,0.6081081081081081,1456820,6.93
HandMovementDirection,Crossformer,400,3,64,4,512,3,6,0.5675675675675675,1507612,7.12
HandMovementDirection,Crossformer,400,3,64,4,256,10,24,0.5540540540540541,985572,5.13
HandMovementDirection,Crossformer,400,3,64,4,256,10,12,0.5945945945945946,1021364,5.27
HandMovementDirection,Crossformer,400,3,64,4,256,10,6,0.581081081081081,1098140,5.56
HandMovementDirection,Crossformer,400,3,64,4,256,3,24,0.5540540540540541,971684,5.08
HandMovementDirection,Crossformer,400,3,64,4,256,3,12,0.5945945945945946,994484,5.16
HandMovementDirection,Crossformer,400,3,64,4,256,3,6,0.5675675675675675,1045276,5.36
HandMovementDirection,Crossformer,400,3,64,4,128,10,24,0.5675675675675675,754404,4.25
HandMovementDirection,Crossformer,400,3,64,4,128,10,12,0.6081081081081081,790196,4.38
HandMovementDirection,Crossformer,400,3,64,4,128,10,6,0.5540540540540541,866972,4.68
HandMovementDirection,Crossformer,400,3,64,4,128,3,24,0.6216216216216216,740516,4.19
HandMovementDirection,Crossformer,400,3,64,4,128,3,12,0.5945945945945946,763316,4.28
HandMovementDirection,Crossformer,400,3,64,4,128,3,6,0.5945945945945946,814108,4.48
HandMovementDirection,Crossformer,400,3,64,4,64,10,24,0.527027027027027,638820,3.81
HandMovementDirection,Crossformer,400,3,64,4,64,10,12,0.5945945945945946,674612,3.94
HandMovementDirection,Crossformer,400,3,64,4,64,10,6,0.5540540540540541,751388,4.24
HandMovementDirection,Crossformer,400,3,64,4,64,3,24,0.5540540540540541,624932,3.75
HandMovementDirection,Crossformer,400,3,64,4,64,3,12,0.5675675675675675,647732,3.84
HandMovementDirection,Crossformer,400,3,64,4,64,3,6,0.5540540540540541,698524,4.03
HandMovementDirection,Crossformer,400,3,32,4,512,10,24,0.581081081081081,612900,3.1
HandMovementDirection,Crossformer,400,3,32,4,512,10,12,0.581081081081081,630772,3.17
HandMovementDirection,Crossformer,400,3,32,4,512,10,6,0.527027027027027,669148,3.31
HandMovementDirection,Crossformer,400,3,32,4,512,3,24,0.5135135135135135,605956,3.07
HandMovementDirection,Crossformer,400,3,32,4,512,3,12,0.4864864864864865,617332,3.11
HandMovementDirection,Crossformer,400,3,32,4,512,3,6,0.5675675675675675,642716,3.21
HandMovementDirection,Crossformer,400,3,32,4,256,10,24,0.4864864864864865,379940,2.21
HandMovementDirection,Crossformer,400,3,32,4,256,10,12,0.5540540540540541,397812,2.28
HandMovementDirection,Crossformer,400,3,32,4,256,10,6,0.5540540540540541,436188,2.42
HandMovementDirection,Crossformer,400,3,32,4,256,3,24,0.5405405405405406,372996,2.18
HandMovementDirection,Crossformer,400,3,32,4,256,3,12,0.5540540540540541,384372,2.23
HandMovementDirection,Crossformer,400,3,32,4,256,3,6,0.5675675675675675,409756,2.32
HandMovementDirection,Crossformer,400,3,32,4,128,10,24,0.5675675675675675,263460,1.76
HandMovementDirection,Crossformer,400,3,32,4,128,10,12,0.527027027027027,281332,1.83
HandMovementDirection,Crossformer,400,3,32,4,128,10,6,0.6081081081081081,319708,1.98
HandMovementDirection,Crossformer,400,3,32,4,128,3,24,0.6081081081081081,256516,1.74
HandMovementDirection,Crossformer,400,3,32,4,128,3,12,0.5135135135135135,267892,1.78
HandMovementDirection,Crossformer,400,3,32,4,128,3,6,0.527027027027027,293276,1.88
HandMovementDirection,Crossformer,400,3,32,4,64,10,24,0.5405405405405406,205220,1.54
HandMovementDirection,Crossformer,400,3,32,4,64,10,12,0.5945945945945946,223092,1.61
HandMovementDirection,Crossformer,400,3,32,4,64,10,6,0.5540540540540541,261468,1.76
HandMovementDirection,Crossformer,400,3,32,4,64,3,24,0.5675675675675675,198276,1.52
HandMovementDirection,Crossformer,400,3,32,4,64,3,12,0.5540540540540541,209652,1.56
HandMovementDirection,Crossformer,400,3,32,4,64,3,6,0.5405405405405406,235036,1.66
HandMovementDirection,Crossformer,400,2,256,4,512,10,24,0.6216216216216216,8133964,36.02
HandMovementDirection,Crossformer,400,2,256,4,512,10,12,0.6351351351351351,8311080,36.7
HandMovementDirection,Crossformer,400,2,256,4,512,10,6,0.5675675675675675,8691478,38.15
HandMovementDirection,Crossformer,400,2,256,4,512,3,24,0.581081081081081,8087372,35.84
HandMovementDirection,Crossformer,400,2,256,4,512,3,12,0.6081081081081081,8219688,36.35
HandMovementDirection,Crossformer,400,2,256,4,512,3,6,0.5675675675675675,8510486,37.46
HandMovementDirection,Crossformer,400,2,256,4,256,10,24,0.6351351351351351,6820684,31.01
HandMovementDirection,Crossformer,400,2,256,4,256,10,12,0.6081081081081081,6997800,31.69
HandMovementDirection,Crossformer,400,2,256,4,256,10,6,0.5945945945945946,7378198,33.14
HandMovementDirection,Crossformer,400,2,256,4,256,3,24,0.5540540540540541,6774092,30.83
HandMovementDirection,Crossformer,400,2,256,4,256,3,12,0.5945945945945946,6906408,31.34
HandMovementDirection,Crossformer,400,2,256,4,256,3,6,0.5675675675675675,7197206,32.45
HandMovementDirection,Crossformer,400,2,256,4,128,10,24,0.6081081081081081,6164044,28.51
HandMovementDirection,Crossformer,400,2,256,4,128,10,12,0.6351351351351351,6341160,29.18
HandMovementDirection,Crossformer,400,2,256,4,128,10,6,0.5675675675675675,6721558,30.63
HandMovementDirection,Crossformer,400,2,256,4,128,3,24,0.5945945945945946,6117452,28.33
HandMovementDirection,Crossformer,400,2,256,4,128,3,12,0.6081081081081081,6249768,28.83
HandMovementDirection,Crossformer,400,2,256,4,128,3,6,0.5675675675675675,6540566,29.94
HandMovementDirection,Crossformer,400,2,256,4,64,10,24,0.5675675675675675,5835724,27.25
HandMovementDirection,Crossformer,400,2,256,4,64,10,12,0.5945945945945946,6012840,27.93
HandMovementDirection,Crossformer,400,2,256,4,64,10,6,0.5405405405405406,6393238,29.38
HandMovementDirection,Crossformer,400,2,256,4,64,3,24,0.581081081081081,5789132,27.08
HandMovementDirection,Crossformer,400,2,256,4,64,3,12,0.581081081081081,5921448,27.58
HandMovementDirection,Crossformer,400,2,256,4,64,3,6,0.527027027027027,6212246,28.69
HandMovementDirection,Crossformer,400,2,128,4,512,10,24,0.5405405405405406,2758860,13.07
HandMovementDirection,Crossformer,400,2,128,4,512,10,12,0.5945945945945946,2847400,13.41
HandMovementDirection,Crossformer,400,2,128,4,512,10,6,0.5675675675675675,3037590,14.14
HandMovementDirection,Crossformer,400,2,128,4,512,3,24,0.5675675675675675,2735564,12.98
HandMovementDirection,Crossformer,400,2,128,4,512,3,12,0.581081081081081,2801704,13.24
HandMovementDirection,Crossformer,400,2,128,4,512,3,6,0.6081081081081081,2947094,13.79
HandMovementDirection,Crossformer,400,2,128,4,256,10,24,0.5945945945945946,2100940,10.56
HandMovementDirection,Crossformer,400,2,128,4,256,10,12,0.581081081081081,2189480,10.9
HandMovementDirection,Crossformer,400,2,128,4,256,10,6,0.5675675675675675,2379670,11.63
HandMovementDirection,Crossformer,400,2,128,4,256,3,24,0.6216216216216216,2077644,10.47
HandMovementDirection,Crossformer,400,2,128,4,256,3,12,0.6081081081081081,2143784,10.73
HandMovementDirection,Crossformer,400,2,128,4,256,3,6,0.5675675675675675,2289174,11.28
HandMovementDirection,Crossformer,400,2,128,4,128,10,24,0.581081081081081,1771980,9.31
HandMovementDirection,Crossformer,400,2,128,4,128,10,12,0.6081081081081081,1860520,9.65
HandMovementDirection,Crossformer,400,2,128,4,128,10,6,0.5945945945945946,2050710,10.37
HandMovementDirection,Crossformer,400,2,128,4,128,3,24,0.6081081081081081,1748684,9.22
HandMovementDirection,Crossformer,400,2,128,4,128,3,12,0.581081081081081,1814824,9.47
HandMovementDirection,Crossformer,400,2,128,4,128,3,6,0.581081081081081,1960214,10.03
HandMovementDirection,Crossformer,400,2,128,4,64,10,24,0.6081081081081081,1607500,8.68
HandMovementDirection,Crossformer,400,2,128,4,64,10,12,0.6081081081081081,1696040,9.02
HandMovementDirection,Crossformer,400,2,128,4,64,10,6,0.5675675675675675,1886230,9.74
HandMovementDirection,Crossformer,400,2,128,4,64,3,24,0.5945945945945946,1584204,8.59
HandMovementDirection,Crossformer,400,2,128,4,64,3,12,0.6081081081081081,1650344,8.84
HandMovementDirection,Crossformer,400,2,128,4,64,3,6,0.5945945945945946,1795734,9.4
HandMovementDirection,Crossformer,400,2,64,4,512,10,24,0.5675675675675675,1054348,5.35
HandMovementDirection,Crossformer,400,2,64,4,512,10,12,0.581081081081081,1098600,5.52
HandMovementDirection,Crossformer,400,2,64,4,512,10,6,0.581081081081081,1193686,5.88
HandMovementDirection,Crossformer,400,2,64,4,512,3,24,0.5675675675675675,1042700,5.31
HandMovementDirection,Crossformer,400,2,64,4,512,3,12,0.5675675675675675,1075752,5.43
HandMovementDirection,Crossformer,400,2,64,4,512,3,6,0.5540540540540541,1148438,5.71
HandMovementDirection,Crossformer,400,2,64,4,256,10,24,0.5405405405405406,724108,4.09
HandMovementDirection,Crossformer,400,2,64,4,256,10,12,0.5675675675675675,768360,4.26
HandMovementDirection,Crossformer,400,2,64,4,256,10,6,0.5675675675675675,863446,4.62
HandMovementDirection,Crossformer,400,2,64,4,256,3,24,0.581081081081081,712460,4.05
HandMovementDirection,Crossformer,400,2,64,4,256,3,12,0.5945945945945946,745512,4.17
