data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
Handwriting,Crossformer,152,3,256,4,512,10,24,0.2847058823529412,11179386,47.68
Handwriting,Crossformer,152,3,256,4,512,10,12,0.27058823529411763,11236682,47.9
Handwriting,Crossformer,152,3,256,4,512,10,6,0.29294117647058826,11355186,48.35
Handwriting,Crossformer,152,3,256,4,512,3,24,0.27294117647058824,11156090,47.59
Handwriting,Crossformer,152,3,256,4,512,3,12,0.2741176470588235,11193674,47.73
Handwriting,Crossformer,152,3,256,4,512,3,6,0.29294117647058826,11272754,48.04
Handwriting,Crossformer,152,3,256,4,256,10,24,0.2752941176470588,9340794,40.67
Handwriting,Crossformer,152,3,256,4,256,10,12,0.27647058823529413,9398090,40.88
Handwriting,Crossformer,152,3,256,4,256,10,6,0.2788235294117647,9516594,41.34
Handwriting,Crossformer,152,3,256,4,256,3,24,0.2823529411764706,9317498,40.58
Handwriting,Crossformer,152,3,256,4,256,3,12,0.2858823529411765,9355082,40.72
Handwriting,Crossformer,152,3,256,4,256,3,6,0.28823529411764703,9434162,41.02
Handwriting,Crossformer,152,3,256,4,128,10,24,0.27647058823529413,8421498,37.16
Handwriting,Crossformer,152,3,256,4,128,10,12,0.2823529411764706,8478794,37.38
Handwriting,Crossformer,152,3,256,4,128,10,6,0.2823529411764706,8597298,37.83
Handwriting,Crossformer,152,3,256,4,128,3,24,0.27176470588235296,8398202,37.07
Handwriting,Crossformer,152,3,256,4,128,3,12,0.2858823529411765,8435786,37.21
Handwriting,Crossformer,152,3,256,4,128,3,6,0.28941176470588237,8514866,37.51
Handwriting,Crossformer,152,3,256,4,64,10,24,0.26705882352941174,7961850,35.41
Handwriting,Crossformer,152,3,256,4,64,10,12,0.26705882352941174,8019146,35.62
Handwriting,Crossformer,152,3,256,4,64,10,6,0.28,8137650,36.08
Handwriting,Crossformer,152,3,256,4,64,3,24,0.2988235294117647,7938554,35.32
Handwriting,Crossformer,152,3,256,4,64,3,12,0.2788235294117647,7976138,35.46
Handwriting,Crossformer,152,3,256,4,64,3,6,0.28352941176470586,8055218,35.76
Handwriting,Crossformer,152,3,128,4,512,10,24,0.25058823529411767,3758330,16.93
Handwriting,Crossformer,152,3,128,4,512,10,12,0.27647058823529413,3786954,17.04
Handwriting,Crossformer,152,3,128,4,512,10,6,0.2988235294117647,3846194,17.26
Handwriting,Crossformer,152,3,128,4,512,3,24,0.26588235294117646,3746682,16.88
Handwriting,Crossformer,152,3,128,4,512,3,12,0.2647058823529412,3765450,16.95
Handwriting,Crossformer,152,3,128,4,512,3,6,0.28352941176470586,3804978,17.11
Handwriting,Crossformer,152,3,128,4,256,10,24,0.27176470588235296,2837242,13.41
Handwriting,Crossformer,152,3,128,4,256,10,12,0.24823529411764705,2865866,13.52
Handwriting,Crossformer,152,3,128,4,256,10,6,0.28823529411764703,2925106,13.75
Handwriting,Crossformer,152,3,128,4,256,3,24,0.26,2825594,13.37
Handwriting,Crossformer,152,3,128,4,256,3,12,0.25882352941176473,2844362,13.44
Handwriting,Crossformer,152,3,128,4,256,3,6,0.28823529411764703,2883890,13.59
Handwriting,Crossformer,152,3,128,4,128,10,24,0.24235294117647058,2376698,11.66
Handwriting,Crossformer,152,3,128,4,128,10,12,0.26941176470588235,2405322,11.77
Handwriting,Crossformer,152,3,128,4,128,10,6,0.2952941176470588,2464562,11.99
Handwriting,Crossformer,152,3,128,4,128,3,24,0.2823529411764706,2365050,11.61
Handwriting,Crossformer,152,3,128,4,128,3,12,0.26705882352941174,2383818,11.68
