data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
JapaneseVowels,Crossformer,29,3,256,4,512,10,24,0.9756756756756757,11144809,47.55
JapaneseVowels,Crossformer,29,3,256,4,512,10,12,0.9675675675675676,11137593,47.52
JapaneseVowels,Crossformer,29,3,256,4,512,10,6,0.9621621621621622,11173921,47.66
JapaneseVowels,Crossformer,29,3,256,4,512,3,24,0.9648648648648649,11137641,47.52
JapaneseVowels,Crossformer,29,3,256,4,512,3,12,0.972972972972973,11126841,47.48
JapaneseVowels,Crossformer,29,3,256,4,512,3,6,0.9675675675675676,11156001,47.59
JapaneseVowels,Crossformer,29,3,256,4,256,10,24,0.9675675675675676,9306217,40.53
JapaneseVowels,Crossformer,29,3,256,4,256,10,12,0.972972972972973,9299001,40.51
JapaneseVowels,Crossformer,29,3,256,4,256,10,6,0.972972972972973,9335329,40.64
JapaneseVowels,Crossformer,29,3,256,4,256,3,24,0.9648648648648649,9299049,40.51
JapaneseVowels,Crossformer,29,3,256,4,256,3,12,0.9675675675675676,9288249,40.46
JapaneseVowels,Crossformer,29,3,256,4,256,3,6,0.9648648648648649,9317409,40.58
JapaneseVowels,Crossformer,29,3,256,4,128,10,24,0.9621621621621622,8386921,37.03
JapaneseVowels,Crossformer,29,3,256,4,128,10,12,0.972972972972973,8379705,37.0
JapaneseVowels,Crossformer,29,3,256,4,128,10,6,0.9567567567567568,8416033,37.14
JapaneseVowels,Crossformer,29,3,256,4,128,3,24,0.972972972972973,8379753,37.0
JapaneseVowels,Crossformer,29,3,256,4,128,3,12,0.9621621621621622,8368953,36.96
JapaneseVowels,Crossformer,29,3,256,4,128,3,6,0.9756756756756757,8398113,37.07
JapaneseVowels,Crossformer,29,3,256,4,64,10,24,0.9675675675675676,7927273,35.27
JapaneseVowels,Crossformer,29,3,256,4,64,10,12,0.9675675675675676,7920057,35.25
JapaneseVowels,Crossformer,29,3,256,4,64,10,6,0.9594594594594594,7956385,35.38
JapaneseVowels,Crossformer,29,3,256,4,64,3,24,0.972972972972973,7920105,35.25
JapaneseVowels,Crossformer,29,3,256,4,64,3,12,0.9567567567567568,7909305,35.2
JapaneseVowels,Crossformer,29,3,256,4,64,3,6,0.9594594594594594,7938465,35.32
JapaneseVowels,Crossformer,29,3,128,4,512,10,24,0.9783783783783784,3741033,16.86
JapaneseVowels,Crossformer,29,3,128,4,512,10,12,0.9756756756756757,3737401,16.85
JapaneseVowels,Crossformer,29,3,128,4,512,10,6,0.9648648648648649,3755553,16.92
JapaneseVowels,Crossformer,29,3,128,4,512,3,24,0.972972972972973,3737449,16.85
JapaneseVowels,Crossformer,29,3,128,4,512,3,12,0.9756756756756757,3732025,16.83
JapaneseVowels,Crossformer,29,3,128,4,512,3,6,0.9675675675675676,3746593,16.88
JapaneseVowels,Crossformer,29,3,128,4,256,10,24,0.972972972972973,2819945,13.35
JapaneseVowels,Crossformer,29,3,128,4,256,10,12,0.9837837837837838,2816313,13.33
JapaneseVowels,Crossformer,29,3,128,4,256,10,6,0.9621621621621622,2834465,13.4
JapaneseVowels,Crossformer,29,3,128,4,256,3,24,0.972972972972973,2816361,13.33
JapaneseVowels,Crossformer,29,3,128,4,256,3,12,0.972972972972973,2810937,13.31
JapaneseVowels,Crossformer,29,3,128,4,256,3,6,0.9621621621621622,2825505,13.37
JapaneseVowels,Crossformer,29,3,128,4,128,10,24,0.9756756756756757,2359401,11.59
JapaneseVowels,Crossformer,29,3,128,4,128,10,12,0.972972972972973,2355769,11.58
JapaneseVowels,Crossformer,29,3,128,4,128,10,6,0.9648648648648649,2373921,11.65
JapaneseVowels,Crossformer,29,3,128,4,128,3,24,0.9702702702702702,2355817,11.58
JapaneseVowels,Crossformer,29,3,128,4,128,3,12,0.9756756756756757,2350393,11.56
JapaneseVowels,Crossformer,29,3,128,4,128,3,6,0.9675675675675676,2364961,11.61
JapaneseVowels,Crossformer,29,3,128,4,64,10,24,0.9756756756756757,2129129,10.71
JapaneseVowels,Crossformer,29,3,128,4,64,10,12,0.972972972972973,2125497,10.7
JapaneseVowels,Crossformer,29,3,128,4,64,10,6,0.9621621621621622,2143649,10.77
JapaneseVowels,Crossformer,29,3,128,4,64,3,24,0.972972972972973,2125545,10.7
JapaneseVowels,Crossformer,29,3,128,4,64,3,12,0.9783783783783784,2120121,10.68
JapaneseVowels,Crossformer,29,3,128,4,64,3,6,0.9675675675675676,2134689,10.73
