data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
LSST,Crossformer,36,3,256,4,512,10,24,0.3288726682887267,11135598,47.51
LSST,Crossformer,36,3,256,4,512,10,12,0.3280616382806164,11126846,47.48
LSST,Crossformer,36,3,256,4,512,10,6,0.33779399837794,11158054,47.6
LSST,Crossformer,36,3,256,4,512,3,24,0.3260340632603406,11128430,47.48
LSST,Crossformer,36,3,256,4,512,3,12,0.33211678832116787,11116094,47.44
LSST,Crossformer,36,3,256,4,512,3,6,0.34833738848337387,11138342,47.52
LSST,Crossformer,36,3,256,4,256,10,24,0.33008921330089214,9297006,40.5
LSST,Crossformer,36,3,256,4,256,10,12,0.3280616382806164,9288254,40.46
LSST,Crossformer,36,3,256,4,256,10,6,0.3588807785888078,9319462,40.58
LSST,Crossformer,36,3,256,4,256,3,24,0.34630981346309814,9289838,40.47
LSST,Crossformer,36,3,256,4,256,3,12,0.3248175182481752,9277502,40.42
LSST,Crossformer,36,3,256,4,256,3,6,0.3410381184103812,9299750,40.51
LSST,Crossformer,36,3,256,4,128,10,24,0.3410381184103812,8377710,36.99
LSST,Crossformer,36,3,256,4,128,10,12,0.36212489862124897,8368958,36.96
LSST,Crossformer,36,3,256,4,128,10,6,0.3682076236820762,8400166,37.08
LSST,Crossformer,36,3,256,4,128,3,24,0.33495539334955393,8370542,36.96
LSST,Crossformer,36,3,256,4,128,3,12,0.33454987834549876,8358206,36.92
LSST,Crossformer,36,3,256,4,128,3,6,0.3471208434712084,8380454,37.0
LSST,Crossformer,36,3,256,4,64,10,24,0.3309002433090024,7918062,35.24
LSST,Crossformer,36,3,256,4,64,10,12,0.3710462287104623,7909310,35.2
LSST,Crossformer,36,3,256,4,64,10,6,0.3584752635847526,7940518,35.32
LSST,Crossformer,36,3,256,4,64,3,24,0.35279805352798055,7910894,35.21
LSST,Crossformer,36,3,256,4,64,3,12,0.3422546634225466,7898558,35.16
LSST,Crossformer,36,3,256,4,64,3,6,0.3686131386861314,7920806,35.25
LSST,Crossformer,36,3,128,4,512,10,24,0.37307380373073806,3736430,16.84
LSST,Crossformer,36,3,128,4,512,10,12,0.38037307380373075,3732030,16.83
LSST,Crossformer,36,3,128,4,512,10,6,0.3909164639091646,3747622,16.89
LSST,Crossformer,36,3,128,4,512,3,24,0.3767234387672344,3732846,16.83
