data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
Libras,Crossformer,45,3,256,4,512,10,24,0.8555555555555555,11119727,47.45
Libras,Crossformer,45,3,256,4,512,10,12,0.8777777777777778,11113023,47.43
Libras,Crossformer,45,3,256,4,512,10,6,0.8777777777777778,11132967,47.5
Libras,Crossformer,45,3,256,4,512,3,24,0.8888888888888888,11112559,47.42
Libras,Crossformer,45,3,256,4,512,3,12,0.8722222222222222,11100479,47.38
Libras,Crossformer,45,3,256,4,512,3,6,0.8777777777777778,11107879,47.41
Libras,Crossformer,45,3,256,4,256,10,24,0.8666666666666667,9281135,40.44
Libras,Crossformer,45,3,256,4,256,10,12,0.8833333333333333,9274431,40.41
Libras,Crossformer,45,3,256,4,256,10,6,0.8555555555555555,9294375,40.49
Libras,Crossformer,45,3,256,4,256,3,24,0.8777777777777778,9273967,40.41
Libras,Crossformer,45,3,256,4,256,3,12,0.9,9261887,40.36
Libras,Crossformer,45,3,256,4,256,3,6,0.8777777777777778,9269287,40.39
Libras,Crossformer,45,3,256,4,128,10,24,0.8611111111111112,8361839,36.93
Libras,Crossformer,45,3,256,4,128,10,12,0.8833333333333333,8355135,36.91
Libras,Crossformer,45,3,256,4,128,10,6,0.8722222222222222,8375079,36.98
Libras,Crossformer,45,3,256,4,128,3,24,0.8555555555555555,8354671,36.9
Libras,Crossformer,45,3,256,4,128,3,12,0.8888888888888888,8342591,36.86
Libras,Crossformer,45,3,256,4,128,3,6,0.8722222222222222,8349991,36.89
Libras,Crossformer,45,3,256,4,64,10,24,0.8722222222222222,7902191,35.18
Libras,Crossformer,45,3,256,4,64,10,12,0.8777777777777778,7895487,35.15
Libras,Crossformer,45,3,256,4,64,10,6,0.8722222222222222,7915431,35.23
Libras,Crossformer,45,3,256,4,64,3,24,0.8611111111111112,7895023,35.15
Libras,Crossformer,45,3,256,4,64,3,12,0.8722222222222222,7882943,35.1
Libras,Crossformer,45,3,256,4,64,3,6,0.8777777777777778,7890343,35.13
Libras,Crossformer,45,3,128,4,512,10,24,0.8611111111111112,3728495,16.81
Libras,Crossformer,45,3,128,4,512,10,12,0.8944444444444445,3725119,16.8
Libras,Crossformer,45,3,128,4,512,10,6,0.8833333333333333,3735079,16.84
Libras,Crossformer,45,3,128,4,512,3,24,0.8833333333333333,3724911,16.8
