data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
MotorImagery,Crossformer,3000,3,256,4,512,10,24,0.51,14760546,61.34
MotorImagery,Crossformer,3000,3,256,4,512,10,12,0.51,18367026,75.1
MotorImagery,Crossformer,3000,3,256,4,512,10,6,0.53,25605658,102.71
MotorImagery,Crossformer,3000,3,256,4,512,3,24,0.5,14366306,59.84
MotorImagery,Crossformer,3000,3,256,4,512,3,12,0.52,17582130,72.1
MotorImagery,Crossformer,3000,3,256,4,512,3,6,0.5,24037658,96.73
MotorImagery,Crossformer,3000,3,256,4,256,10,24,0.5,12921954,54.33
MotorImagery,Crossformer,3000,3,256,4,256,10,12,0.52,16528434,68.08
MotorImagery,Crossformer,3000,3,256,4,256,10,6,0.52,23767066,95.7
MotorImagery,Crossformer,3000,3,256,4,256,3,24,0.5,12527714,52.82
MotorImagery,Crossformer,3000,3,256,4,256,3,12,0.51,15743538,65.09
MotorImagery,Crossformer,3000,3,256,4,256,3,6,0.5,22199066,89.72
MotorImagery,Crossformer,3000,3,256,4,128,10,24,0.52,12002658,50.82
MotorImagery,Crossformer,3000,3,256,4,128,10,12,0.59,15609138,64.58
MotorImagery,Crossformer,3000,3,256,4,128,10,6,0.55,22847770,92.19
MotorImagery,Crossformer,3000,3,256,4,128,3,24,0.51,11608418,49.32
MotorImagery,Crossformer,3000,3,256,4,128,3,12,0.52,14824242,61.58
MotorImagery,Crossformer,3000,3,256,4,128,3,6,0.51,21279770,86.21
MotorImagery,Crossformer,3000,3,256,4,64,10,24,0.55,11543010,49.07
MotorImagery,Crossformer,3000,3,256,4,64,10,12,0.5,15149490,62.82
MotorImagery,Crossformer,3000,3,256,4,64,10,6,0.5,22388122,90.44
MotorImagery,Crossformer,3000,3,256,4,64,3,24,0.52,11148770,47.56
MotorImagery,Crossformer,3000,3,256,4,64,3,12,0.51,14364594,59.83
MotorImagery,Crossformer,3000,3,256,4,64,3,6,0.51,20820122,84.46
MotorImagery,Crossformer,3000,3,128,4,512,10,24,0.54,5548898,23.76
MotorImagery,Crossformer,3000,3,128,4,512,10,12,0.5,7352114,30.64
MotorImagery,Crossformer,3000,3,128,4,512,10,6,0.5,10971418,44.44
