data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
NATOPS,Crossformer,51,3,256,4,512,10,24,0.8722222222222222,11171430,47.65
NATOPS,Crossformer,51,3,256,4,512,10,12,0.8777777777777778,11215414,47.82
NATOPS,Crossformer,51,3,256,4,512,10,6,0.8722222222222222,11287070,48.09
NATOPS,Crossformer,51,3,256,4,512,3,24,0.9055555555555556,11160678,47.61
NATOPS,Crossformer,51,3,256,4,512,3,12,0.8833333333333333,11197494,47.75
NATOPS,Crossformer,51,3,256,4,512,3,6,0.8777777777777778,11256606,47.97
NATOPS,Crossformer,51,3,256,4,256,10,24,0.8666666666666667,9332838,40.64
NATOPS,Crossformer,51,3,256,4,256,10,12,0.8722222222222222,9376822,40.8
NATOPS,Crossformer,51,3,256,4,256,10,6,0.8944444444444445,9448478,41.08
NATOPS,Crossformer,51,3,256,4,256,3,24,0.8555555555555555,9322086,40.59
NATOPS,Crossformer,51,3,256,4,256,3,12,0.8666666666666667,9358902,40.73
NATOPS,Crossformer,51,3,256,4,256,3,6,0.8722222222222222,9418014,40.96
NATOPS,Crossformer,51,3,256,4,128,10,24,0.8555555555555555,8413542,37.13
NATOPS,Crossformer,51,3,256,4,128,10,12,0.8722222222222222,8457526,37.3
NATOPS,Crossformer,51,3,256,4,128,10,6,0.9055555555555556,8529182,37.57
NATOPS,Crossformer,51,3,256,4,128,3,24,0.8611111111111112,8402790,37.09
NATOPS,Crossformer,51,3,256,4,128,3,12,0.8722222222222222,8439606,37.23
NATOPS,Crossformer,51,3,256,4,128,3,6,0.9166666666666666,8498718,37.45
NATOPS,Crossformer,51,3,256,4,64,10,24,0.8722222222222222,7953894,35.37
NATOPS,Crossformer,51,3,256,4,64,10,12,0.8833333333333333,7997878,35.54
NATOPS,Crossformer,51,3,256,4,64,10,6,0.8722222222222222,8069534,35.82
NATOPS,Crossformer,51,3,256,4,64,3,24,0.8833333333333333,7943142,35.33
NATOPS,Crossformer,51,3,256,4,64,3,12,0.8833333333333333,7979958,35.47
NATOPS,Crossformer,51,3,256,4,64,3,6,0.8833333333333333,8039070,35.7
NATOPS,Crossformer,51,3,128,4,512,10,24,0.8888888888888888,3754342,16.91
NATOPS,Crossformer,51,3,128,4,512,10,12,0.8833333333333333,3776310,17.0
NATOPS,Crossformer,51,3,128,4,512,10,6,0.8944444444444445,3812126,17.13
NATOPS,Crossformer,51,3,128,4,512,3,24,0.9166666666666666,3748966,16.89
NATOPS,Crossformer,51,3,128,4,512,3,12,0.8777777777777778,3767350,16.96
NATOPS,Crossformer,51,3,128,4,512,3,6,0.8888888888888888,3796894,17.07
NATOPS,Crossformer,51,3,128,4,256,10,24,0.8888888888888888,2833254,13.4
NATOPS,Crossformer,51,3,128,4,256,10,12,0.8944444444444445,2855222,13.48
NATOPS,Crossformer,51,3,128,4,256,10,6,0.8888888888888888,2891038,13.62
NATOPS,Crossformer,51,3,128,4,256,3,24,0.8666666666666667,2827878,13.38
NATOPS,Crossformer,51,3,128,4,256,3,12,0.8611111111111112,2846262,13.45
NATOPS,Crossformer,51,3,128,4,256,3,6,0.9055555555555556,2875806,13.56
NATOPS,Crossformer,51,3,128,4,128,10,24,0.8888888888888888,2372710,11.64
NATOPS,Crossformer,51,3,128,4,128,10,12,0.8944444444444445,2394678,11.73
NATOPS,Crossformer,51,3,128,4,128,10,6,0.9222222222222223,2430494,11.86
NATOPS,Crossformer,51,3,128,4,128,3,24,0.8722222222222222,2367334,11.62
NATOPS,Crossformer,51,3,128,4,128,3,12,0.9055555555555556,2385718,11.69
NATOPS,Crossformer,51,3,128,4,128,3,6,0.8833333333333333,2415262,11.8
NATOPS,Crossformer,51,3,128,4,64,10,24,0.9,2142438,10.76
NATOPS,Crossformer,51,3,128,4,64,10,12,0.8944444444444445,2164406,10.85
NATOPS,Crossformer,51,3,128,4,64,10,6,0.9055555555555556,2200222,10.98
NATOPS,Crossformer,51,3,128,4,64,3,24,0.8777777777777778,2137062,10.74
NATOPS,Crossformer,51,3,128,4,64,3,12,0.8666666666666667,2155446,10.81
NATOPS,Crossformer,51,3,128,4,64,3,6,0.9055555555555556,2184990,10.93
NATOPS,Crossformer,51,3,64,4,512,10,24,0.9166666666666666,1422054,6.79
NATOPS,Crossformer,51,3,64,4,512,10,12,0.8888888888888888,1433014,6.84
NATOPS,Crossformer,51,3,64,4,512,10,6,0.8944444444444445,1450910,6.9
NATOPS,Crossformer,51,3,64,4,512,3,24,0.8611111111111112,1419366,6.78
NATOPS,Crossformer,51,3,64,4,512,3,12,0.8722222222222222,1428534,6.82
NATOPS,Crossformer,51,3,64,4,512,3,6,0.8888888888888888,1443294,6.88
NATOPS,Crossformer,51,3,64,4,256,10,24,0.8888888888888888,959718,5.03
NATOPS,Crossformer,51,3,64,4,256,10,12,0.8777777777777778,970678,5.07
NATOPS,Crossformer,51,3,64,4,256,10,6,0.9277777777777778,988574,5.14
NATOPS,Crossformer,51,3,64,4,256,3,24,0.8944444444444445,957030,5.02
NATOPS,Crossformer,51,3,64,4,256,3,12,0.8833333333333333,966198,5.06
NATOPS,Crossformer,51,3,64,4,256,3,6,0.8666666666666667,980958,5.11
NATOPS,Crossformer,51,3,64,4,128,10,24,0.8944444444444445,728550,4.15
NATOPS,Crossformer,51,3,64,4,128,10,12,0.8777777777777778,739510,4.19
NATOPS,Crossformer,51,3,64,4,128,10,6,0.9055555555555556,757406,4.26
NATOPS,Crossformer,51,3,64,4,128,3,24,0.8833333333333333,725862,4.14
NATOPS,Crossformer,51,3,64,4,128,3,12,0.8666666666666667,735030,4.17
NATOPS,Crossformer,51,3,64,4,128,3,6,0.9277777777777778,749790,4.23
NATOPS,Crossformer,51,3,64,4,64,10,24,0.85,612966,3.71
NATOPS,Crossformer,51,3,64,4,64,10,12,0.8555555555555555,623926,3.75
NATOPS,Crossformer,51,3,64,4,64,10,6,0.9111111111111111,641822,3.82
NATOPS,Crossformer,51,3,64,4,64,3,24,0.9,610278,3.7
NATOPS,Crossformer,51,3,64,4,64,3,12,0.8777777777777778,619446,3.73
NATOPS,Crossformer,51,3,64,4,64,3,6,0.9055555555555556,634206,3.79
NATOPS,Crossformer,51,3,32,4,512,10,24,0.9055555555555556,599974,3.05
NATOPS,Crossformer,51,3,32,4,512,10,12,0.8555555555555555,605430,3.07
NATOPS,Crossformer,51,3,32,4,512,10,6,0.8777777777777778,614366,3.1
NATOPS,Crossformer,51,3,32,4,512,3,24,0.8611111111111112,598630,3.04
NATOPS,Crossformer,51,3,32,4,512,3,12,0.8777777777777778,603190,3.06
NATOPS,Crossformer,51,3,32,4,512,3,6,0.8777777777777778,610558,3.09
NATOPS,Crossformer,51,3,32,4,256,10,24,0.8722222222222222,367014,2.16
NATOPS,Crossformer,51,3,32,4,256,10,12,0.8944444444444445,372470,2.18
NATOPS,Crossformer,51,3,32,4,256,10,6,0.8611111111111112,381406,2.21
NATOPS,Crossformer,51,3,32,4,256,3,24,0.9,365670,2.15
NATOPS,Crossformer,51,3,32,4,256,3,12,0.8777777777777778,370230,2.17
NATOPS,Crossformer,51,3,32,4,256,3,6,0.8611111111111112,377598,2.2
NATOPS,Crossformer,51,3,32,4,128,10,24,0.8777777777777778,250534,1.72
NATOPS,Crossformer,51,3,32,4,128,10,12,0.8555555555555555,255990,1.74
NATOPS,Crossformer,51,3,32,4,128,10,6,0.8555555555555555,264926,1.77
NATOPS,Crossformer,51,3,32,4,128,3,24,0.8888888888888888,249190,1.71
NATOPS,Crossformer,51,3,32,4,128,3,12,0.8611111111111112,253750,1.73
NATOPS,Crossformer,51,3,32,4,128,3,6,0.8888888888888888,261118,1.76
NATOPS,Crossformer,51,3,32,4,64,10,24,0.8722222222222222,192294,1.49
NATOPS,Crossformer,51,3,32,4,64,10,12,0.85,197750,1.51
NATOPS,Crossformer,51,3,32,4,64,10,6,0.9111111111111111,206686,1.55
NATOPS,Crossformer,51,3,32,4,64,3,24,0.8777777777777778,190950,1.49
NATOPS,Crossformer,51,3,32,4,64,3,12,0.8666666666666667,195510,1.51
NATOPS,Crossformer,51,3,32,4,64,3,6,0.8777777777777778,202878,1.53
NATOPS,Crossformer,51,2,256,4,512,10,24,0.8722222222222222,8036686,35.65
NATOPS,Crossformer,51,2,256,4,512,10,12,0.8666666666666667,8081194,35.82
NATOPS,Crossformer,51,2,256,4,512,10,6,0.8833333333333333,8188696,36.23
NATOPS,Crossformer,51,2,256,4,512,3,24,0.8777777777777778,8027726,35.61
NATOPS,Crossformer,51,2,256,4,512,3,12,0.8888888888888888,8066858,35.76
NATOPS,Crossformer,51,2,256,4,512,3,6,0.8833333333333333,8163608,36.13
NATOPS,Crossformer,51,2,256,4,256,10,24,0.8777777777777778,6723406,30.64
