data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
PEMS-SF,Crossformer,144,3,256,4,512,10,24,0.8034682080924855,16059495,66.3
PEMS-SF,Crossformer,144,3,256,4,512,10,12,0.7976878612716763,19274551,78.56
PEMS-SF,Crossformer,144,3,256,4,512,10,6,0.8034682080924855,27456031,109.77
PEMS-SF,Crossformer,144,3,256,4,512,3,24,0.8092485549132948,16039783,66.22
PEMS-SF,Crossformer,144,3,256,4,512,3,12,0.7745664739884393,19236919,78.42
PEMS-SF,Crossformer,144,3,256,4,512,3,6,0.838150289017341,27380767,109.48
PEMS-SF,Crossformer,144,3,256,4,256,10,24,0.8208092485549133,14220903,59.28
PEMS-SF,Crossformer,144,3,256,4,256,10,12,0.8208092485549133,17435959,71.55
PEMS-SF,Crossformer,144,3,256,4,256,10,6,0.791907514450867,25617439,102.76
PEMS-SF,Crossformer,144,3,256,4,256,3,24,0.8497109826589595,14201191,59.21
PEMS-SF,Crossformer,144,3,256,4,256,3,12,0.7976878612716763,17398327,71.4
PEMS-SF,Crossformer,144,3,256,4,256,3,6,0.8265895953757225,25542175,102.47
PEMS-SF,Crossformer,144,3,256,4,128,10,24,0.815028901734104,13301607,55.77
PEMS-SF,Crossformer,144,3,256,4,128,10,12,0.815028901734104,16516663,68.04
PEMS-SF,Crossformer,144,3,256,4,128,10,6,0.838150289017341,24698143,99.25
PEMS-SF,Crossformer,144,3,256,4,128,3,24,0.861271676300578,13281895,55.7
PEMS-SF,Crossformer,144,3,256,4,128,3,12,0.8497109826589595,16479031,67.9
PEMS-SF,Crossformer,144,3,256,4,128,3,6,0.7861271676300579,24622879,98.96
PEMS-SF,Crossformer,144,3,256,4,64,10,24,0.8208092485549133,12841959,54.02
PEMS-SF,Crossformer,144,3,256,4,64,10,12,0.838150289017341,16057015,66.29
PEMS-SF,Crossformer,144,3,256,4,64,10,6,0.791907514450867,24238495,97.5
PEMS-SF,Crossformer,144,3,256,4,64,3,24,0.8208092485549133,12822247,53.95
PEMS-SF,Crossformer,144,3,256,4,64,3,12,0.8265895953757225,16019383,66.14
PEMS-SF,Crossformer,144,3,256,4,64,3,6,0.8497109826589595,24163231,97.21
PEMS-SF,Crossformer,144,3,128,4,512,10,24,0.8265895953757225,6198375,26.24
PEMS-SF,Crossformer,144,3,128,4,512,10,12,0.8265895953757225,7805879,32.37
PEMS-SF,Crossformer,144,3,128,4,512,10,6,0.8497109826589595,11896607,47.97
PEMS-SF,Crossformer,144,3,128,4,512,3,24,0.8554913294797688,6188519,26.2
PEMS-SF,Crossformer,144,3,128,4,512,3,12,0.791907514450867,7787063,32.3
PEMS-SF,Crossformer,144,3,128,4,512,3,6,0.8728323699421965,11858975,47.83
PEMS-SF,Crossformer,144,3,128,4,256,10,24,0.8323699421965318,5277287,22.72
PEMS-SF,Crossformer,144,3,128,4,256,10,12,0.8265895953757225,6884791,28.85
PEMS-SF,Crossformer,144,3,128,4,256,10,6,0.8208092485549133,10975519,44.46
PEMS-SF,Crossformer,144,3,128,4,256,3,24,0.8265895953757225,5267431,22.68
