data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
PenDigits,Crossformer,8,3,256,4,512,10,24,0.8707833047455689,11114090,47.43
PenDigits,Crossformer,8,3,256,4,512,10,12,0.8467695826186392,11098682,47.37
PenDigits,Crossformer,8,3,256,4,512,10,6,0.8970840480274442,11094050,47.35
PenDigits,Crossformer,8,3,256,4,512,3,24,0.965980560320183,11108714,47.41
PenDigits,Crossformer,8,3,256,4,512,3,12,0.9205260148656375,11093306,47.35
PenDigits,Crossformer,8,3,256,4,512,3,6,0.9070897655803316,11086882,47.33
PenDigits,Crossformer,8,3,256,4,256,10,24,0.8867924528301887,9275498,40.42
PenDigits,Crossformer,8,3,256,4,256,10,12,0.9102344196683819,9260090,40.36
PenDigits,Crossformer,8,3,256,4,256,10,6,0.9079473985134362,9255458,40.34
PenDigits,Crossformer,8,3,256,4,256,3,24,0.9010863350485993,9270122,40.4
PenDigits,Crossformer,8,3,256,4,256,3,12,0.9253859348198971,9254714,40.34
PenDigits,Crossformer,8,3,256,4,256,3,6,0.9594053744997141,9248290,40.31
PenDigits,Crossformer,8,3,256,4,128,10,24,0.8870783304745569,8356202,36.91
PenDigits,Crossformer,8,3,256,4,128,10,12,0.9165237278444825,8340794,36.85
PenDigits,Crossformer,8,3,256,4,128,10,6,0.9122355631789594,8336162,36.83
PenDigits,Crossformer,8,3,256,4,128,3,24,0.9534019439679817,8350826,36.89
PenDigits,Crossformer,8,3,256,4,128,3,12,0.9548313321898227,8335418,36.83
PenDigits,Crossformer,8,3,256,4,128,3,6,0.9305317324185248,8328994,36.81
PenDigits,Crossformer,8,3,256,4,64,10,24,0.8810748999428245,7896554,35.16
PenDigits,Crossformer,8,3,256,4,64,10,12,0.9173813607775871,7881146,35.1
PenDigits,Crossformer,8,3,256,4,64,10,6,0.9305317324185248,7876514,35.08
PenDigits,Crossformer,8,3,256,4,64,3,24,0.9493996569468267,7891178,35.14
PenDigits,Crossformer,8,3,256,4,64,3,12,0.9634076615208691,7875770,35.08
PenDigits,Crossformer,8,3,256,4,64,3,6,0.9028016009148084,7869346,35.05
PenDigits,Crossformer,8,3,128,4,512,10,24,0.9611206403659234,3725674,16.8
PenDigits,Crossformer,8,3,128,4,512,10,12,0.9662664379645511,3717946,16.77
PenDigits,Crossformer,8,3,128,4,512,10,6,0.9656946826758147,3715618,16.76
PenDigits,Crossformer,8,3,128,4,512,3,24,0.9716981132075472,3722986,16.79
PenDigits,Crossformer,8,3,128,4,512,3,12,0.965980560320183,3715258,16.76
PenDigits,Crossformer,8,3,128,4,512,3,6,0.9433962264150944,3712034,16.75
PenDigits,Crossformer,8,3,128,4,256,10,24,0.9671240708976558,2804586,13.29
PenDigits,Crossformer,8,3,128,4,256,10,12,0.9708404802744426,2796858,13.26
PenDigits,Crossformer,8,3,128,4,256,10,6,0.9639794168096055,2794530,13.25
PenDigits,Crossformer,8,3,128,4,256,3,24,0.9702687249857062,2801898,13.28
PenDigits,Crossformer,8,3,128,4,256,3,12,0.9679817038307604,2794170,13.25
PenDigits,Crossformer,8,3,128,4,256,3,6,0.9648370497427101,2790946,13.24
PenDigits,Crossformer,8,3,128,4,128,10,24,0.9622641509433962,2344042,11.53
PenDigits,Crossformer,8,3,128,4,128,10,12,0.9685534591194969,2336314,11.5
PenDigits,Crossformer,8,3,128,4,128,10,6,0.9691252144082333,2333986,11.49
PenDigits,Crossformer,8,3,128,4,128,3,24,0.9642652944539737,2341354,11.52
PenDigits,Crossformer,8,3,128,4,128,3,12,0.9602630074328188,2333626,11.49
PenDigits,Crossformer,8,3,128,4,128,3,6,0.9651229273870783,2330402,11.48
PenDigits,Crossformer,8,3,128,4,64,10,24,0.9662664379645511,2113770,10.65
PenDigits,Crossformer,8,3,128,4,64,10,12,0.9685534591194969,2106042,10.62
PenDigits,Crossformer,8,3,128,4,64,10,6,0.9614065180102916,2103714,10.62
PenDigits,Crossformer,8,3,128,4,64,3,24,0.9642652944539737,2111082,10.64
PenDigits,Crossformer,8,3,128,4,64,3,12,0.9685534591194969,2103354,10.61
PenDigits,Crossformer,8,3,128,4,64,3,6,0.9642652944539737,2100130,10.6
PenDigits,Crossformer,8,3,64,4,512,10,24,0.9699828473413379,1407722,6.74
PenDigits,Crossformer,8,3,64,4,512,10,12,0.9671240708976558,1403834,6.73
PenDigits,Crossformer,8,3,64,4,512,10,6,0.9662664379645511,1402658,6.72
PenDigits,Crossformer,8,3,64,4,512,3,24,0.9719839908519153,1406378,6.73
PenDigits,Crossformer,8,3,64,4,512,3,12,0.9668381932532876,1402490,6.72
PenDigits,Crossformer,8,3,64,4,512,3,6,0.9671240708976558,1400866,6.71
PenDigits,Crossformer,8,3,64,4,256,10,24,0.9739851343624929,945386,4.98
