data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
SelfRegulationSCP1,Crossformer,896,3,256,4,512,10,24,0.9112627986348123,11361378,48.37
SelfRegulationSCP1,Crossformer,896,3,256,4,512,10,12,0.9283276450511946,11596850,49.27
SelfRegulationSCP1,Crossformer,896,3,256,4,512,10,6,0.9044368600682594,12098074,51.18
SelfRegulationSCP1,Crossformer,896,3,256,4,512,3,24,0.9146757679180887,11241314,47.92
SelfRegulationSCP1,Crossformer,896,3,256,4,512,3,12,0.9180887372013652,11360306,48.37
SelfRegulationSCP1,Crossformer,896,3,256,4,512,3,6,0.8976109215017065,11626778,49.39
SelfRegulationSCP1,Crossformer,896,3,256,4,256,10,24,0.9078498293515358,9522786,41.36
SelfRegulationSCP1,Crossformer,896,3,256,4,256,10,12,0.9283276450511946,9758258,42.26
SelfRegulationSCP1,Crossformer,896,3,256,4,256,10,6,0.9249146757679181,10259482,44.17
SelfRegulationSCP1,Crossformer,896,3,256,4,256,3,24,0.9146757679180887,9402722,40.9
SelfRegulationSCP1,Crossformer,896,3,256,4,256,3,12,0.9283276450511946,9521714,41.36
SelfRegulationSCP1,Crossformer,896,3,256,4,256,3,6,0.931740614334471,9788186,42.37
SelfRegulationSCP1,Crossformer,896,3,256,4,128,10,24,0.9283276450511946,8603490,37.85
SelfRegulationSCP1,Crossformer,896,3,256,4,128,10,12,0.9146757679180887,8838962,38.75
SelfRegulationSCP1,Crossformer,896,3,256,4,128,10,6,0.9283276450511946,9340186,40.66
SelfRegulationSCP1,Crossformer,896,3,256,4,128,3,24,0.9078498293515358,8483426,37.39
SelfRegulationSCP1,Crossformer,896,3,256,4,128,3,12,0.8976109215017065,8602418,37.85
SelfRegulationSCP1,Crossformer,896,3,256,4,128,3,6,0.9078498293515358,8868890,38.87
SelfRegulationSCP1,Crossformer,896,3,256,4,64,10,24,0.9180887372013652,8143842,36.1
SelfRegulationSCP1,Crossformer,896,3,256,4,64,10,12,0.9283276450511946,8379314,37.0
SelfRegulationSCP1,Crossformer,896,3,256,4,64,10,6,0.8771331058020477,8880538,38.91
SelfRegulationSCP1,Crossformer,896,3,256,4,64,3,24,0.8976109215017065,8023778,35.64
SelfRegulationSCP1,Crossformer,896,3,256,4,64,3,12,0.9249146757679181,8142770,36.1
SelfRegulationSCP1,Crossformer,896,3,256,4,64,3,6,0.8976109215017065,8409242,37.11
SelfRegulationSCP1,Crossformer,896,3,128,4,512,10,24,0.89419795221843,3849314,17.27
SelfRegulationSCP1,Crossformer,896,3,128,4,512,10,12,0.9112627986348123,3967026,17.72
SelfRegulationSCP1,Crossformer,896,3,128,4,512,10,6,0.89419795221843,4217626,18.68
SelfRegulationSCP1,Crossformer,896,3,128,4,512,3,24,0.9044368600682594,3789282,17.05
SelfRegulationSCP1,Crossformer,896,3,128,4,512,3,12,0.9010238907849829,3848754,17.27
SelfRegulationSCP1,Crossformer,896,3,128,4,512,3,6,0.9010238907849829,3981978,17.78
SelfRegulationSCP1,Crossformer,896,3,128,4,256,10,24,0.9112627986348123,2928226,13.76
SelfRegulationSCP1,Crossformer,896,3,128,4,256,10,12,0.8907849829351536,3045938,14.21
SelfRegulationSCP1,Crossformer,896,3,128,4,256,10,6,0.9215017064846417,3296538,15.17
SelfRegulationSCP1,Crossformer,896,3,128,4,256,3,24,0.9078498293515358,2868194,13.53
SelfRegulationSCP1,Crossformer,896,3,128,4,256,3,12,0.9078498293515358,2927666,13.76
SelfRegulationSCP1,Crossformer,896,3,128,4,256,3,6,0.9044368600682594,3060890,14.27
SelfRegulationSCP1,Crossformer,896,3,128,4,128,10,24,0.9044368600682594,2467682,12.0
