data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
StandWalkJump,Crossformer,2500,3,256,4,512,10,24,0.6,11764835,49.91
StandWalkJump,Crossformer,2500,3,256,4,512,10,12,0.6,12401715,52.34
StandWalkJump,Crossformer,2500,3,256,4,512,10,6,0.5333333333333333,13698587,57.29
StandWalkJump,Crossformer,2500,3,256,4,512,3,24,0.5333333333333333,11433315,48.65
StandWalkJump,Crossformer,2500,3,256,4,512,3,12,0.6,11744051,49.83
StandWalkJump,Crossformer,2500,3,256,4,512,3,6,0.4666666666666667,12388635,52.29
StandWalkJump,Crossformer,2500,3,256,4,256,10,24,0.4666666666666667,9926243,42.9
StandWalkJump,Crossformer,2500,3,256,4,256,10,12,0.6,10563123,45.33
StandWalkJump,Crossformer,2500,3,256,4,256,10,6,0.5333333333333333,11859995,50.28
StandWalkJump,Crossformer,2500,3,256,4,256,3,24,0.5333333333333333,9594723,41.63
StandWalkJump,Crossformer,2500,3,256,4,256,3,12,0.6,9905459,42.82
StandWalkJump,Crossformer,2500,3,256,4,256,3,6,0.6,10550043,45.28
StandWalkJump,Crossformer,2500,3,256,4,128,10,24,0.4666666666666667,9006947,39.39
StandWalkJump,Crossformer,2500,3,256,4,128,10,12,0.5333333333333333,9643827,41.82
StandWalkJump,Crossformer,2500,3,256,4,128,10,6,0.4666666666666667,10940699,46.77
StandWalkJump,Crossformer,2500,3,256,4,128,3,24,0.4666666666666667,8675427,38.13
StandWalkJump,Crossformer,2500,3,256,4,128,3,12,0.4666666666666667,8986163,39.31
StandWalkJump,Crossformer,2500,3,256,4,128,3,6,0.5333333333333333,9630747,41.77
StandWalkJump,Crossformer,2500,3,256,4,64,10,24,0.4,8547299,37.64
StandWalkJump,Crossformer,2500,3,256,4,64,10,12,0.4666666666666667,9184179,40.07
StandWalkJump,Crossformer,2500,3,256,4,64,10,6,0.6,10481051,45.02
StandWalkJump,Crossformer,2500,3,256,4,64,3,24,0.6,8215779,36.37
StandWalkJump,Crossformer,2500,3,256,4,64,3,12,0.5333333333333333,8526515,37.56
StandWalkJump,Crossformer,2500,3,256,4,64,3,6,0.5333333333333333,9171099,40.02
StandWalkJump,Crossformer,2500,3,128,4,512,10,24,0.5333333333333333,4051043,18.04
StandWalkJump,Crossformer,2500,3,128,4,512,10,12,0.6,4369459,19.26
StandWalkJump,Crossformer,2500,3,128,4,512,10,6,0.4666666666666667,5017883,21.73
StandWalkJump,Crossformer,2500,3,128,4,512,3,24,0.6666666666666666,3885283,17.41
StandWalkJump,Crossformer,2500,3,128,4,512,3,12,0.5333333333333333,4040627,18.0
StandWalkJump,Crossformer,2500,3,128,4,512,3,6,0.5333333333333333,4362907,19.23
StandWalkJump,Crossformer,2500,3,128,4,256,10,24,0.5333333333333333,3129955,14.53
StandWalkJump,Crossformer,2500,3,128,4,256,10,12,0.4666666666666667,3448371,15.75
StandWalkJump,Crossformer,2500,3,128,4,256,10,6,0.5333333333333333,4096795,18.22
