data_name,model,seq_len,n_layers,d_model,n_heads,d_ff,factor,seg_len,acc,model_params,model_size (MB)
UWaveGestureLibrary,Crossformer,315,3,256,4,512,10,24,0.85,11200104,47.76
UWaveGestureLibrary,Crossformer,315,3,256,4,512,10,12,0.8625,11271992,48.03
UWaveGestureLibrary,Crossformer,315,3,256,4,512,10,6,0.846875,11445024,48.69
UWaveGestureLibrary,Crossformer,315,3,256,4,512,3,24,0.86875,11155304,47.59
UWaveGestureLibrary,Crossformer,315,3,256,4,512,3,12,0.85625,11185976,47.7
UWaveGestureLibrary,Crossformer,315,3,256,4,512,3,6,0.83125,11276576,48.05
UWaveGestureLibrary,Crossformer,315,3,256,4,256,10,24,0.865625,9361512,40.74
UWaveGestureLibrary,Crossformer,315,3,256,4,256,10,12,0.859375,9433400,41.02
UWaveGestureLibrary,Crossformer,315,3,256,4,256,10,6,0.84375,9606432,41.68
UWaveGestureLibrary,Crossformer,315,3,256,4,256,3,24,0.853125,9316712,40.57
UWaveGestureLibrary,Crossformer,315,3,256,4,256,3,12,0.871875,9347384,40.69
UWaveGestureLibrary,Crossformer,315,3,256,4,256,3,6,0.834375,9437984,41.04
UWaveGestureLibrary,Crossformer,315,3,256,4,128,10,24,0.859375,8442216,37.24
UWaveGestureLibrary,Crossformer,315,3,256,4,128,10,12,0.846875,8514104,37.51
UWaveGestureLibrary,Crossformer,315,3,256,4,128,10,6,0.8375,8687136,38.17
UWaveGestureLibrary,Crossformer,315,3,256,4,128,3,24,0.86875,8397416,37.07
UWaveGestureLibrary,Crossformer,315,3,256,4,128,3,12,0.85,8428088,37.18
UWaveGestureLibrary,Crossformer,315,3,256,4,128,3,6,0.846875,8518688,37.53
UWaveGestureLibrary,Crossformer,315,3,256,4,64,10,24,0.8625,7982568,35.48
UWaveGestureLibrary,Crossformer,315,3,256,4,64,10,12,0.853125,8054456,35.76
UWaveGestureLibrary,Crossformer,315,3,256,4,64,10,6,0.85,8227488,36.42
UWaveGestureLibrary,Crossformer,315,3,256,4,64,3,24,0.8375,7937768,35.31
UWaveGestureLibrary,Crossformer,315,3,256,4,64,3,12,0.86875,7968440,35.43
UWaveGestureLibrary,Crossformer,315,3,256,4,64,3,6,0.8375,8059040,35.78
UWaveGestureLibrary,Crossformer,315,3,128,4,512,10,24,0.840625,3768680,16.97
UWaveGestureLibrary,Crossformer,315,3,128,4,512,10,12,0.8625,3804600,17.1
UWaveGestureLibrary,Crossformer,315,3,128,4,512,10,6,0.84375,3891104,17.43
UWaveGestureLibrary,Crossformer,315,3,128,4,512,3,24,0.86875,3746280,16.88
UWaveGestureLibrary,Crossformer,315,3,128,4,512,3,12,0.853125,3761592,16.94
UWaveGestureLibrary,Crossformer,315,3,128,4,512,3,6,0.85625,3806880,17.11
UWaveGestureLibrary,Crossformer,315,3,128,4,256,10,24,0.84375,2847592,13.45
UWaveGestureLibrary,Crossformer,315,3,128,4,256,10,12,0.8625,2883512,13.59
UWaveGestureLibrary,Crossformer,315,3,128,4,256,10,6,0.85,2970016,13.92
UWaveGestureLibrary,Crossformer,315,3,128,4,256,3,24,0.853125,2825192,13.37
UWaveGestureLibrary,Crossformer,315,3,128,4,256,3,12,0.85,2840504,13.43
UWaveGestureLibrary,Crossformer,315,3,128,4,256,3,6,0.84375,2885792,13.6
UWaveGestureLibrary,Crossformer,315,3,128,4,128,10,24,0.8375,2387048,11.7
UWaveGestureLibrary,Crossformer,315,3,128,4,128,10,12,0.853125,2422968,11.83
UWaveGestureLibrary,Crossformer,315,3,128,4,128,10,6,0.8375,2509472,12.16
UWaveGestureLibrary,Crossformer,315,3,128,4,128,3,24,0.84375,2364648,11.61
UWaveGestureLibrary,Crossformer,315,3,128,4,128,3,12,0.840625,2379960,11.67
UWaveGestureLibrary,Crossformer,315,3,128,4,128,3,6,0.840625,2425248,11.84
UWaveGestureLibrary,Crossformer,315,3,128,4,64,10,24,0.859375,2156776,10.82
UWaveGestureLibrary,Crossformer,315,3,128,4,64,10,12,0.840625,2192696,10.96
