data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
ArticularyWordRecognition,DLinear,144,72,0.5,0.97,74185,0.29
ArticularyWordRecognition,DLinear,144,65,0.4513888888888889,0.97,74185,0.29
ArticularyWordRecognition,DLinear,144,58,0.4027777777777778,0.97,74185,0.29
ArticularyWordRecognition,DLinear,144,51,0.3541666666666667,0.9733333333333334,74185,0.29
ArticularyWordRecognition,DLinear,144,44,0.3055555555555556,0.9733333333333334,74185,0.29
ArticularyWordRecognition,DLinear,144,36,0.25,0.9666666666666667,74185,0.29
ArticularyWordRecognition,DLinear,144,29,0.2013888888888889,0.9733333333333334,74185,0.29
ArticularyWordRecognition,DLinear,144,22,0.1527777777777778,0.97,74185,0.29
ArticularyWordRecognition,DLinear,144,15,0.10416666666666667,0.9733333333333334,74185,0.29
ArticularyWordRecognition,DLinear,144,8,0.05555555555555555,0.9766666666666667,74185,0.29
ArticularyWordRecognition,DLinear,144,6,0.041666666666666664,0.9766666666666667,74185,0.29
ArticularyWordRecognition,DLinear,144,5,0.034722222222222224,0.9766666666666667,74185,0.29
ArticularyWordRecognition,DLinear,144,3,0.020833333333333332,0.9733333333333334,74185,0.29
ArticularyWordRecognition,DLinear,144,2,0.013888888888888888,0.9766666666666667,74185,0.29
ArticularyWordRecognition,DLinear,144,1,0.006944444444444444,0.9733333333333334,74185,0.29
