data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
EthanolConcentration,DLinear,1751,876,0.5002855511136494,0.2889733840304182,6156520,23.49
EthanolConcentration,DLinear,1751,788,0.4500285551113649,0.29277566539923955,6156520,23.49
EthanolConcentration,DLinear,1751,701,0.4003426613363792,0.29277566539923955,6156520,23.49
EthanolConcentration,DLinear,1751,613,0.3500856653340948,0.28517110266159695,6156520,23.49
EthanolConcentration,DLinear,1751,526,0.3003997715591091,0.2965779467680608,6156520,23.49
EthanolConcentration,DLinear,1751,438,0.2501427755568247,0.30798479087452474,6156520,23.49
EthanolConcentration,DLinear,1751,351,0.20045688178183896,0.2813688212927757,6156520,23.49
EthanolConcentration,DLinear,1751,263,0.15019988577955454,0.311787072243346,6156520,23.49
EthanolConcentration,DLinear,1751,176,0.10051399200456881,0.30798479087452474,6156520,23.49
EthanolConcentration,DLinear,1751,88,0.05025699600228441,0.2889733840304182,6156520,23.49
EthanolConcentration,DLinear,1751,71,0.04054825813820674,0.2813688212927757,6156520,23.49
EthanolConcentration,DLinear,1751,53,0.03026841804683038,0.2965779467680608,6156520,23.49
EthanolConcentration,DLinear,1751,36,0.020559680182752713,0.3041825095057034,6156520,23.49
EthanolConcentration,DLinear,1751,18,0.010279840091376356,0.29277566539923955,6156520,23.49
EthanolConcentration,DLinear,1751,9,0.005139920045688178,0.2585551330798479,6156520,23.49
