data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
LSST,DLinear,36,18,0.5,0.33252230332522303,5702,0.02
LSST,DLinear,36,17,0.4722222222222222,0.33211678832116787,5702,0.02
LSST,DLinear,36,15,0.4166666666666667,0.3333333333333333,5702,0.02
LSST,DLinear,36,13,0.3611111111111111,0.33171127331711275,5702,0.02
LSST,DLinear,36,11,0.3055555555555556,0.3402270884022709,5702,0.02
LSST,DLinear,36,9,0.25,0.3333333333333333,5702,0.02
LSST,DLinear,36,8,0.2222222222222222,0.3284671532846715,5702,0.02
LSST,DLinear,36,6,0.16666666666666666,0.3280616382806164,5702,0.02
LSST,DLinear,36,4,0.1111111111111111,0.33252230332522303,5702,0.02
LSST,DLinear,36,2,0.05555555555555555,0.33252230332522303,5702,0.02
LSST,DLinear,36,1,0.027777777777777776,0.3329278183292782,5702,0.02
