data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
Libras,DLinear,45,23,0.5111111111111111,0.7,5505,0.02
Libras,DLinear,45,21,0.4666666666666667,0.7055555555555556,5505,0.02
Libras,DLinear,45,18,0.4,0.7,5505,0.02
Libras,DLinear,45,16,0.35555555555555557,0.7055555555555556,5505,0.02
Libras,DLinear,45,14,0.3111111111111111,0.7055555555555556,5505,0.02
Libras,DLinear,45,12,0.26666666666666666,0.7055555555555556,5505,0.02
Libras,DLinear,45,9,0.2,0.6388888888888888,5505,0.02
Libras,DLinear,45,7,0.15555555555555556,0.6388888888888888,5505,0.02
Libras,DLinear,45,5,0.1111111111111111,0.7,5505,0.02
Libras,DLinear,45,3,0.06666666666666667,0.6944444444444444,5505,0.02
Libras,DLinear,45,2,0.044444444444444446,0.7,5505,0.02
Libras,DLinear,45,1,0.022222222222222223,0.6944444444444444,5505,0.02
