data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
RacketSports,DLinear,30,15,0.5,0.7631578947368421,2584,0.01
RacketSports,DLinear,30,14,0.4666666666666667,0.7631578947368421,2584,0.01
RacketSports,DLinear,30,12,0.4,0.756578947368421,2584,0.01
RacketSports,DLinear,30,11,0.36666666666666664,0.75,2584,0.01
RacketSports,DLinear,30,9,0.3,0.75,2584,0.01
RacketSports,DLinear,30,8,0.26666666666666666,0.756578947368421,2584,0.01
RacketSports,DLinear,30,6,0.2,0.756578947368421,2584,0.01
RacketSports,DLinear,30,5,0.16666666666666666,0.7763157894736842,2584,0.01
RacketSports,DLinear,30,3,0.1,0.756578947368421,2584,0.01
RacketSports,DLinear,30,2,0.06666666666666667,0.75,2584,0.01
RacketSports,DLinear,30,1,0.03333333333333333,0.7894736842105263,2584,0.01
