data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
SelfRegulationSCP2,DLinear,1152,576,0.5,0.5611111111111111,2672642,10.2
SelfRegulationSCP2,DLinear,1152,519,0.4505208333333333,0.5722222222222222,2672642,10.2
SelfRegulationSCP2,DLinear,1152,461,0.4001736111111111,0.55,2672642,10.2
SelfRegulationSCP2,DLinear,1152,404,0.3506944444444444,0.5611111111111111,2672642,10.2
SelfRegulationSCP2,DLinear,1152,346,0.3003472222222222,0.55,2672642,10.2
SelfRegulationSCP2,DLinear,1152,288,0.25,0.5444444444444444,2672642,10.2
SelfRegulationSCP2,DLinear,1152,231,0.20052083333333334,0.5611111111111111,2672642,10.2
SelfRegulationSCP2,DLinear,1152,173,0.1501736111111111,0.5666666666666667,2672642,10.2
SelfRegulationSCP2,DLinear,1152,116,0.10069444444444445,0.5555555555555556,2672642,10.2
SelfRegulationSCP2,DLinear,1152,58,0.050347222222222224,0.5444444444444444,2672642,10.2
SelfRegulationSCP2,DLinear,1152,47,0.04079861111111111,0.5555555555555556,2672642,10.2
SelfRegulationSCP2,DLinear,1152,35,0.030381944444444444,0.55,2672642,10.2
SelfRegulationSCP2,DLinear,1152,24,0.020833333333333332,0.5444444444444444,2672642,10.2
SelfRegulationSCP2,DLinear,1152,12,0.010416666666666666,0.5166666666666667,2672642,10.2
SelfRegulationSCP2,DLinear,1152,6,0.005208333333333333,0.5555555555555556,2672642,10.2
