data_name,model,seq_len,moving_average,moving_average_ratio,acc,model_params,model_size (MB)
SpokenArabicDigits,DLinear,93,47,0.5053763440860215,0.9668030923146885,29584,0.12
SpokenArabicDigits,DLinear,93,42,0.45161290322580644,0.9668030923146885,29584,0.12
SpokenArabicDigits,DLinear,93,38,0.40860215053763443,0.9663483401546157,29584,0.12
SpokenArabicDigits,DLinear,93,33,0.3548387096774194,0.9649840836743975,29584,0.12
SpokenArabicDigits,DLinear,93,28,0.3010752688172043,0.9631650750341064,29584,0.12
SpokenArabicDigits,DLinear,93,24,0.25806451612903225,0.969531605275125,29584,0.12
SpokenArabicDigits,DLinear,93,19,0.20430107526881722,0.9631650750341064,29584,0.12
SpokenArabicDigits,DLinear,93,14,0.15053763440860216,0.9663483401546157,29584,0.12
SpokenArabicDigits,DLinear,93,10,0.10752688172043011,0.9681673487949067,29584,0.12
SpokenArabicDigits,DLinear,93,5,0.053763440860215055,0.9654388358344702,29584,0.12
SpokenArabicDigits,DLinear,93,4,0.043010752688172046,0.9686221009549796,29584,0.12
SpokenArabicDigits,DLinear,93,3,0.03225806451612903,0.967712596634834,29584,0.12
SpokenArabicDigits,DLinear,93,2,0.021505376344086023,0.9649840836743975,29584,0.12
SpokenArabicDigits,DLinear,93,1,0.010752688172043012,0.9649840836743975,29584,0.12
