data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
ArticularyWordRecognition,ETSformer,144,512,8,2,2,2048,4,0.9533333333333334,7128705,36.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,2048,3,0.96,7128705,36.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,2048,2,0.9666666666666667,7128705,36.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,2048,1,0.9666666666666667,7128705,36.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,1024,4,0.9766666666666667,5031553,28.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,1024,3,0.9766666666666667,5031553,28.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,1024,2,0.9633333333333334,5031553,28.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,1024,1,0.9666666666666667,5031553,28.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,512,4,0.9833333333333333,3982977,24.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,512,3,0.9833333333333333,3982977,24.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,512,2,0.9766666666666667,3982977,24.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,512,1,0.9666666666666667,3982977,24.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,256,4,0.9633333333333334,3458689,22.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,256,3,0.97,3458689,22.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,256,2,0.9633333333333334,3458689,22.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,256,1,0.9633333333333334,3458689,22.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,128,4,0.9766666666666667,3196545,21.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,128,3,0.97,3196545,21.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,128,2,0.9766666666666667,3196545,21.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,128,1,0.9666666666666667,3196545,21.98
ArticularyWordRecognition,ETSformer,144,512,8,2,2,64,4,0.9533333333333334,3065473,21.48
ArticularyWordRecognition,ETSformer,144,512,8,2,2,64,3,0.9766666666666667,3065473,21.48
ArticularyWordRecognition,ETSformer,144,512,8,2,2,64,2,0.9733333333333334,3065473,21.48
ArticularyWordRecognition,ETSformer,144,512,8,2,2,64,1,0.9666666666666667,3065473,21.48
ArticularyWordRecognition,ETSformer,144,256,8,2,2,2048,4,0.98,3302273,17.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,2048,3,0.98,3302273,17.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,2048,2,0.9833333333333333,3302273,17.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,2048,1,0.98,3302273,17.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,1024,4,0.98,2253697,13.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,1024,3,0.98,2253697,13.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,1024,2,0.98,2253697,13.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,1024,1,0.9766666666666667,2253697,13.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,512,4,0.9833333333333333,1729409,11.5
ArticularyWordRecognition,ETSformer,144,256,8,2,2,512,3,0.9833333333333333,1729409,11.5
