data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
AtrialFibrillation,ETSformer,640,512,8,2,2,2048,4,0.4,6243379,33.6
AtrialFibrillation,ETSformer,640,512,8,2,2,2048,3,0.4,6243379,33.6
AtrialFibrillation,ETSformer,640,512,8,2,2,2048,2,0.5333333333333333,6243379,33.6
AtrialFibrillation,ETSformer,640,512,8,2,2,2048,1,0.4666666666666667,6243379,33.6
AtrialFibrillation,ETSformer,640,512,8,2,2,1024,4,0.4,4146227,25.6
AtrialFibrillation,ETSformer,640,512,8,2,2,1024,3,0.4666666666666667,4146227,25.6
AtrialFibrillation,ETSformer,640,512,8,2,2,1024,2,0.4666666666666667,4146227,25.6
AtrialFibrillation,ETSformer,640,512,8,2,2,1024,1,0.4666666666666667,4146227,25.6
AtrialFibrillation,ETSformer,640,512,8,2,2,512,4,0.6,3097651,21.6
AtrialFibrillation,ETSformer,640,512,8,2,2,512,3,0.6,3097651,21.6
AtrialFibrillation,ETSformer,640,512,8,2,2,512,2,0.4666666666666667,3097651,21.6
AtrialFibrillation,ETSformer,640,512,8,2,2,512,1,0.6,3097651,21.6
AtrialFibrillation,ETSformer,640,512,8,2,2,256,4,0.4,2573363,19.6
AtrialFibrillation,ETSformer,640,512,8,2,2,256,3,0.4666666666666667,2573363,19.6
AtrialFibrillation,ETSformer,640,512,8,2,2,256,2,0.5333333333333333,2573363,19.6
AtrialFibrillation,ETSformer,640,512,8,2,2,256,1,0.4,2573363,19.6
AtrialFibrillation,ETSformer,640,512,8,2,2,128,4,0.4666666666666667,2311219,18.6
AtrialFibrillation,ETSformer,640,512,8,2,2,128,3,0.4,2311219,18.6
AtrialFibrillation,ETSformer,640,512,8,2,2,128,2,0.4,2311219,18.6
AtrialFibrillation,ETSformer,640,512,8,2,2,128,1,0.3333333333333333,2311219,18.6
AtrialFibrillation,ETSformer,640,512,8,2,2,64,4,0.3333333333333333,2180147,18.1
AtrialFibrillation,ETSformer,640,512,8,2,2,64,3,0.4,2180147,18.1
AtrialFibrillation,ETSformer,640,512,8,2,2,64,2,0.5333333333333333,2180147,18.1
AtrialFibrillation,ETSformer,640,512,8,2,2,64,1,0.3333333333333333,2180147,18.1
AtrialFibrillation,ETSformer,640,256,8,2,2,2048,4,0.3333333333333333,2859571,15.81
AtrialFibrillation,ETSformer,640,256,8,2,2,2048,3,0.3333333333333333,2859571,15.81
AtrialFibrillation,ETSformer,640,256,8,2,2,2048,2,0.4666666666666667,2859571,15.81
AtrialFibrillation,ETSformer,640,256,8,2,2,2048,1,0.5333333333333333,2859571,15.81
AtrialFibrillation,ETSformer,640,256,8,2,2,1024,4,0.3333333333333333,1810995,11.81
AtrialFibrillation,ETSformer,640,256,8,2,2,1024,3,0.4666666666666667,1810995,11.81
AtrialFibrillation,ETSformer,640,256,8,2,2,1024,2,0.4666666666666667,1810995,11.81
AtrialFibrillation,ETSformer,640,256,8,2,2,1024,1,0.4,1810995,11.81
AtrialFibrillation,ETSformer,640,256,8,2,2,512,4,0.4,1286707,9.81
AtrialFibrillation,ETSformer,640,256,8,2,2,512,3,0.4666666666666667,1286707,9.81
