data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
DuckDuckGeese,ETSformer,270,512,8,2,2,2048,4,0.3,10775597,50.89
DuckDuckGeese,ETSformer,270,512,8,2,2,2048,3,0.3,10775597,50.89
DuckDuckGeese,ETSformer,270,512,8,2,2,2048,2,0.28,10775597,50.89
DuckDuckGeese,ETSformer,270,512,8,2,2,2048,1,0.32,10775597,50.89
DuckDuckGeese,ETSformer,270,512,8,2,2,1024,4,0.32,8678445,42.89
DuckDuckGeese,ETSformer,270,512,8,2,2,1024,3,0.3,8678445,42.89
DuckDuckGeese,ETSformer,270,512,8,2,2,1024,2,0.3,8678445,42.89
DuckDuckGeese,ETSformer,270,512,8,2,2,1024,1,0.3,8678445,42.89
DuckDuckGeese,ETSformer,270,512,8,2,2,512,4,0.3,7629869,38.89
DuckDuckGeese,ETSformer,270,512,8,2,2,512,3,0.3,7629869,38.89
DuckDuckGeese,ETSformer,270,512,8,2,2,512,2,0.26,7629869,38.89
DuckDuckGeese,ETSformer,270,512,8,2,2,512,1,0.26,7629869,38.89
DuckDuckGeese,ETSformer,270,512,8,2,2,256,4,0.3,7105581,36.89
DuckDuckGeese,ETSformer,270,512,8,2,2,256,3,0.32,7105581,36.89
DuckDuckGeese,ETSformer,270,512,8,2,2,256,2,0.32,7105581,36.89
DuckDuckGeese,ETSformer,270,512,8,2,2,256,1,0.3,7105581,36.89
DuckDuckGeese,ETSformer,270,512,8,2,2,128,4,0.28,6843437,35.89
DuckDuckGeese,ETSformer,270,512,8,2,2,128,3,0.28,6843437,35.89
DuckDuckGeese,ETSformer,270,512,8,2,2,128,2,0.28,6843437,35.89
DuckDuckGeese,ETSformer,270,512,8,2,2,128,1,0.28,6843437,35.89
DuckDuckGeese,ETSformer,270,512,8,2,2,64,4,0.28,6712365,35.39
DuckDuckGeese,ETSformer,270,512,8,2,2,64,3,0.28,6712365,35.39
DuckDuckGeese,ETSformer,270,512,8,2,2,64,2,0.3,6712365,35.39
DuckDuckGeese,ETSformer,270,512,8,2,2,64,1,0.28,6712365,35.39
DuckDuckGeese,ETSformer,270,256,8,2,2,2048,4,0.34,5131053,24.47
DuckDuckGeese,ETSformer,270,256,8,2,2,2048,3,0.3,5131053,24.47
