data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
ERing,ETSformer,65,512,8,2,2,2048,4,0.9407407407407408,5467206,30.64
ERing,ETSformer,65,512,8,2,2,2048,3,0.937037037037037,5467206,30.64
ERing,ETSformer,65,512,8,2,2,2048,2,0.9407407407407408,5467206,30.64
ERing,ETSformer,65,512,8,2,2,2048,1,0.937037037037037,5467206,30.64
ERing,ETSformer,65,512,8,2,2,1024,4,0.9518518518518518,3370054,22.64
ERing,ETSformer,65,512,8,2,2,1024,3,0.9592592592592593,3370054,22.64
ERing,ETSformer,65,512,8,2,2,1024,2,0.9518518518518518,3370054,22.64
ERing,ETSformer,65,512,8,2,2,1024,1,0.9333333333333333,3370054,22.64
ERing,ETSformer,65,512,8,2,2,512,4,0.9555555555555556,2321478,18.64
ERing,ETSformer,65,512,8,2,2,512,3,0.9518518518518518,2321478,18.64
ERing,ETSformer,65,512,8,2,2,512,2,0.9555555555555556,2321478,18.64
ERing,ETSformer,65,512,8,2,2,512,1,0.937037037037037,2321478,18.64
ERing,ETSformer,65,512,8,2,2,256,4,0.9518518518518518,1797190,16.64
ERing,ETSformer,65,512,8,2,2,256,3,0.9481481481481482,1797190,16.64
ERing,ETSformer,65,512,8,2,2,256,2,0.9518518518518518,1797190,16.64
ERing,ETSformer,65,512,8,2,2,256,1,0.937037037037037,1797190,16.64
ERing,ETSformer,65,512,8,2,2,128,4,0.9444444444444444,1535046,15.64
ERing,ETSformer,65,512,8,2,2,128,3,0.9518518518518518,1535046,15.64
ERing,ETSformer,65,512,8,2,2,128,2,0.9296296296296296,1535046,15.64
ERing,ETSformer,65,512,8,2,2,128,1,0.9259259259259259,1535046,15.64
ERing,ETSformer,65,512,8,2,2,64,4,0.9481481481481482,1403974,15.14
ERing,ETSformer,65,512,8,2,2,64,3,0.9444444444444444,1403974,15.14
ERing,ETSformer,65,512,8,2,2,64,2,0.9407407407407408,1403974,15.14
ERing,ETSformer,65,512,8,2,2,64,1,0.937037037037037,1403974,15.14
ERing,ETSformer,65,256,8,2,2,2048,4,0.9518518518518518,2471494,14.33
ERing,ETSformer,65,256,8,2,2,2048,3,0.9481481481481482,2471494,14.33
ERing,ETSformer,65,256,8,2,2,2048,2,0.9555555555555556,2471494,14.33
ERing,ETSformer,65,256,8,2,2,2048,1,0.9407407407407408,2471494,14.33
ERing,ETSformer,65,256,8,2,2,1024,4,0.9407407407407408,1422918,10.33
ERing,ETSformer,65,256,8,2,2,1024,3,0.9444444444444444,1422918,10.33
