data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
Epilepsy,ETSformer,206,512,8,2,2,2048,4,0.8768115942028986,5685820,31.47
Epilepsy,ETSformer,206,512,8,2,2,2048,3,0.8478260869565217,5685820,31.47
Epilepsy,ETSformer,206,512,8,2,2,2048,2,0.8768115942028986,5685820,31.47
Epilepsy,ETSformer,206,512,8,2,2,2048,1,0.8623188405797102,5685820,31.47
Epilepsy,ETSformer,206,512,8,2,2,1024,4,0.8695652173913043,3588668,23.47
Epilepsy,ETSformer,206,512,8,2,2,1024,3,0.8623188405797102,3588668,23.47
Epilepsy,ETSformer,206,512,8,2,2,1024,2,0.8695652173913043,3588668,23.47
Epilepsy,ETSformer,206,512,8,2,2,1024,1,0.8695652173913043,3588668,23.47
Epilepsy,ETSformer,206,512,8,2,2,512,4,0.8478260869565217,2540092,19.47
Epilepsy,ETSformer,206,512,8,2,2,512,3,0.8260869565217391,2540092,19.47
Epilepsy,ETSformer,206,512,8,2,2,512,2,0.8405797101449275,2540092,19.47
Epilepsy,ETSformer,206,512,8,2,2,512,1,0.8840579710144928,2540092,19.47
Epilepsy,ETSformer,206,512,8,2,2,256,4,0.855072463768116,2015804,17.47
Epilepsy,ETSformer,206,512,8,2,2,256,3,0.8695652173913043,2015804,17.47
Epilepsy,ETSformer,206,512,8,2,2,256,2,0.8840579710144928,2015804,17.47
Epilepsy,ETSformer,206,512,8,2,2,256,1,0.8768115942028986,2015804,17.47
Epilepsy,ETSformer,206,512,8,2,2,128,4,0.8333333333333334,1753660,16.47
Epilepsy,ETSformer,206,512,8,2,2,128,3,0.8695652173913043,1753660,16.47
Epilepsy,ETSformer,206,512,8,2,2,128,2,0.855072463768116,1753660,16.47
Epilepsy,ETSformer,206,512,8,2,2,128,1,0.8840579710144928,1753660,16.47
Epilepsy,ETSformer,206,512,8,2,2,64,4,0.8623188405797102,1622588,15.97
Epilepsy,ETSformer,206,512,8,2,2,64,3,0.8333333333333334,1622588,15.97
Epilepsy,ETSformer,206,512,8,2,2,64,2,0.8405797101449275,1622588,15.97
Epilepsy,ETSformer,206,512,8,2,2,64,1,0.8695652173913043,1622588,15.97
Epilepsy,ETSformer,206,256,8,2,2,2048,4,0.855072463768116,2580796,14.75
Epilepsy,ETSformer,206,256,8,2,2,2048,3,0.8623188405797102,2580796,14.75
Epilepsy,ETSformer,206,256,8,2,2,2048,2,0.8695652173913043,2580796,14.75
Epilepsy,ETSformer,206,256,8,2,2,2048,1,0.8840579710144928,2580796,14.75
Epilepsy,ETSformer,206,256,8,2,2,1024,4,0.8623188405797102,1532220,10.75
Epilepsy,ETSformer,206,256,8,2,2,1024,3,0.8623188405797102,1532220,10.75
Epilepsy,ETSformer,206,256,8,2,2,1024,2,0.8623188405797102,1532220,10.75
Epilepsy,ETSformer,206,256,8,2,2,1024,1,0.8695652173913043,1532220,10.75
