data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
EthanolConcentration,ETSformer,1751,512,8,2,2,2048,4,0.2889733840304182,8849980,43.54
EthanolConcentration,ETSformer,1751,512,8,2,2,2048,3,0.2813688212927757,8849980,43.54
EthanolConcentration,ETSformer,1751,512,8,2,2,2048,2,0.28517110266159695,8849980,43.54
EthanolConcentration,ETSformer,1751,512,8,2,2,2048,1,0.2813688212927757,8849980,43.54
EthanolConcentration,ETSformer,1751,512,8,2,2,1024,4,0.2661596958174905,6752828,35.54
EthanolConcentration,ETSformer,1751,512,8,2,2,1024,3,0.2813688212927757,6752828,35.54
EthanolConcentration,ETSformer,1751,512,8,2,2,1024,2,0.2813688212927757,6752828,35.54
EthanolConcentration,ETSformer,1751,512,8,2,2,1024,1,0.2661596958174905,6752828,35.54
EthanolConcentration,ETSformer,1751,512,8,2,2,512,4,0.2623574144486692,5704252,31.54
EthanolConcentration,ETSformer,1751,512,8,2,2,512,3,0.3155893536121673,5704252,31.54
EthanolConcentration,ETSformer,1751,512,8,2,2,512,2,0.26996197718631176,5704252,31.54
EthanolConcentration,ETSformer,1751,512,8,2,2,512,1,0.2965779467680608,5704252,31.54
EthanolConcentration,ETSformer,1751,512,8,2,2,256,4,0.2965779467680608,5179964,29.54
EthanolConcentration,ETSformer,1751,512,8,2,2,256,3,0.29277566539923955,5179964,29.54
EthanolConcentration,ETSformer,1751,512,8,2,2,256,2,0.2889733840304182,5179964,29.54
EthanolConcentration,ETSformer,1751,512,8,2,2,256,1,0.2661596958174905,5179964,29.54
EthanolConcentration,ETSformer,1751,512,8,2,2,128,4,0.2889733840304182,4917820,28.54
EthanolConcentration,ETSformer,1751,512,8,2,2,128,3,0.2889733840304182,4917820,28.54
EthanolConcentration,ETSformer,1751,512,8,2,2,128,2,0.2813688212927757,4917820,28.54
EthanolConcentration,ETSformer,1751,512,8,2,2,128,1,0.28517110266159695,4917820,28.54
EthanolConcentration,ETSformer,1751,512,8,2,2,64,4,0.29277566539923955,4786748,28.04
EthanolConcentration,ETSformer,1751,512,8,2,2,64,3,0.2813688212927757,4786748,28.04
EthanolConcentration,ETSformer,1751,512,8,2,2,64,2,0.2737642585551331,4786748,28.04
EthanolConcentration,ETSformer,1751,512,8,2,2,64,1,0.2737642585551331,4786748,28.04
EthanolConcentration,ETSformer,1751,256,8,2,2,2048,4,0.2737642585551331,4162876,20.78
EthanolConcentration,ETSformer,1751,256,8,2,2,2048,3,0.30038022813688214,4162876,20.78
EthanolConcentration,ETSformer,1751,256,8,2,2,2048,2,0.2813688212927757,4162876,20.78
EthanolConcentration,ETSformer,1751,256,8,2,2,2048,1,0.28517110266159695,4162876,20.78
EthanolConcentration,ETSformer,1751,256,8,2,2,1024,4,0.2813688212927757,3114300,16.78
EthanolConcentration,ETSformer,1751,256,8,2,2,1024,3,0.28517110266159695,3114300,16.78
EthanolConcentration,ETSformer,1751,256,8,2,2,1024,2,0.26996197718631176,3114300,16.78
EthanolConcentration,ETSformer,1751,256,8,2,2,1024,1,0.29277566539923955,3114300,16.78
EthanolConcentration,ETSformer,1751,256,8,2,2,512,4,0.28517110266159695,2590012,14.78
EthanolConcentration,ETSformer,1751,256,8,2,2,512,3,0.29277566539923955,2590012,14.78
EthanolConcentration,ETSformer,1751,256,8,2,2,512,2,0.2661596958174905,2590012,14.78
EthanolConcentration,ETSformer,1751,256,8,2,2,512,1,0.3041825095057034,2590012,14.78
EthanolConcentration,ETSformer,1751,256,8,2,2,256,4,0.2623574144486692,2327868,13.78
EthanolConcentration,ETSformer,1751,256,8,2,2,256,3,0.29277566539923955,2327868,13.78
EthanolConcentration,ETSformer,1751,256,8,2,2,256,2,0.28517110266159695,2327868,13.78
EthanolConcentration,ETSformer,1751,256,8,2,2,256,1,0.28517110266159695,2327868,13.78
EthanolConcentration,ETSformer,1751,256,8,2,2,128,4,0.26996197718631176,2196796,13.28
EthanolConcentration,ETSformer,1751,256,8,2,2,128,3,0.2661596958174905,2196796,13.28
EthanolConcentration,ETSformer,1751,256,8,2,2,128,2,0.26996197718631176,2196796,13.28
EthanolConcentration,ETSformer,1751,256,8,2,2,128,1,0.2889733840304182,2196796,13.28
EthanolConcentration,ETSformer,1751,256,8,2,2,64,4,0.2813688212927757,2131260,13.03
EthanolConcentration,ETSformer,1751,256,8,2,2,64,3,0.30798479087452474,2131260,13.03
EthanolConcentration,ETSformer,1751,256,8,2,2,64,2,0.2813688212927757,2131260,13.03
EthanolConcentration,ETSformer,1751,256,8,2,2,64,1,0.2813688212927757,2131260,13.03
EthanolConcentration,ETSformer,1751,128,8,2,2,2048,4,0.2509505703422053,2015932,10.15
EthanolConcentration,ETSformer,1751,128,8,2,2,2048,3,0.2889733840304182,2015932,10.15
EthanolConcentration,ETSformer,1751,128,8,2,2,2048,2,0.27756653992395436,2015932,10.15
EthanolConcentration,ETSformer,1751,128,8,2,2,2048,1,0.2965779467680608,2015932,10.15
EthanolConcentration,ETSformer,1751,128,8,2,2,1024,4,0.2813688212927757,1491644,8.15
EthanolConcentration,ETSformer,1751,128,8,2,2,1024,3,0.28517110266159695,1491644,8.15
EthanolConcentration,ETSformer,1751,128,8,2,2,1024,2,0.27756653992395436,1491644,8.15
EthanolConcentration,ETSformer,1751,128,8,2,2,1024,1,0.27756653992395436,1491644,8.15
EthanolConcentration,ETSformer,1751,128,8,2,2,512,4,0.2813688212927757,1229500,7.15
EthanolConcentration,ETSformer,1751,128,8,2,2,512,3,0.2813688212927757,1229500,7.15
EthanolConcentration,ETSformer,1751,128,8,2,2,512,2,0.2813688212927757,1229500,7.15
EthanolConcentration,ETSformer,1751,128,8,2,2,512,1,0.2965779467680608,1229500,7.15
EthanolConcentration,ETSformer,1751,128,8,2,2,256,4,0.27756653992395436,1098428,6.65
EthanolConcentration,ETSformer,1751,128,8,2,2,256,3,0.27756653992395436,1098428,6.65
EthanolConcentration,ETSformer,1751,128,8,2,2,256,2,0.27756653992395436,1098428,6.65
EthanolConcentration,ETSformer,1751,128,8,2,2,256,1,0.2623574144486692,1098428,6.65
EthanolConcentration,ETSformer,1751,128,8,2,2,128,4,0.2661596958174905,1032892,6.4
EthanolConcentration,ETSformer,1751,128,8,2,2,128,3,0.27756653992395436,1032892,6.4
EthanolConcentration,ETSformer,1751,128,8,2,2,128,2,0.2661596958174905,1032892,6.4
EthanolConcentration,ETSformer,1751,128,8,2,2,128,1,0.3041825095057034,1032892,6.4
EthanolConcentration,ETSformer,1751,128,8,2,2,64,4,0.2965779467680608,1000124,6.27
EthanolConcentration,ETSformer,1751,128,8,2,2,64,3,0.2661596958174905,1000124,6.27
EthanolConcentration,ETSformer,1751,128,8,2,2,64,2,0.2661596958174905,1000124,6.27
EthanolConcentration,ETSformer,1751,128,8,2,2,64,1,0.2889733840304182,1000124,6.27
EthanolConcentration,ETSformer,1751,64,8,2,2,2048,4,0.3041825095057034,991612,5.02
EthanolConcentration,ETSformer,1751,64,8,2,2,2048,3,0.26996197718631176,991612,5.02
EthanolConcentration,ETSformer,1751,64,8,2,2,2048,2,0.2623574144486692,991612,5.02
EthanolConcentration,ETSformer,1751,64,8,2,2,2048,1,0.28517110266159695,991612,5.02
EthanolConcentration,ETSformer,1751,64,8,2,2,1024,4,0.27756653992395436,729468,4.02
EthanolConcentration,ETSformer,1751,64,8,2,2,1024,3,0.30038022813688214,729468,4.02
EthanolConcentration,ETSformer,1751,64,8,2,2,1024,2,0.2737642585551331,729468,4.02
EthanolConcentration,ETSformer,1751,64,8,2,2,1024,1,0.29277566539923955,729468,4.02
EthanolConcentration,ETSformer,1751,64,8,2,2,512,4,0.26996197718631176,598396,3.52
EthanolConcentration,ETSformer,1751,64,8,2,2,512,3,0.2661596958174905,598396,3.52
EthanolConcentration,ETSformer,1751,64,8,2,2,512,2,0.2737642585551331,598396,3.52
EthanolConcentration,ETSformer,1751,64,8,2,2,512,1,0.2813688212927757,598396,3.52
EthanolConcentration,ETSformer,1751,64,8,2,2,256,4,0.29277566539923955,532860,3.27
EthanolConcentration,ETSformer,1751,64,8,2,2,256,3,0.26996197718631176,532860,3.27
EthanolConcentration,ETSformer,1751,64,8,2,2,256,2,0.26996197718631176,532860,3.27
EthanolConcentration,ETSformer,1751,64,8,2,2,256,1,0.2889733840304182,532860,3.27
EthanolConcentration,ETSformer,1751,64,8,2,2,128,4,0.28517110266159695,500092,3.15
EthanolConcentration,ETSformer,1751,64,8,2,2,128,3,0.2737642585551331,500092,3.15
EthanolConcentration,ETSformer,1751,64,8,2,2,128,2,0.26996197718631176,500092,3.15
EthanolConcentration,ETSformer,1751,64,8,2,2,128,1,0.30038022813688214,500092,3.15
EthanolConcentration,ETSformer,1751,64,8,2,2,64,4,0.28517110266159695,483708,3.08
EthanolConcentration,ETSformer,1751,64,8,2,2,64,3,0.29277566539923955,483708,3.08
EthanolConcentration,ETSformer,1751,64,8,2,2,64,2,0.29277566539923955,483708,3.08
EthanolConcentration,ETSformer,1751,64,8,2,2,64,1,0.27756653992395436,483708,3.08
EthanolConcentration,ETSformer,1751,32,8,2,2,2048,4,0.2737642585551331,491740,2.5
EthanolConcentration,ETSformer,1751,32,8,2,2,2048,3,0.2813688212927757,491740,2.5
EthanolConcentration,ETSformer,1751,32,8,2,2,2048,2,0.2813688212927757,491740,2.5
EthanolConcentration,ETSformer,1751,32,8,2,2,2048,1,0.2889733840304182,491740,2.5
EthanolConcentration,ETSformer,1751,32,8,2,2,1024,4,0.28517110266159695,360668,2.0
EthanolConcentration,ETSformer,1751,32,8,2,2,1024,3,0.2889733840304182,360668,2.0
EthanolConcentration,ETSformer,1751,32,8,2,2,1024,2,0.27756653992395436,360668,2.0
EthanolConcentration,ETSformer,1751,32,8,2,2,1024,1,0.28517110266159695,360668,2.0
EthanolConcentration,ETSformer,1751,32,8,2,2,512,4,0.2737642585551331,295132,1.75
EthanolConcentration,ETSformer,1751,32,8,2,2,512,3,0.28517110266159695,295132,1.75
EthanolConcentration,ETSformer,1751,32,8,2,2,512,2,0.2813688212927757,295132,1.75
EthanolConcentration,ETSformer,1751,32,8,2,2,512,1,0.2661596958174905,295132,1.75
EthanolConcentration,ETSformer,1751,32,8,2,2,256,4,0.2889733840304182,262364,1.63
EthanolConcentration,ETSformer,1751,32,8,2,2,256,3,0.2965779467680608,262364,1.63
EthanolConcentration,ETSformer,1751,32,8,2,2,256,2,0.29277566539923955,262364,1.63
EthanolConcentration,ETSformer,1751,32,8,2,2,256,1,0.2965779467680608,262364,1.63
EthanolConcentration,ETSformer,1751,32,8,2,2,128,4,0.2889733840304182,245980,1.57
EthanolConcentration,ETSformer,1751,32,8,2,2,128,3,0.29277566539923955,245980,1.57
EthanolConcentration,ETSformer,1751,32,8,2,2,128,2,0.26996197718631176,245980,1.57
EthanolConcentration,ETSformer,1751,32,8,2,2,128,1,0.28517110266159695,245980,1.57
EthanolConcentration,ETSformer,1751,32,8,2,2,64,4,0.2737642585551331,237788,1.54
EthanolConcentration,ETSformer,1751,32,8,2,2,64,3,0.2623574144486692,237788,1.54
EthanolConcentration,ETSformer,1751,32,8,2,2,64,2,0.2813688212927757,237788,1.54
EthanolConcentration,ETSformer,1751,32,8,2,2,64,1,0.3041825095057034,237788,1.54
EthanolConcentration,ETSformer,1751,512,8,1,1,2048,4,0.29277566539923955,6221344,33.51
EthanolConcentration,ETSformer,1751,512,8,1,1,2048,3,0.29277566539923955,6221344,33.51
EthanolConcentration,ETSformer,1751,512,8,1,1,2048,2,0.29277566539923955,6221344,33.51
EthanolConcentration,ETSformer,1751,512,8,1,1,2048,1,0.2737642585551331,6221344,33.51
EthanolConcentration,ETSformer,1751,512,8,1,1,1024,4,0.29277566539923955,5172768,29.51
EthanolConcentration,ETSformer,1751,512,8,1,1,1024,3,0.311787072243346,5172768,29.51
EthanolConcentration,ETSformer,1751,512,8,1,1,1024,2,0.2813688212927757,5172768,29.51
EthanolConcentration,ETSformer,1751,512,8,1,1,1024,1,0.29277566539923955,5172768,29.51
EthanolConcentration,ETSformer,1751,512,8,1,1,512,4,0.2813688212927757,4648480,27.51
