data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
FaceDetection,ETSformer,62,512,8,2,2,2048,4,0.6623155505107832,5833890,32.04
FaceDetection,ETSformer,62,512,8,2,2,2048,3,0.6648694665153235,5833890,32.04
FaceDetection,ETSformer,62,512,8,2,2,2048,2,0.6591940976163451,5833890,32.04
FaceDetection,ETSformer,62,512,8,2,2,2048,1,0.6634506242905789,5833890,32.04
FaceDetection,ETSformer,62,512,8,2,2,1024,4,0.6699772985244041,3736738,24.04
FaceDetection,ETSformer,62,512,8,2,2,1024,3,0.6509648127128264,3736738,24.04
FaceDetection,ETSformer,62,512,8,2,2,1024,2,0.6580590238365494,3736738,24.04
FaceDetection,ETSformer,62,512,8,2,2,1024,1,0.6589103291713961,3736738,24.04
FaceDetection,ETSformer,62,512,8,2,2,512,4,0.6583427922814983,2688162,20.04
FaceDetection,ETSformer,62,512,8,2,2,512,3,0.6640181611804767,2688162,20.04
FaceDetection,ETSformer,62,512,8,2,2,512,2,0.6552213393870602,2688162,20.04
FaceDetection,ETSformer,62,512,8,2,2,512,1,0.655788876276958,2688162,20.04
FaceDetection,ETSformer,62,512,8,2,2,256,4,0.6606129398410897,2163874,18.04
FaceDetection,ETSformer,62,512,8,2,2,256,3,0.6691259931895573,2163874,18.04
FaceDetection,ETSformer,62,512,8,2,2,256,2,0.6608967082860386,2163874,18.04
FaceDetection,ETSformer,62,512,8,2,2,256,1,0.6640181611804767,2163874,18.04
FaceDetection,ETSformer,62,512,8,2,2,128,4,0.6660045402951191,1901730,17.04
FaceDetection,ETSformer,62,512,8,2,2,128,3,0.6608967082860386,1901730,17.04
FaceDetection,ETSformer,62,512,8,2,2,128,2,0.6569239500567536,1901730,17.04
FaceDetection,ETSformer,62,512,8,2,2,128,1,0.6589103291713961,1901730,17.04
FaceDetection,ETSformer,62,512,8,2,2,64,4,0.6472758229284904,1770658,16.54
FaceDetection,ETSformer,62,512,8,2,2,64,3,0.6589103291713961,1770658,16.54
FaceDetection,ETSformer,62,512,8,2,2,64,2,0.6654370034052214,1770658,16.54
FaceDetection,ETSformer,62,512,8,2,2,64,1,0.666572077185017,1770658,16.54
FaceDetection,ETSformer,62,256,8,2,2,2048,4,0.6671396140749148,2655394,15.03
