data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
FingerMovements,ETSformer,50,512,8,2,2,2048,4,0.56,5404930,30.4
FingerMovements,ETSformer,50,512,8,2,2,2048,3,0.56,5404930,30.4
FingerMovements,ETSformer,50,512,8,2,2,2048,2,0.6,5404930,30.4
FingerMovements,ETSformer,50,512,8,2,2,2048,1,0.64,5404930,30.4
FingerMovements,ETSformer,50,512,8,2,2,1024,4,0.53,3307778,22.4
FingerMovements,ETSformer,50,512,8,2,2,1024,3,0.59,3307778,22.4
FingerMovements,ETSformer,50,512,8,2,2,1024,2,0.6,3307778,22.4
FingerMovements,ETSformer,50,512,8,2,2,1024,1,0.62,3307778,22.4
FingerMovements,ETSformer,50,512,8,2,2,512,4,0.62,2259202,18.4
FingerMovements,ETSformer,50,512,8,2,2,512,3,0.59,2259202,18.4
FingerMovements,ETSformer,50,512,8,2,2,512,2,0.63,2259202,18.4
FingerMovements,ETSformer,50,512,8,2,2,512,1,0.56,2259202,18.4
FingerMovements,ETSformer,50,512,8,2,2,256,4,0.61,1734914,16.4
FingerMovements,ETSformer,50,512,8,2,2,256,3,0.58,1734914,16.4
FingerMovements,ETSformer,50,512,8,2,2,256,2,0.59,1734914,16.4
FingerMovements,ETSformer,50,512,8,2,2,256,1,0.64,1734914,16.4
FingerMovements,ETSformer,50,512,8,2,2,128,4,0.56,1472770,15.4
FingerMovements,ETSformer,50,512,8,2,2,128,3,0.57,1472770,15.4
FingerMovements,ETSformer,50,512,8,2,2,128,2,0.55,1472770,15.4
FingerMovements,ETSformer,50,512,8,2,2,128,1,0.59,1472770,15.4
FingerMovements,ETSformer,50,512,8,2,2,64,4,0.56,1341698,14.9
FingerMovements,ETSformer,50,512,8,2,2,64,3,0.58,1341698,14.9
FingerMovements,ETSformer,50,512,8,2,2,64,2,0.62,1341698,14.9
FingerMovements,ETSformer,50,512,8,2,2,64,1,0.55,1341698,14.9
FingerMovements,ETSformer,50,256,8,2,2,2048,4,0.6,2440450,14.21
FingerMovements,ETSformer,50,256,8,2,2,2048,3,0.62,2440450,14.21
FingerMovements,ETSformer,50,256,8,2,2,2048,2,0.66,2440450,14.21
FingerMovements,ETSformer,50,256,8,2,2,2048,1,0.64,2440450,14.21
FingerMovements,ETSformer,50,256,8,2,2,1024,4,0.58,1391874,10.21
FingerMovements,ETSformer,50,256,8,2,2,1024,3,0.58,1391874,10.21
FingerMovements,ETSformer,50,256,8,2,2,1024,2,0.6,1391874,10.21
FingerMovements,ETSformer,50,256,8,2,2,1024,1,0.63,1391874,10.21
FingerMovements,ETSformer,50,256,8,2,2,512,4,0.61,867586,8.21
FingerMovements,ETSformer,50,256,8,2,2,512,3,0.59,867586,8.21
FingerMovements,ETSformer,50,256,8,2,2,512,2,0.56,867586,8.21
FingerMovements,ETSformer,50,256,8,2,2,512,1,0.65,867586,8.21
FingerMovements,ETSformer,50,256,8,2,2,256,4,0.6,605442,7.21
FingerMovements,ETSformer,50,256,8,2,2,256,3,0.62,605442,7.21
FingerMovements,ETSformer,50,256,8,2,2,256,2,0.64,605442,7.21
FingerMovements,ETSformer,50,256,8,2,2,256,1,0.61,605442,7.21
FingerMovements,ETSformer,50,256,8,2,2,128,4,0.61,474370,6.71
FingerMovements,ETSformer,50,256,8,2,2,128,3,0.56,474370,6.71
FingerMovements,ETSformer,50,256,8,2,2,128,2,0.61,474370,6.71
FingerMovements,ETSformer,50,256,8,2,2,128,1,0.6,474370,6.71
