data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
HandMovementDirection,ETSformer,400,512,8,2,2,2048,4,0.6081081081081081,6108276,33.08
HandMovementDirection,ETSformer,400,512,8,2,2,2048,3,0.5675675675675675,6108276,33.08
HandMovementDirection,ETSformer,400,512,8,2,2,2048,2,0.5540540540540541,6108276,33.08
HandMovementDirection,ETSformer,400,512,8,2,2,2048,1,0.5,6108276,33.08
HandMovementDirection,ETSformer,400,512,8,2,2,1024,4,0.6081081081081081,4011124,25.08
HandMovementDirection,ETSformer,400,512,8,2,2,1024,3,0.5675675675675675,4011124,25.08
HandMovementDirection,ETSformer,400,512,8,2,2,1024,2,0.5675675675675675,4011124,25.08
HandMovementDirection,ETSformer,400,512,8,2,2,1024,1,0.4864864864864865,4011124,25.08
HandMovementDirection,ETSformer,400,512,8,2,2,512,4,0.5675675675675675,2962548,21.08
HandMovementDirection,ETSformer,400,512,8,2,2,512,3,0.5540540540540541,2962548,21.08
HandMovementDirection,ETSformer,400,512,8,2,2,512,2,0.5540540540540541,2962548,21.08
HandMovementDirection,ETSformer,400,512,8,2,2,512,1,0.5135135135135135,2962548,21.08
HandMovementDirection,ETSformer,400,512,8,2,2,256,4,0.5945945945945946,2438260,19.08
HandMovementDirection,ETSformer,400,512,8,2,2,256,3,0.5540540540540541,2438260,19.08
HandMovementDirection,ETSformer,400,512,8,2,2,256,2,0.527027027027027,2438260,19.08
HandMovementDirection,ETSformer,400,512,8,2,2,256,1,0.581081081081081,2438260,19.08
HandMovementDirection,ETSformer,400,512,8,2,2,128,4,0.6081081081081081,2176116,18.08
HandMovementDirection,ETSformer,400,512,8,2,2,128,3,0.581081081081081,2176116,18.08
HandMovementDirection,ETSformer,400,512,8,2,2,128,2,0.5675675675675675,2176116,18.08
HandMovementDirection,ETSformer,400,512,8,2,2,128,1,0.527027027027027,2176116,18.08
HandMovementDirection,ETSformer,400,512,8,2,2,64,4,0.581081081081081,2045044,17.58
HandMovementDirection,ETSformer,400,512,8,2,2,64,3,0.5540540540540541,2045044,17.58
HandMovementDirection,ETSformer,400,512,8,2,2,64,2,0.527027027027027,2045044,17.58
HandMovementDirection,ETSformer,400,512,8,2,2,64,1,0.5135135135135135,2045044,17.58
HandMovementDirection,ETSformer,400,256,8,2,2,2048,4,0.581081081081081,2792052,15.55
HandMovementDirection,ETSformer,400,256,8,2,2,2048,3,0.527027027027027,2792052,15.55
HandMovementDirection,ETSformer,400,256,8,2,2,2048,2,0.527027027027027,2792052,15.55
HandMovementDirection,ETSformer,400,256,8,2,2,2048,1,0.5,2792052,15.55
HandMovementDirection,ETSformer,400,256,8,2,2,1024,4,0.5675675675675675,1743476,11.55
HandMovementDirection,ETSformer,400,256,8,2,2,1024,3,0.5540540540540541,1743476,11.55
HandMovementDirection,ETSformer,400,256,8,2,2,1024,2,0.5,1743476,11.55
HandMovementDirection,ETSformer,400,256,8,2,2,1024,1,0.47297297297297297,1743476,11.55
HandMovementDirection,ETSformer,400,256,8,2,2,512,4,0.6351351351351351,1219188,9.55
HandMovementDirection,ETSformer,400,256,8,2,2,512,3,0.581081081081081,1219188,9.55
HandMovementDirection,ETSformer,400,256,8,2,2,512,2,0.5405405405405406,1219188,9.55
HandMovementDirection,ETSformer,400,256,8,2,2,512,1,0.5,1219188,9.55
HandMovementDirection,ETSformer,400,256,8,2,2,256,4,0.5540540540540541,957044,8.55
HandMovementDirection,ETSformer,400,256,8,2,2,256,3,0.5675675675675675,957044,8.55
HandMovementDirection,ETSformer,400,256,8,2,2,256,2,0.5540540540540541,957044,8.55
HandMovementDirection,ETSformer,400,256,8,2,2,256,1,0.5405405405405406,957044,8.55
HandMovementDirection,ETSformer,400,256,8,2,2,128,4,0.6216216216216216,825972,8.05
HandMovementDirection,ETSformer,400,256,8,2,2,128,3,0.5540540540540541,825972,8.05
HandMovementDirection,ETSformer,400,256,8,2,2,128,2,0.527027027027027,825972,8.05
HandMovementDirection,ETSformer,400,256,8,2,2,128,1,0.5405405405405406,825972,8.05
HandMovementDirection,ETSformer,400,256,8,2,2,64,4,0.6216216216216216,760436,7.8
HandMovementDirection,ETSformer,400,256,8,2,2,64,3,0.5405405405405406,760436,7.8
HandMovementDirection,ETSformer,400,256,8,2,2,64,2,0.5405405405405406,760436,7.8
HandMovementDirection,ETSformer,400,256,8,2,2,64,1,0.4864864864864865,760436,7.8
HandMovementDirection,ETSformer,400,128,8,2,2,2048,4,0.5945945945945946,1330548,7.53
HandMovementDirection,ETSformer,400,128,8,2,2,2048,3,0.5675675675675675,1330548,7.53
HandMovementDirection,ETSformer,400,128,8,2,2,2048,2,0.5540540540540541,1330548,7.53
HandMovementDirection,ETSformer,400,128,8,2,2,2048,1,0.527027027027027,1330548,7.53
HandMovementDirection,ETSformer,400,128,8,2,2,1024,4,0.6216216216216216,806260,5.53
HandMovementDirection,ETSformer,400,128,8,2,2,1024,3,0.5540540540540541,806260,5.53
HandMovementDirection,ETSformer,400,128,8,2,2,1024,2,0.527027027027027,806260,5.53
HandMovementDirection,ETSformer,400,128,8,2,2,1024,1,0.527027027027027,806260,5.53
HandMovementDirection,ETSformer,400,128,8,2,2,512,4,0.6081081081081081,544116,4.53
HandMovementDirection,ETSformer,400,128,8,2,2,512,3,0.5405405405405406,544116,4.53
HandMovementDirection,ETSformer,400,128,8,2,2,512,2,0.527027027027027,544116,4.53
HandMovementDirection,ETSformer,400,128,8,2,2,512,1,0.4864864864864865,544116,4.53
HandMovementDirection,ETSformer,400,128,8,2,2,256,4,0.5945945945945946,413044,4.03
HandMovementDirection,ETSformer,400,128,8,2,2,256,3,0.5540540540540541,413044,4.03
HandMovementDirection,ETSformer,400,128,8,2,2,256,2,0.5,413044,4.03
HandMovementDirection,ETSformer,400,128,8,2,2,256,1,0.5135135135135135,413044,4.03
HandMovementDirection,ETSformer,400,128,8,2,2,128,4,0.5945945945945946,347508,3.78
HandMovementDirection,ETSformer,400,128,8,2,2,128,3,0.5675675675675675,347508,3.78
HandMovementDirection,ETSformer,400,128,8,2,2,128,2,0.5405405405405406,347508,3.78
HandMovementDirection,ETSformer,400,128,8,2,2,128,1,0.527027027027027,347508,3.78
HandMovementDirection,ETSformer,400,128,8,2,2,64,4,0.6081081081081081,314740,3.66
HandMovementDirection,ETSformer,400,128,8,2,2,64,3,0.5675675675675675,314740,3.66
HandMovementDirection,ETSformer,400,128,8,2,2,64,2,0.5405405405405406,314740,3.66
HandMovementDirection,ETSformer,400,128,8,2,2,64,1,0.527027027027027,314740,3.66
HandMovementDirection,ETSformer,400,64,8,2,2,2048,4,0.5540540540540541,648948,3.71
HandMovementDirection,ETSformer,400,64,8,2,2,2048,3,0.5405405405405406,648948,3.71
HandMovementDirection,ETSformer,400,64,8,2,2,2048,2,0.5405405405405406,648948,3.71
HandMovementDirection,ETSformer,400,64,8,2,2,2048,1,0.5405405405405406,648948,3.71
HandMovementDirection,ETSformer,400,64,8,2,2,1024,4,0.5405405405405406,386804,2.71
HandMovementDirection,ETSformer,400,64,8,2,2,1024,3,0.5675675675675675,386804,2.71
