data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
LSST,ETSformer,36,512,8,2,2,2048,4,0.370235198702352,5532766,30.89
LSST,ETSformer,36,512,8,2,2,2048,3,0.38321167883211676,5532766,30.89
LSST,ETSformer,36,512,8,2,2,2048,2,0.3896999188969992,5532766,30.89
LSST,ETSformer,36,512,8,2,2,2048,1,0.38118410381184104,5532766,30.89
LSST,ETSformer,36,512,8,2,2,1024,4,0.36699107866991076,3435614,22.89
LSST,ETSformer,36,512,8,2,2,1024,3,0.3751013787510138,3435614,22.89
LSST,ETSformer,36,512,8,2,2,1024,2,0.3905109489051095,3435614,22.89
LSST,ETSformer,36,512,8,2,2,1024,1,0.39456609894566097,3435614,22.89
LSST,ETSformer,36,512,8,2,2,512,4,0.3844282238442822,2387038,18.89
LSST,ETSformer,36,512,8,2,2,512,3,0.3953771289537713,2387038,18.89
LSST,ETSformer,36,512,8,2,2,512,2,0.3771289537712895,2387038,18.89
LSST,ETSformer,36,512,8,2,2,512,1,0.4124087591240876,2387038,18.89
LSST,ETSformer,36,512,8,2,2,256,4,0.3418491484184915,1862750,16.89
LSST,ETSformer,36,512,8,2,2,256,3,0.3491484184914842,1862750,16.89
LSST,ETSformer,36,512,8,2,2,256,2,0.3686131386861314,1862750,16.89
LSST,ETSformer,36,512,8,2,2,256,1,0.3982157339821573,1862750,16.89
LSST,ETSformer,36,512,8,2,2,128,4,0.39497161394971614,1600606,15.89
LSST,ETSformer,36,512,8,2,2,128,3,0.36253041362530414,1600606,15.89
LSST,ETSformer,36,512,8,2,2,128,2,0.36415247364152475,1600606,15.89
LSST,ETSformer,36,512,8,2,2,128,1,0.3933495539334955,1600606,15.89
LSST,ETSformer,36,512,8,2,2,64,4,0.3722627737226277,1469534,15.39
LSST,ETSformer,36,512,8,2,2,64,3,0.37793998377939986,1469534,15.39
LSST,ETSformer,36,512,8,2,2,64,2,0.3978102189781022,1469534,15.39
LSST,ETSformer,36,512,8,2,2,64,1,0.3929440389294404,1469534,15.39
LSST,ETSformer,36,256,8,2,2,2048,4,0.37875101378751014,2504286,14.45
LSST,ETSformer,36,256,8,2,2,2048,3,0.37550689375506896,2504286,14.45
LSST,ETSformer,36,256,8,2,2,2048,2,0.3921330089213301,2504286,14.45
LSST,ETSformer,36,256,8,2,2,2048,1,0.39456609894566097,2504286,14.45
LSST,ETSformer,36,256,8,2,2,1024,4,0.3726682887266829,1455710,10.45
LSST,ETSformer,36,256,8,2,2,1024,3,0.3637469586374696,1455710,10.45
LSST,ETSformer,36,256,8,2,2,1024,2,0.38767234387672345,1455710,10.45
LSST,ETSformer,36,256,8,2,2,1024,1,0.38523925385239255,1455710,10.45
LSST,ETSformer,36,256,8,2,2,512,4,0.36496350364963503,931422,8.45
LSST,ETSformer,36,256,8,2,2,512,3,0.36699107866991076,931422,8.45
LSST,ETSformer,36,256,8,2,2,512,2,0.3746958637469586,931422,8.45
LSST,ETSformer,36,256,8,2,2,512,1,0.39943227899432276,931422,8.45
LSST,ETSformer,36,256,8,2,2,256,4,0.3759124087591241,669278,7.45
LSST,ETSformer,36,256,8,2,2,256,3,0.3848337388483374,669278,7.45
LSST,ETSformer,36,256,8,2,2,256,2,0.38929440389294406,669278,7.45
LSST,ETSformer,36,256,8,2,2,256,1,0.39943227899432276,669278,7.45
LSST,ETSformer,36,256,8,2,2,128,4,0.37307380373073806,538206,6.95
LSST,ETSformer,36,256,8,2,2,128,3,0.36942416869424166,538206,6.95
LSST,ETSformer,36,256,8,2,2,128,2,0.3896999188969992,538206,6.95
LSST,ETSformer,36,256,8,2,2,128,1,0.38077858880778587,538206,6.95
LSST,ETSformer,36,256,8,2,2,64,4,0.37388483373884834,472670,6.7
LSST,ETSformer,36,256,8,2,2,64,3,0.3767234387672344,472670,6.7
LSST,ETSformer,36,256,8,2,2,64,2,0.38321167883211676,472670,6.7
LSST,ETSformer,36,256,8,2,2,64,1,0.40145985401459855,472670,6.7
LSST,ETSformer,36,128,8,2,2,2048,4,0.370235198702352,1186654,6.99
LSST,ETSformer,36,128,8,2,2,2048,3,0.3775344687753447,1186654,6.99
LSST,ETSformer,36,128,8,2,2,2048,2,0.36739659367396593,1186654,6.99
LSST,ETSformer,36,128,8,2,2,2048,1,0.38686131386861317,1186654,6.99
LSST,ETSformer,36,128,8,2,2,1024,4,0.3596918085969181,662366,4.99
LSST,ETSformer,36,128,8,2,2,1024,3,0.36699107866991076,662366,4.99
LSST,ETSformer,36,128,8,2,2,1024,2,0.36455798864557987,662366,4.99
LSST,ETSformer,36,128,8,2,2,1024,1,0.3929440389294404,662366,4.99
LSST,ETSformer,36,128,8,2,2,512,4,0.3718572587185726,400222,3.99
LSST,ETSformer,36,128,8,2,2,512,3,0.3726682887266829,400222,3.99
LSST,ETSformer,36,128,8,2,2,512,2,0.36658556366585565,400222,3.99
LSST,ETSformer,36,128,8,2,2,512,1,0.3896999188969992,400222,3.99
LSST,ETSformer,36,128,8,2,2,256,4,0.3560421735604217,269150,3.49
LSST,ETSformer,36,128,8,2,2,256,3,0.3742903487429035,269150,3.49
LSST,ETSformer,36,128,8,2,2,256,2,0.3706407137064071,269150,3.49
LSST,ETSformer,36,128,8,2,2,256,1,0.386455798864558,269150,3.49
LSST,ETSformer,36,128,8,2,2,128,4,0.3734793187347932,203614,3.24
LSST,ETSformer,36,128,8,2,2,128,3,0.3605028386050284,203614,3.24
LSST,ETSformer,36,128,8,2,2,128,2,0.37388483373884834,203614,3.24
LSST,ETSformer,36,128,8,2,2,128,1,0.3880778588807786,203614,3.24
LSST,ETSformer,36,128,8,2,2,64,4,0.35685320356853206,170846,3.11
LSST,ETSformer,36,128,8,2,2,64,3,0.36942416869424166,170846,3.11
LSST,ETSformer,36,128,8,2,2,64,2,0.36658556366585565,170846,3.11
LSST,ETSformer,36,128,8,2,2,64,1,0.38686131386861317,170846,3.11
LSST,ETSformer,36,64,8,2,2,2048,4,0.36212489862124897,576990,3.44
LSST,ETSformer,36,64,8,2,2,2048,3,0.3767234387672344,576990,3.44
LSST,ETSformer,36,64,8,2,2,2048,2,0.38037307380373075,576990,3.44
LSST,ETSformer,36,64,8,2,2,2048,1,0.38118410381184104,576990,3.44
LSST,ETSformer,36,64,8,2,2,1024,4,0.3710462287104623,314846,2.44
LSST,ETSformer,36,64,8,2,2,1024,3,0.3799675587996756,314846,2.44
LSST,ETSformer,36,64,8,2,2,1024,2,0.38686131386861317,314846,2.44
LSST,ETSformer,36,64,8,2,2,1024,1,0.3888888888888889,314846,2.44
LSST,ETSformer,36,64,8,2,2,512,4,0.3759124087591241,183774,1.94
LSST,ETSformer,36,64,8,2,2,512,3,0.36942416869424166,183774,1.94
LSST,ETSformer,36,64,8,2,2,512,2,0.3751013787510138,183774,1.94
LSST,ETSformer,36,64,8,2,2,512,1,0.3840227088402271,183774,1.94
LSST,ETSformer,36,64,8,2,2,256,4,0.3661800486618005,118238,1.69
LSST,ETSformer,36,64,8,2,2,256,3,0.3775344687753447,118238,1.69
LSST,ETSformer,36,64,8,2,2,256,2,0.3884833738848337,118238,1.69
LSST,ETSformer,36,64,8,2,2,256,1,0.39902676399026765,118238,1.69
LSST,ETSformer,36,64,8,2,2,128,4,0.3759124087591241,85470,1.56
LSST,ETSformer,36,64,8,2,2,128,3,0.3844282238442822,85470,1.56
LSST,ETSformer,36,64,8,2,2,128,2,0.39010543390105434,85470,1.56
LSST,ETSformer,36,64,8,2,2,128,1,0.39902676399026765,85470,1.56
LSST,ETSformer,36,64,8,2,2,64,4,0.3746958637469586,69086,1.5
LSST,ETSformer,36,64,8,2,2,64,3,0.3722627737226277,69086,1.5
LSST,ETSformer,36,64,8,2,2,64,2,0.3799675587996756,69086,1.5
LSST,ETSformer,36,64,8,2,2,64,1,0.3986212489862125,69086,1.5
LSST,ETSformer,36,32,8,2,2,2048,4,0.3844282238442822,284446,1.71
LSST,ETSformer,36,32,8,2,2,2048,3,0.3844282238442822,284446,1.71
LSST,ETSformer,36,32,8,2,2,2048,2,0.36699107866991076,284446,1.71
LSST,ETSformer,36,32,8,2,2,2048,1,0.38037307380373075,284446,1.71
LSST,ETSformer,36,32,8,2,2,1024,4,0.3722627737226277,153374,1.21
LSST,ETSformer,36,32,8,2,2,1024,3,0.3819951338199513,153374,1.21
LSST,ETSformer,36,32,8,2,2,1024,2,0.3633414436334144,153374,1.21
LSST,ETSformer,36,32,8,2,2,1024,1,0.3913219789132198,153374,1.21
LSST,ETSformer,36,32,8,2,2,512,4,0.37550689375506896,87838,0.96
LSST,ETSformer,36,32,8,2,2,512,3,0.36496350364963503,87838,0.96
LSST,ETSformer,36,32,8,2,2,512,2,0.3799675587996756,87838,0.96
LSST,ETSformer,36,32,8,2,2,512,1,0.39172749391727496,87838,0.96
LSST,ETSformer,36,32,8,2,2,256,4,0.3799675587996756,55070,0.84
LSST,ETSformer,36,32,8,2,2,256,3,0.3819951338199513,55070,0.84
LSST,ETSformer,36,32,8,2,2,256,2,0.37793998377939986,55070,0.84
LSST,ETSformer,36,32,8,2,2,256,1,0.3742903487429035,55070,0.84
LSST,ETSformer,36,32,8,2,2,128,4,0.3657745336577453,38686,0.78
LSST,ETSformer,36,32,8,2,2,128,3,0.3742903487429035,38686,0.78
LSST,ETSformer,36,32,8,2,2,128,2,0.37388483373884834,38686,0.78
LSST,ETSformer,36,32,8,2,2,128,1,0.3880778588807786,38686,0.78
LSST,ETSformer,36,32,8,2,2,64,4,0.3791565287915653,30494,0.74
LSST,ETSformer,36,32,8,2,2,64,3,0.36901865369018655,30494,0.74
LSST,ETSformer,36,32,8,2,2,64,2,0.37307380373073806,30494,0.74
LSST,ETSformer,36,32,8,2,2,64,1,0.3872668288726683,30494,0.74
LSST,ETSformer,36,512,8,1,1,2048,4,0.39497161394971614,2901046,20.84
LSST,ETSformer,36,512,8,1,1,2048,3,0.38523925385239255,2901046,20.84
LSST,ETSformer,36,512,8,1,1,2048,2,0.3799675587996756,2901046,20.84
LSST,ETSformer,36,512,8,1,1,2048,1,0.3844282238442822,2901046,20.84
LSST,ETSformer,36,512,8,1,1,1024,4,0.3791565287915653,1852470,16.84
LSST,ETSformer,36,512,8,1,1,1024,3,0.3596918085969181,1852470,16.84
LSST,ETSformer,36,512,8,1,1,1024,2,0.3678021086780211,1852470,16.84
LSST,ETSformer,36,512,8,1,1,1024,1,0.3734793187347932,1852470,16.84
LSST,ETSformer,36,512,8,1,1,512,4,0.37834549878345497,1328182,14.84
LSST,ETSformer,36,512,8,1,1,512,3,0.3909164639091646,1328182,14.84
LSST,ETSformer,36,512,8,1,1,512,2,0.3913219789132198,1328182,14.84
LSST,ETSformer,36,512,8,1,1,512,1,0.38361719383617193,1328182,14.84
LSST,ETSformer,36,512,8,1,1,256,4,0.3706407137064071,1066038,13.84
LSST,ETSformer,36,512,8,1,1,256,3,0.3710462287104623,1066038,13.84
LSST,ETSformer,36,512,8,1,1,256,2,0.38605028386050283,1066038,13.84
LSST,ETSformer,36,512,8,1,1,256,1,0.37550689375506896,1066038,13.84
LSST,ETSformer,36,512,8,1,1,128,4,0.3584752635847526,934966,13.34
LSST,ETSformer,36,512,8,1,1,128,3,0.3718572587185726,934966,13.34
LSST,ETSformer,36,512,8,1,1,128,2,0.3953771289537713,934966,13.34
LSST,ETSformer,36,512,8,1,1,128,1,0.37875101378751014,934966,13.34
LSST,ETSformer,36,512,8,1,1,64,4,0.3686131386861314,869430,13.09
LSST,ETSformer,36,512,8,1,1,64,3,0.3775344687753447,869430,13.09
LSST,ETSformer,36,512,8,1,1,64,2,0.3819951338199513,869430,13.09
LSST,ETSformer,36,512,8,1,1,64,1,0.38767234387672345,869430,13.09
LSST,ETSformer,36,256,8,1,1,2048,4,0.38077858880778587,1319478,9.93
LSST,ETSformer,36,256,8,1,1,2048,3,0.39416058394160586,1319478,9.93
