data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
MotorImagery,ETSformer,3000,512,8,2,2,2048,4,0.57,8555042,42.42
MotorImagery,ETSformer,3000,512,8,2,2,2048,3,0.56,8555042,42.42
MotorImagery,ETSformer,3000,512,8,2,2,2048,2,0.6,8555042,42.42
MotorImagery,ETSformer,3000,512,8,2,2,2048,1,0.53,8555042,42.42
MotorImagery,ETSformer,3000,512,8,2,2,1024,4,0.61,6457890,34.42
MotorImagery,ETSformer,3000,512,8,2,2,1024,3,0.6,6457890,34.42
MotorImagery,ETSformer,3000,512,8,2,2,1024,2,0.57,6457890,34.42
MotorImagery,ETSformer,3000,512,8,2,2,1024,1,0.62,6457890,34.42
MotorImagery,ETSformer,3000,512,8,2,2,512,4,0.58,5409314,30.42
MotorImagery,ETSformer,3000,512,8,2,2,512,3,0.61,5409314,30.42
MotorImagery,ETSformer,3000,512,8,2,2,512,2,0.57,5409314,30.42
MotorImagery,ETSformer,3000,512,8,2,2,512,1,0.57,5409314,30.42
MotorImagery,ETSformer,3000,512,8,2,2,256,4,0.57,4885026,28.42
MotorImagery,ETSformer,3000,512,8,2,2,256,3,0.6,4885026,28.42
MotorImagery,ETSformer,3000,512,8,2,2,256,2,0.58,4885026,28.42
MotorImagery,ETSformer,3000,512,8,2,2,256,1,0.58,4885026,28.42
MotorImagery,ETSformer,3000,512,8,2,2,128,4,0.61,4622882,27.42
MotorImagery,ETSformer,3000,512,8,2,2,128,3,0.6,4622882,27.42
MotorImagery,ETSformer,3000,512,8,2,2,128,2,0.57,4622882,27.42
MotorImagery,ETSformer,3000,512,8,2,2,128,1,0.59,4622882,27.42
MotorImagery,ETSformer,3000,512,8,2,2,64,4,0.57,4491810,26.92
MotorImagery,ETSformer,3000,512,8,2,2,64,3,0.59,4491810,26.92
MotorImagery,ETSformer,3000,512,8,2,2,64,2,0.56,4491810,26.92
