data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
PenDigits,ETSformer,8,512,8,2,2,2048,3,0.9814179531160663,5301306,30.01
PenDigits,ETSformer,8,512,8,2,2,2048,2,0.9679817038307604,5301306,30.01
PenDigits,ETSformer,8,512,8,2,2,2048,1,0.9819897084048027,5301306,30.01
PenDigits,ETSformer,8,512,8,2,2,1024,3,0.9754145225843339,3204154,22.01
PenDigits,ETSformer,8,512,8,2,2,1024,2,0.9716981132075472,3204154,22.01
PenDigits,ETSformer,8,512,8,2,2,1024,1,0.9768439108061749,3204154,22.01
PenDigits,ETSformer,8,512,8,2,2,512,3,0.9754145225843339,2155578,18.01
PenDigits,ETSformer,8,512,8,2,2,512,2,0.9745568896512292,2155578,18.01
PenDigits,ETSformer,8,512,8,2,2,512,1,0.9716981132075472,2155578,18.01
PenDigits,ETSformer,8,512,8,2,2,256,3,0.9694110920526015,1631290,16.01
PenDigits,ETSformer,8,512,8,2,2,256,2,0.9719839908519153,1631290,16.01
PenDigits,ETSformer,8,512,8,2,2,256,1,0.9828473413379074,1631290,16.01
PenDigits,ETSformer,8,512,8,2,2,128,3,0.9754145225843339,1369146,15.01
PenDigits,ETSformer,8,512,8,2,2,128,2,0.97284162378502,1369146,15.01
PenDigits,ETSformer,8,512,8,2,2,128,1,0.9828473413379074,1369146,15.01
PenDigits,ETSformer,8,512,8,2,2,64,3,0.9748427672955975,1238074,14.51
PenDigits,ETSformer,8,512,8,2,2,64,2,0.97284162378502,1238074,14.51
PenDigits,ETSformer,8,512,8,2,2,64,1,0.9719839908519153,1238074,14.51
PenDigits,ETSformer,8,256,8,2,2,2048,3,0.9842767295597484,2388538,14.01
PenDigits,ETSformer,8,256,8,2,2,2048,2,0.9811320754716981,2388538,14.01
PenDigits,ETSformer,8,256,8,2,2,2048,1,0.9839908519153803,2388538,14.01
PenDigits,ETSformer,8,256,8,2,2,1024,3,0.983704974271012,1339962,10.01
PenDigits,ETSformer,8,256,8,2,2,1024,2,0.9794168096054888,1339962,10.01
PenDigits,ETSformer,8,256,8,2,2,1024,1,0.983704974271012,1339962,10.01
PenDigits,ETSformer,8,256,8,2,2,512,3,0.983704974271012,815674,8.01
PenDigits,ETSformer,8,256,8,2,2,512,2,0.9805603201829617,815674,8.01
PenDigits,ETSformer,8,256,8,2,2,512,1,0.9831332189822756,815674,8.01
PenDigits,ETSformer,8,256,8,2,2,256,3,0.983704974271012,553530,7.01
PenDigits,ETSformer,8,256,8,2,2,256,2,0.9828473413379074,553530,7.01
PenDigits,ETSformer,8,256,8,2,2,256,1,0.9842767295597484,553530,7.01
PenDigits,ETSformer,8,256,8,2,2,128,3,0.9819897084048027,422458,6.51
PenDigits,ETSformer,8,256,8,2,2,128,2,0.9831332189822756,422458,6.51
PenDigits,ETSformer,8,256,8,2,2,128,1,0.9828473413379074,422458,6.51
PenDigits,ETSformer,8,256,8,2,2,64,3,0.9828473413379074,356922,6.26
PenDigits,ETSformer,8,256,8,2,2,64,2,0.9805603201829617,356922,6.26
PenDigits,ETSformer,8,256,8,2,2,64,1,0.9828473413379074,356922,6.26
PenDigits,ETSformer,8,128,8,2,2,2048,3,0.9842767295597484,1128762,6.77
PenDigits,ETSformer,8,128,8,2,2,2048,2,0.9771297884505432,1128762,6.77
