data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,2048,4,0.6,6457946,34.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,2048,3,0.5611111111111111,6457946,34.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,2048,2,0.5444444444444444,6457946,34.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,2048,1,0.55,6457946,34.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,1024,4,0.55,4360794,26.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,1024,3,0.5666666666666667,4360794,26.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,1024,2,0.5555555555555556,4360794,26.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,1024,1,0.5444444444444444,4360794,26.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,512,4,0.5611111111111111,3312218,22.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,512,3,0.5611111111111111,3312218,22.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,512,2,0.55,3312218,22.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,512,1,0.5388888888888889,3312218,22.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,256,4,0.55,2787930,20.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,256,3,0.5611111111111111,2787930,20.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,256,2,0.5555555555555556,2787930,20.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,256,1,0.5333333333333333,2787930,20.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,128,4,0.55,2525786,19.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,128,3,0.5444444444444444,2525786,19.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,128,2,0.55,2525786,19.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,128,1,0.5555555555555556,2525786,19.42
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,64,4,0.5555555555555556,2394714,18.92
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,64,3,0.55,2394714,18.92
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,64,2,0.55,2394714,18.92
SelfRegulationSCP2,ETSformer,1152,512,8,2,2,64,1,0.5666666666666667,2394714,18.92
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,2048,4,0.5555555555555556,2966874,16.22
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,2048,3,0.5666666666666667,2966874,16.22
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,2048,2,0.5666666666666667,2966874,16.22
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,2048,1,0.5555555555555556,2966874,16.22
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,1024,4,0.5388888888888889,1918298,12.22
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,1024,3,0.5444444444444444,1918298,12.22
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,1024,2,0.5444444444444444,1918298,12.22
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,1024,1,0.5388888888888889,1918298,12.22
SelfRegulationSCP2,ETSformer,1152,256,8,2,2,512,4,0.5333333333333333,1394010,10.22
