data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
SpokenArabicDigits,ETSformer,93,512,8,2,2,2048,4,0.9863574351978172,5776018,31.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,2048,3,0.9840836743974534,5776018,31.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,2048,2,0.9836289222373806,5776018,31.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,2048,1,0.9859026830377444,5776018,31.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,1024,4,0.9827194179172352,3678866,23.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,1024,3,0.9831741700773079,3678866,23.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,1024,2,0.9859026830377444,3678866,23.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,1024,1,0.9831741700773079,3678866,23.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,512,4,0.9859026830377444,2630290,19.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,512,3,0.9745338790359254,2630290,19.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,512,2,0.98681218735789,2630290,19.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,512,1,0.9827194179172352,2630290,19.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,256,4,0.9809004092769441,2106002,17.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,256,3,0.9836289222373806,2106002,17.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,256,2,0.9809004092769441,2106002,17.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,256,1,0.98681218735789,2106002,17.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,128,4,0.9813551614370168,1843858,16.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,128,3,0.9859026830377444,1843858,16.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,128,2,0.9777171441564347,1843858,16.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,128,1,0.9813551614370168,1843858,16.82
SpokenArabicDigits,ETSformer,93,512,8,2,2,64,4,0.9813551614370168,1712786,16.32
SpokenArabicDigits,ETSformer,93,512,8,2,2,64,3,0.9781718963165075,1712786,16.32
SpokenArabicDigits,ETSformer,93,512,8,2,2,64,2,0.9863574351978172,1712786,16.32
SpokenArabicDigits,ETSformer,93,512,8,2,2,64,1,0.9809004092769441,1712786,16.32
SpokenArabicDigits,ETSformer,93,256,8,2,2,2048,4,0.9822646657571623,2625938,14.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,2048,3,0.9799909049567985,2625938,14.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,2048,2,0.9872669395179627,2625938,14.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,2048,1,0.9877216916780355,2625938,14.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,1024,4,0.9818099135970896,1577362,10.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,1024,3,0.98681218735789,1577362,10.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,1024,2,0.984993178717599,1577362,10.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,1024,1,0.98681218735789,1577362,10.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,512,4,0.9877216916780355,1053074,8.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,512,3,0.984993178717599,1053074,8.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,512,2,0.9890859481582538,1053074,8.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,512,1,0.98681218735789,1053074,8.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,256,4,0.9881764438381082,790930,7.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,256,3,0.9854479308776717,790930,7.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,256,2,0.9872669395179627,790930,7.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,256,1,0.9872669395179627,790930,7.92
SpokenArabicDigits,ETSformer,93,256,8,2,2,128,4,0.98681218735789,659858,7.42
SpokenArabicDigits,ETSformer,93,256,8,2,2,128,3,0.9840836743974534,659858,7.42
SpokenArabicDigits,ETSformer,93,256,8,2,2,128,2,0.98681218735789,659858,7.42
SpokenArabicDigits,ETSformer,93,256,8,2,2,128,1,0.9895407003183265,659858,7.42
SpokenArabicDigits,ETSformer,93,256,8,2,2,64,4,0.9845384265575261,594322,7.17
SpokenArabicDigits,ETSformer,93,256,8,2,2,64,3,0.988631195998181,594322,7.17
SpokenArabicDigits,ETSformer,93,256,8,2,2,64,2,0.988631195998181,594322,7.17
SpokenArabicDigits,ETSformer,93,256,8,2,2,64,1,0.9877216916780355,594322,7.17
SpokenArabicDigits,ETSformer,93,128,8,2,2,2048,4,0.9831741700773079,1247506,7.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,2048,3,0.9840836743974534,1247506,7.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,2048,2,0.984993178717599,1247506,7.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,2048,1,0.9840836743974534,1247506,7.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,1024,4,0.9813551614370168,723218,5.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,1024,3,0.9895407003183265,723218,5.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,1024,2,0.9859026830377444,723218,5.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,1024,1,0.9840836743974534,723218,5.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,512,4,0.9822646657571623,461074,4.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,512,3,0.9831741700773079,461074,4.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,512,2,0.988631195998181,461074,4.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,512,1,0.9890859481582538,461074,4.22
SpokenArabicDigits,ETSformer,93,128,8,2,2,256,4,0.9845384265575261,330002,3.72
SpokenArabicDigits,ETSformer,93,128,8,2,2,256,3,0.9840836743974534,330002,3.72
SpokenArabicDigits,ETSformer,93,128,8,2,2,256,2,0.9895407003183265,330002,3.72
SpokenArabicDigits,ETSformer,93,128,8,2,2,256,1,0.988631195998181,330002,3.72
SpokenArabicDigits,ETSformer,93,128,8,2,2,128,4,0.9859026830377444,264466,3.47
SpokenArabicDigits,ETSformer,93,128,8,2,2,128,3,0.9890859481582538,264466,3.47
SpokenArabicDigits,ETSformer,93,128,8,2,2,128,2,0.9836289222373806,264466,3.47
SpokenArabicDigits,ETSformer,93,128,8,2,2,128,1,0.9836289222373806,264466,3.47
SpokenArabicDigits,ETSformer,93,128,8,2,2,64,4,0.9859026830377444,231698,3.34
SpokenArabicDigits,ETSformer,93,128,8,2,2,64,3,0.9813551614370168,231698,3.34
SpokenArabicDigits,ETSformer,93,128,8,2,2,64,2,0.98681218735789,231698,3.34
SpokenArabicDigits,ETSformer,93,128,8,2,2,64,1,0.9827194179172352,231698,3.34
SpokenArabicDigits,ETSformer,93,64,8,2,2,2048,4,0.9840836743974534,607442,3.56
SpokenArabicDigits,ETSformer,93,64,8,2,2,2048,3,0.9827194179172352,607442,3.56
SpokenArabicDigits,ETSformer,93,64,8,2,2,2048,2,0.9859026830377444,607442,3.56
SpokenArabicDigits,ETSformer,93,64,8,2,2,2048,1,0.9863574351978172,607442,3.56
SpokenArabicDigits,ETSformer,93,64,8,2,2,1024,4,0.9799909049567985,345298,2.56
SpokenArabicDigits,ETSformer,93,64,8,2,2,1024,3,0.9836289222373806,345298,2.56
SpokenArabicDigits,ETSformer,93,64,8,2,2,1024,2,0.9872669395179627,345298,2.56
SpokenArabicDigits,ETSformer,93,64,8,2,2,1024,1,0.9827194179172352,345298,2.56
SpokenArabicDigits,ETSformer,93,64,8,2,2,512,4,0.984993178717599,214226,2.06
SpokenArabicDigits,ETSformer,93,64,8,2,2,512,3,0.9872669395179627,214226,2.06
SpokenArabicDigits,ETSformer,93,64,8,2,2,512,2,0.9836289222373806,214226,2.06
SpokenArabicDigits,ETSformer,93,64,8,2,2,512,1,0.988631195998181,214226,2.06
SpokenArabicDigits,ETSformer,93,64,8,2,2,256,4,0.9813551614370168,148690,1.81
SpokenArabicDigits,ETSformer,93,64,8,2,2,256,3,0.984993178717599,148690,1.81
SpokenArabicDigits,ETSformer,93,64,8,2,2,256,2,0.9863574351978172,148690,1.81
SpokenArabicDigits,ETSformer,93,64,8,2,2,256,1,0.9863574351978172,148690,1.81
SpokenArabicDigits,ETSformer,93,64,8,2,2,128,4,0.9827194179172352,115922,1.68
SpokenArabicDigits,ETSformer,93,64,8,2,2,128,3,0.9831741700773079,115922,1.68
SpokenArabicDigits,ETSformer,93,64,8,2,2,128,2,0.9818099135970896,115922,1.68
SpokenArabicDigits,ETSformer,93,64,8,2,2,128,1,0.98681218735789,115922,1.68
SpokenArabicDigits,ETSformer,93,64,8,2,2,64,4,0.9845384265575261,99538,1.62
SpokenArabicDigits,ETSformer,93,64,8,2,2,64,3,0.9840836743974534,99538,1.62
SpokenArabicDigits,ETSformer,93,64,8,2,2,64,2,0.9872669395179627,99538,1.62
SpokenArabicDigits,ETSformer,93,64,8,2,2,64,1,0.984993178717599,99538,1.62
SpokenArabicDigits,ETSformer,93,32,8,2,2,2048,4,0.9809004092769441,299698,1.77
SpokenArabicDigits,ETSformer,93,32,8,2,2,2048,3,0.9859026830377444,299698,1.77
SpokenArabicDigits,ETSformer,93,32,8,2,2,2048,2,0.9836289222373806,299698,1.77
SpokenArabicDigits,ETSformer,93,32,8,2,2,2048,1,0.9818099135970896,299698,1.77
SpokenArabicDigits,ETSformer,93,32,8,2,2,1024,4,0.9827194179172352,168626,1.27
SpokenArabicDigits,ETSformer,93,32,8,2,2,1024,3,0.9836289222373806,168626,1.27
SpokenArabicDigits,ETSformer,93,32,8,2,2,1024,2,0.9822646657571623,168626,1.27
SpokenArabicDigits,ETSformer,93,32,8,2,2,1024,1,0.9863574351978172,168626,1.27
SpokenArabicDigits,ETSformer,93,32,8,2,2,512,4,0.9863574351978172,103090,1.02
SpokenArabicDigits,ETSformer,93,32,8,2,2,512,3,0.9836289222373806,103090,1.02
SpokenArabicDigits,ETSformer,93,32,8,2,2,512,2,0.9877216916780355,103090,1.02
SpokenArabicDigits,ETSformer,93,32,8,2,2,512,1,0.9818099135970896,103090,1.02
SpokenArabicDigits,ETSformer,93,32,8,2,2,256,4,0.9845384265575261,70322,0.9
SpokenArabicDigits,ETSformer,93,32,8,2,2,256,3,0.9859026830377444,70322,0.9
SpokenArabicDigits,ETSformer,93,32,8,2,2,256,2,0.9831741700773079,70322,0.9
