data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,top_k,acc,model_params,model_size (MB)
UWaveGestureLibrary,ETSformer,315,512,8,2,2,2048,4,0.853125,6554176,34.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,2048,3,0.84375,6554176,34.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,2048,2,0.859375,6554176,34.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,2048,1,0.865625,6554176,34.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,1024,4,0.846875,4457024,26.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,1024,3,0.84375,4457024,26.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,1024,2,0.853125,4457024,26.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,1024,1,0.88125,4457024,26.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,512,4,0.85,3408448,22.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,512,3,0.85,3408448,22.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,512,2,0.84375,3408448,22.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,512,1,0.871875,3408448,22.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,256,4,0.859375,2884160,20.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,256,3,0.84375,2884160,20.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,256,2,0.846875,2884160,20.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,256,1,0.875,2884160,20.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,128,4,0.846875,2622016,19.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,128,3,0.84375,2622016,19.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,128,2,0.85625,2622016,19.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,128,1,0.86875,2622016,19.79
UWaveGestureLibrary,ETSformer,315,512,8,2,2,64,4,0.859375,2490944,19.29
UWaveGestureLibrary,ETSformer,315,512,8,2,2,64,3,0.846875,2490944,19.29
UWaveGestureLibrary,ETSformer,315,512,8,2,2,64,2,0.85625,2490944,19.29
UWaveGestureLibrary,ETSformer,315,512,8,2,2,64,1,0.878125,2490944,19.29
UWaveGestureLibrary,ETSformer,315,256,8,2,2,2048,4,0.84375,3014976,16.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,2048,3,0.846875,3014976,16.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,2048,2,0.85625,3014976,16.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,2048,1,0.884375,3014976,16.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,1024,4,0.853125,1966400,12.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,1024,3,0.84375,1966400,12.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,1024,2,0.8625,1966400,12.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,1024,1,0.871875,1966400,12.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,512,4,0.84375,1442112,10.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,512,3,0.85,1442112,10.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,512,2,0.859375,1442112,10.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,512,1,0.88125,1442112,10.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,256,4,0.85,1179968,9.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,256,3,0.846875,1179968,9.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,256,2,0.8625,1179968,9.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,256,1,0.871875,1179968,9.4
UWaveGestureLibrary,ETSformer,315,256,8,2,2,128,4,0.8625,1048896,8.9
UWaveGestureLibrary,ETSformer,315,256,8,2,2,128,3,0.871875,1048896,8.9
UWaveGestureLibrary,ETSformer,315,256,8,2,2,128,2,0.878125,1048896,8.9
UWaveGestureLibrary,ETSformer,315,256,8,2,2,128,1,0.88125,1048896,8.9
UWaveGestureLibrary,ETSformer,315,256,8,2,2,64,4,0.853125,983360,8.65
UWaveGestureLibrary,ETSformer,315,256,8,2,2,64,3,0.8625,983360,8.65
UWaveGestureLibrary,ETSformer,315,256,8,2,2,64,2,0.86875,983360,8.65
UWaveGestureLibrary,ETSformer,315,256,8,2,2,64,1,0.8875,983360,8.65
UWaveGestureLibrary,ETSformer,315,128,8,2,2,2048,4,0.85,1441984,7.96
UWaveGestureLibrary,ETSformer,315,128,8,2,2,2048,3,0.865625,1441984,7.96
