data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
BasicMotions,FEDformer,100,512,8,2,1,2048,50,0.925,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,2048,40,0.9,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,2048,30,0.95,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,2048,20,0.9,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,2048,10,0.85,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,2048,5,0.725,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,2048,3,0.625,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,2048,2,0.625,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,2048,1,0.25,16098820,80.97
BasicMotions,FEDformer,100,512,8,2,1,1024,50,0.9,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,1024,40,0.95,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,1024,30,0.95,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,1024,20,0.8,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,1024,10,0.775,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,1024,5,0.725,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,1024,3,0.675,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,1024,2,0.725,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,1024,1,0.25,12953092,68.97
BasicMotions,FEDformer,100,512,8,2,1,512,50,0.925,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,512,40,0.925,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,512,30,0.9,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,512,20,0.825,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,512,10,0.85,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,512,5,0.725,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,512,3,0.65,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,512,2,0.675,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,512,1,0.25,11380228,62.97
BasicMotions,FEDformer,100,512,8,2,1,256,50,0.925,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,256,40,0.925,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,256,30,0.95,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,256,20,0.85,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,256,10,0.875,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,256,5,0.725,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,256,3,0.625,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,256,2,0.625,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,256,1,0.25,10593796,59.97
BasicMotions,FEDformer,100,512,8,2,1,128,50,0.9,10200580,58.47
BasicMotions,FEDformer,100,512,8,2,1,128,40,0.925,10200580,58.47
BasicMotions,FEDformer,100,512,8,2,1,128,30,0.925,10200580,58.47
BasicMotions,FEDformer,100,512,8,2,1,128,20,0.825,10200580,58.47
BasicMotions,FEDformer,100,512,8,2,1,128,10,0.825,10200580,58.47
BasicMotions,FEDformer,100,512,8,2,1,128,5,0.725,10200580,58.47
BasicMotions,FEDformer,100,512,8,2,1,128,3,0.65,10200580,58.47
BasicMotions,FEDformer,100,512,8,2,1,128,2,0.675,10200580,58.47
BasicMotions,FEDformer,100,512,8,2,1,128,1,0.25,10200580,58.47
BasicMotions,FEDformer,100,256,8,2,1,2048,50,0.95,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,2048,40,0.925,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,2048,30,0.925,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,2048,20,0.875,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,2048,10,0.875,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,2048,5,0.775,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,2048,3,0.65,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,2048,2,0.625,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,2048,1,0.25,5657348,31.37
BasicMotions,FEDformer,100,256,8,2,1,1024,50,0.95,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,1024,40,0.9,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,1024,30,0.95,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,1024,20,0.85,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,1024,10,0.85,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,1024,5,0.775,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,1024,3,0.7,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,1024,2,0.725,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,1024,1,0.25,4084484,25.37
BasicMotions,FEDformer,100,256,8,2,1,512,50,0.95,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,512,40,0.95,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,512,30,0.95,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,512,20,0.925,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,512,10,0.875,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,512,5,0.8,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,512,3,0.775,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,512,2,0.675,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,512,1,0.25,3298052,22.37
BasicMotions,FEDformer,100,256,8,2,1,256,50,0.95,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,256,40,0.925,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,256,30,0.95,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,256,20,0.85,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,256,10,0.875,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,256,5,0.775,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,256,3,0.65,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,256,2,0.625,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,256,1,0.25,2904836,20.87
BasicMotions,FEDformer,100,256,8,2,1,128,50,0.9,2708228,20.12
BasicMotions,FEDformer,100,256,8,2,1,128,40,0.925,2708228,20.12
BasicMotions,FEDformer,100,256,8,2,1,128,30,0.9,2708228,20.12
BasicMotions,FEDformer,100,256,8,2,1,128,20,0.875,2708228,20.12
BasicMotions,FEDformer,100,256,8,2,1,128,10,0.85,2708228,20.12
BasicMotions,FEDformer,100,256,8,2,1,128,5,0.725,2708228,20.12
BasicMotions,FEDformer,100,256,8,2,1,128,3,0.65,2708228,20.12
BasicMotions,FEDformer,100,256,8,2,1,128,2,0.7,2708228,20.12
BasicMotions,FEDformer,100,256,8,2,1,128,1,0.25,2708228,20.12
BasicMotions,FEDformer,100,128,8,2,1,2048,50,0.95,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,2048,40,0.95,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,2048,30,0.925,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,2048,20,0.9,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,2048,10,0.85,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,2048,5,0.725,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,2048,3,0.575,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,2048,2,0.6,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,2048,1,0.25,2230660,13.42
BasicMotions,FEDformer,100,128,8,2,1,1024,50,0.95,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,1024,40,0.95,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,1024,30,0.925,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,1024,20,0.8,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,1024,10,0.825,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,1024,5,0.775,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,1024,3,0.375,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,1024,2,0.6,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,1024,1,0.25,1444228,10.42
BasicMotions,FEDformer,100,128,8,2,1,512,50,0.95,1051012,8.92
