data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,91,0.9575208913649025,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,73,0.9484679665738162,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,55,0.9366295264623955,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,37,0.9714484679665738,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,19,0.9693593314763231,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,10,0.9547353760445683,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,6,0.9554317548746518,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,4,0.9484679665738162,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,2,0.958217270194986,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,2048,1,0.06476323119777158,18670612,90.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,91,0.9554317548746518,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,73,0.9185236768802229,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,55,0.9463788300835655,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,37,0.963091922005571,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,19,0.9610027855153204,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,10,0.9547353760445683,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,6,0.9505571030640668,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,4,0.9700557103064067,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,2,0.9568245125348189,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,1024,1,0.06476323119777158,15524884,78.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,91,0.9310584958217271,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,73,0.9394150417827298,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,55,0.9449860724233984,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,37,0.9651810584958217,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,19,0.9623955431754875,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,10,0.9616991643454039,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,6,0.9512534818941504,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,4,0.9463788300835655,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,2,0.9561281337047354,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,512,1,0.06476323119777158,13952020,72.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,91,0.9498607242339833,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,73,0.9554317548746518,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,55,0.9387186629526463,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,37,0.9568245125348189,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,19,0.958217270194986,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,10,0.9714484679665738,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,6,0.802924791086351,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,4,0.8022284122562674,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,2,0.958217270194986,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,256,1,0.06476323119777158,13165588,69.78
CharacterTrajectories,FEDformer,182,512,8,2,1,128,91,0.9477715877437326,12772372,68.28
