data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
Cricket,FEDformer,1197,512,8,2,1,2048,599,0.8194444444444444,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,479,0.7777777777777778,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,360,0.6944444444444444,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,240,0.7083333333333334,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,120,0.625,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,60,0.4722222222222222,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,36,0.5972222222222222,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,24,0.4305555555555556,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,12,0.375,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,2048,6,0.3055555555555556,24165900,111.74
Cricket,FEDformer,1197,512,8,2,1,1024,599,0.9027777777777778,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,479,0.7777777777777778,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,360,0.75,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,240,0.6805555555555556,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,120,0.4583333333333333,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,60,0.5555555555555556,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,36,0.4166666666666667,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,24,0.4166666666666667,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,12,0.4305555555555556,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,1024,6,0.3055555555555556,21020172,99.74
Cricket,FEDformer,1197,512,8,2,1,512,599,0.8472222222222222,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,479,0.7638888888888888,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,360,0.7222222222222222,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,240,0.5972222222222222,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,120,0.4722222222222222,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,60,0.5277777777777778,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,36,0.5694444444444444,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,24,0.4722222222222222,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,12,0.3472222222222222,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,512,6,0.2916666666666667,19447308,93.74
Cricket,FEDformer,1197,512,8,2,1,256,599,0.7638888888888888,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,479,0.75,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,360,0.7361111111111112,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,240,0.6111111111111112,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,120,0.4583333333333333,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,60,0.5972222222222222,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,36,0.5555555555555556,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,24,0.4166666666666667,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,12,0.4027777777777778,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,256,6,0.3055555555555556,18660876,90.74
Cricket,FEDformer,1197,512,8,2,1,128,599,0.8055555555555556,18267660,89.24
Cricket,FEDformer,1197,512,8,2,1,128,479,0.7777777777777778,18267660,89.24
Cricket,FEDformer,1197,512,8,2,1,128,360,0.7361111111111112,18267660,89.24
Cricket,FEDformer,1197,512,8,2,1,128,240,0.625,18267660,89.24
Cricket,FEDformer,1197,512,8,2,1,128,120,0.4583333333333333,18267660,89.24
Cricket,FEDformer,1197,512,8,2,1,128,60,0.5694444444444444,18267660,89.24
Cricket,FEDformer,1197,512,8,2,1,128,36,0.4861111111111111,18267660,89.24
Cricket,FEDformer,1197,512,8,2,1,128,24,0.4444444444444444,18267660,89.24
