data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
EigenWorms,FEDformer,17984,512,8,2,1,2048,8992,0.5343511450381679,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,7194,0.5190839694656488,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,5396,0.5419847328244275,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,3597,0.549618320610687,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,1799,0.5190839694656488,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,900,0.48854961832061067,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,540,0.5038167938931297,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,360,0.48854961832061067,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,180,0.5267175572519084,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,2048,90,0.5419847328244275,62850565,310.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,8992,0.5343511450381679,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,7194,0.5572519083969466,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,5396,0.549618320610687,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,3597,0.5419847328244275,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,1799,0.5572519083969466,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,900,0.5572519083969466,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,540,0.5419847328244275,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,360,0.5190839694656488,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,180,0.5267175572519084,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,1024,90,0.5801526717557252,59704837,298.03
EigenWorms,FEDformer,17984,512,8,2,1,512,8992,0.549618320610687,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,7194,0.5419847328244275,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,5396,0.5648854961832062,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,3597,0.5190839694656488,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,1799,0.5419847328244275,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,900,0.5419847328244275,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,540,0.5114503816793893,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,360,0.5267175572519084,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,180,0.5725190839694656,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,512,90,0.5572519083969466,58131973,292.03
EigenWorms,FEDformer,17984,512,8,2,1,256,8992,0.5954198473282443,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,7194,0.5877862595419847,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,5396,0.5725190839694656,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,3597,0.5572519083969466,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,1799,0.5343511450381679,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,900,0.5572519083969466,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,540,0.5419847328244275,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,360,0.5343511450381679,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,180,0.5801526717557252,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,256,90,0.5648854961832062,57345541,289.03
EigenWorms,FEDformer,17984,512,8,2,1,128,8992,0.549618320610687,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,7194,0.5267175572519084,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,5396,0.5343511450381679,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,3597,0.5419847328244275,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,1799,0.5343511450381679,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,900,0.5267175572519084,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,540,0.5419847328244275,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,360,0.5419847328244275,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,180,0.549618320610687,56952325,287.53
EigenWorms,FEDformer,17984,512,8,2,1,128,90,0.5648854961832062,56952325,287.53
EigenWorms,FEDformer,17984,256,8,2,1,2048,8992,0.5190839694656488,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,7194,0.549618320610687,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,5396,0.549618320610687,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,3597,0.5801526717557252,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,1799,0.5572519083969466,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,900,0.5343511450381679,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,540,0.48854961832061067,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,360,0.4961832061068702,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,180,0.5648854961832062,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,2048,90,0.5419847328244275,28803845,145.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,8992,0.549618320610687,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,7194,0.549618320610687,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,5396,0.5267175572519084,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,3597,0.5572519083969466,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,1799,0.5114503816793893,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,900,0.5419847328244275,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,540,0.5343511450381679,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,360,0.5343511450381679,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,180,0.549618320610687,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,1024,90,0.5725190839694656,27230981,139.03
EigenWorms,FEDformer,17984,256,8,2,1,512,8992,0.5572519083969466,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,7194,0.5648854961832062,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,5396,0.5267175572519084,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,3597,0.5725190839694656,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,1799,0.549618320610687,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,900,0.549618320610687,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,540,0.5190839694656488,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,360,0.5114503816793893,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,180,0.5572519083969466,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,512,90,0.5877862595419847,26444549,136.03
EigenWorms,FEDformer,17984,256,8,2,1,256,8992,0.5419847328244275,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,7194,0.5954198473282443,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,5396,0.5343511450381679,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,3597,0.5190839694656488,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,1799,0.5572519083969466,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,900,0.5267175572519084,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,540,0.549618320610687,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,360,0.5038167938931297,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,180,0.5343511450381679,26051333,134.53
EigenWorms,FEDformer,17984,256,8,2,1,256,90,0.6335877862595419,26051333,134.53
