data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,876,0.29277566539923955,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,701,0.28517110266159695,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,526,0.27756653992395436,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,351,0.29277566539923955,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,176,0.2813688212927757,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,88,0.2737642585551331,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,53,0.2813688212927757,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,36,0.2813688212927757,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,18,0.27756653992395436,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,2048,9,0.2813688212927757,20392964,97.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,876,0.311787072243346,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,701,0.3041825095057034,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,526,0.2737642585551331,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,351,0.2889733840304182,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,176,0.2889733840304182,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,88,0.2623574144486692,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,53,0.28517110266159695,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,36,0.2813688212927757,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,18,0.2737642585551331,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,1024,9,0.28517110266159695,17247236,85.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,876,0.29277566539923955,15674372,79.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,701,0.2889733840304182,15674372,79.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,526,0.2737642585551331,15674372,79.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,351,0.30798479087452474,15674372,79.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,176,0.27756653992395436,15674372,79.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,88,0.27756653992395436,15674372,79.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,53,0.2813688212927757,15674372,79.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,36,0.27756653992395436,15674372,79.35
EthanolConcentration,FEDformer,1751,512,8,2,1,512,18,0.2661596958174905,15674372,79.35
