data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
FaceDetection,FEDformer,62,512,8,2,1,2048,31,0.6674233825198638,14793218,75.99
FaceDetection,FEDformer,62,512,8,2,1,2048,25,0.6889897843359818,14793218,75.99
FaceDetection,FEDformer,62,512,8,2,1,2048,19,0.6975028376844495,14793218,75.99
FaceDetection,FEDformer,62,512,8,2,1,2048,13,0.6889897843359818,14793218,75.99
FaceDetection,FEDformer,62,512,8,2,1,2048,7,0.6790578887627696,14793218,75.99
FaceDetection,FEDformer,62,512,8,2,1,2048,4,0.6645856980703746,14793218,75.99
FaceDetection,FEDformer,62,512,8,2,1,2048,2,0.6901248581157775,14793218,75.99
FaceDetection,FEDformer,62,512,8,2,1,2048,1,0.5,14793218,75.99
FaceDetection,FEDformer,62,512,8,2,1,1024,31,0.69211123723042,11647490,63.99
FaceDetection,FEDformer,62,512,8,2,1,1024,25,0.69211123723042,11647490,63.99
FaceDetection,FEDformer,62,512,8,2,1,1024,19,0.6966515323496028,11647490,63.99
FaceDetection,FEDformer,62,512,8,2,1,1024,13,0.6711123723041997,11647490,63.99
FaceDetection,FEDformer,62,512,8,2,1,1024,7,0.6938138479001135,11647490,63.99
FaceDetection,FEDformer,62,512,8,2,1,1024,4,0.6923950056753689,11647490,63.99
FaceDetection,FEDformer,62,512,8,2,1,1024,2,0.6569239500567536,11647490,63.99
FaceDetection,FEDformer,62,512,8,2,1,1024,1,0.5,11647490,63.99
FaceDetection,FEDformer,62,512,8,2,1,512,31,0.6952326901248581,10074626,57.99
FaceDetection,FEDformer,62,512,8,2,1,512,25,0.6733825198637912,10074626,57.99
FaceDetection,FEDformer,62,512,8,2,1,512,19,0.6904086265607264,10074626,57.99
FaceDetection,FEDformer,62,512,8,2,1,512,13,0.6909761634506243,10074626,57.99
FaceDetection,FEDformer,62,512,8,2,1,512,7,0.6969353007945517,10074626,57.99
FaceDetection,FEDformer,62,512,8,2,1,512,4,0.6940976163450624,10074626,57.99
FaceDetection,FEDformer,62,512,8,2,1,512,2,0.6989216799091941,10074626,57.99
FaceDetection,FEDformer,62,512,8,2,1,512,1,0.5,10074626,57.99
FaceDetection,FEDformer,62,512,8,2,1,256,31,0.6949489216799092,9288194,54.99
FaceDetection,FEDformer,62,512,8,2,1,256,25,0.6833144154370034,9288194,54.99
FaceDetection,FEDformer,62,512,8,2,1,256,19,0.6824631101021567,9288194,54.99
FaceDetection,FEDformer,62,512,8,2,1,256,13,0.681044267877412,9288194,54.99
FaceDetection,FEDformer,62,512,8,2,1,256,7,0.6762202043132803,9288194,54.99
FaceDetection,FEDformer,62,512,8,2,1,256,4,0.6929625425652668,9288194,54.99
FaceDetection,FEDformer,62,512,8,2,1,256,2,0.6804767309875142,9288194,54.99
FaceDetection,FEDformer,62,512,8,2,1,256,1,0.5,9288194,54.99
FaceDetection,FEDformer,62,512,8,2,1,128,31,0.6696935300794552,8894978,53.49
FaceDetection,FEDformer,62,512,8,2,1,128,25,0.6691259931895573,8894978,53.49
FaceDetection,FEDformer,62,512,8,2,1,128,19,0.6699772985244041,8894978,53.49
FaceDetection,FEDformer,62,512,8,2,1,128,13,0.6728149829738933,8894978,53.49
FaceDetection,FEDformer,62,512,8,2,1,128,7,0.6782065834279228,8894978,53.49
FaceDetection,FEDformer,62,512,8,2,1,128,4,0.6799091940976163,8894978,53.49
FaceDetection,FEDformer,62,512,8,2,1,128,2,0.6574914869466515,8894978,53.49
FaceDetection,FEDformer,62,512,8,2,1,128,1,0.5,8894978,53.49
FaceDetection,FEDformer,62,256,8,2,1,2048,31,0.6648694665153235,5348610,30.19
FaceDetection,FEDformer,62,256,8,2,1,2048,25,0.6787741203178207,5348610,30.19
FaceDetection,FEDformer,62,256,8,2,1,2048,19,0.6952326901248581,5348610,30.19
