data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
HandMovementDirection,FEDformer,400,512,8,2,1,2048,200,0.6891891891891891,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,160,0.6081081081081081,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,120,0.47297297297297297,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,80,0.40540540540540543,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,40,0.36486486486486486,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,20,0.40540540540540543,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,12,0.36486486486486486,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,8,0.36486486486486486,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,4,0.40540540540540543,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,2048,2,0.3918918918918919,17636868,86.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,200,0.6621621621621622,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,160,0.6081081081081081,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,120,0.47297297297297297,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,80,0.36486486486486486,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,40,0.3783783783783784,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,20,0.35135135135135137,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,12,0.35135135135135137,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,8,0.3918918918918919,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,4,0.3783783783783784,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,1024,2,0.3918918918918919,14491140,74.83
HandMovementDirection,FEDformer,400,512,8,2,1,512,200,0.6486486486486487,12918276,68.83
HandMovementDirection,FEDformer,400,512,8,2,1,512,160,0.6216216216216216,12918276,68.83
