data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
Handwriting,FEDformer,152,512,8,2,1,2048,76,0.2741176470588235,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,61,0.3,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,46,0.29058823529411765,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,31,0.23411764705882354,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,16,0.15411764705882353,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,8,0.1188235294117647,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,5,0.1188235294117647,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,4,0.13176470588235295,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,2,0.14941176470588236,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,2048,1,0.042352941176470586,18830362,91.39
Handwriting,FEDformer,152,512,8,2,1,1024,76,0.30823529411764705,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,61,0.29764705882352943,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,46,0.28823529411764703,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,31,0.22588235294117648,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,16,0.14470588235294118,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,8,0.11764705882352941,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,5,0.13529411764705881,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,4,0.1223529411764706,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,2,0.14470588235294118,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,1024,1,0.05058823529411765,15684634,79.39
Handwriting,FEDformer,152,512,8,2,1,512,76,0.29764705882352943,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,61,0.29058823529411765,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,46,0.28705882352941176,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,31,0.22823529411764706,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,16,0.15294117647058825,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,8,0.1223529411764706,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,5,0.12705882352941175,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,4,0.12705882352941175,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,2,0.16,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,512,1,0.03764705882352941,14111770,73.39
Handwriting,FEDformer,152,512,8,2,1,256,76,0.29411764705882354,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,61,0.3,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,46,0.28705882352941176,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,31,0.22470588235294117,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,16,0.14941176470588236,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,8,0.13058823529411764,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,5,0.12117647058823529,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,4,0.1376470588235294,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,2,0.14470588235294118,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,256,1,0.05058823529411765,13325338,70.39
Handwriting,FEDformer,152,512,8,2,1,128,76,0.2823529411764706,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,61,0.30941176470588233,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,46,0.28,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,31,0.22705882352941176,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,16,0.14470588235294118,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,8,0.12941176470588237,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,5,0.11529411764705882,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,4,0.13529411764705881,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,2,0.1564705882352941,12932122,68.89
Handwriting,FEDformer,152,512,8,2,1,128,1,0.03882352941176471,12932122,68.89
Handwriting,FEDformer,152,256,8,2,1,2048,76,0.3070588235294118,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,61,0.3211764705882353,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,46,0.32235294117647056,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,31,0.2564705882352941,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,16,0.17294117647058824,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,8,0.12,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,5,0.13058823529411764,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,4,0.13058823529411764,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,2,0.14705882352941177,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,2048,1,0.03764705882352941,6793754,35.71
Handwriting,FEDformer,152,256,8,2,1,1024,76,0.32,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,61,0.3247058823529412,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,46,0.3235294117647059,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,31,0.2752941176470588,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,16,0.16705882352941176,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,8,0.1388235294117647,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,5,0.13411764705882354,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,4,0.13294117647058823,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,2,0.15058823529411763,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,1024,1,0.042352941176470586,5220890,29.71
Handwriting,FEDformer,152,256,8,2,1,512,76,0.31411764705882356,4434458,26.71
Handwriting,FEDformer,152,256,8,2,1,512,61,0.32823529411764707,4434458,26.71
Handwriting,FEDformer,152,256,8,2,1,512,46,0.3305882352941176,4434458,26.71
Handwriting,FEDformer,152,256,8,2,1,512,31,0.2564705882352941,4434458,26.71
