data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
Heartbeat,FEDformer,405,512,8,2,1,2048,203,0.7414634146341463,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,162,0.7414634146341463,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,122,0.7414634146341463,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,81,0.751219512195122,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,41,0.7609756097560976,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,21,0.751219512195122,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,13,0.7463414634146341,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,9,0.7268292682926829,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,5,0.7024390243902439,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,2048,3,0.7365853658536585,17310722,85.59
Heartbeat,FEDformer,405,512,8,2,1,1024,203,0.7414634146341463,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,162,0.7463414634146341,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,122,0.7414634146341463,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,81,0.7365853658536585,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,41,0.7609756097560976,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,21,0.7463414634146341,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,13,0.7317073170731707,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,9,0.7170731707317073,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,5,0.7170731707317073,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,1024,3,0.7268292682926829,14164994,73.59
Heartbeat,FEDformer,405,512,8,2,1,512,203,0.7365853658536585,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,162,0.7560975609756098,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,122,0.7268292682926829,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,81,0.7317073170731707,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,41,0.7317073170731707,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,21,0.7609756097560976,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,13,0.7414634146341463,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,9,0.7317073170731707,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,5,0.6487804878048781,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,512,3,0.7414634146341463,12592130,67.59
Heartbeat,FEDformer,405,512,8,2,1,256,203,0.7365853658536585,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,162,0.7414634146341463,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,122,0.7414634146341463,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,81,0.7268292682926829,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,41,0.751219512195122,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,21,0.751219512195122,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,13,0.7268292682926829,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,9,0.7219512195121951,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,5,0.6634146341463415,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,256,3,0.7317073170731707,11805698,64.59
Heartbeat,FEDformer,405,512,8,2,1,128,203,0.7414634146341463,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,162,0.7414634146341463,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,122,0.751219512195122,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,81,0.7170731707317073,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,41,0.751219512195122,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,21,0.7414634146341463,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,13,0.7219512195121951,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,9,0.7219512195121951,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,5,0.6634146341463415,11412482,63.09
Heartbeat,FEDformer,405,512,8,2,1,128,3,0.7268292682926829,11412482,63.09
Heartbeat,FEDformer,405,256,8,2,1,2048,203,0.7365853658536585,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,162,0.751219512195122,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,122,0.7365853658536585,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,81,0.7268292682926829,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,41,0.7414634146341463,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,21,0.751219512195122,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,13,0.7365853658536585,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,9,0.7268292682926829,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,5,0.7219512195121951,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,2048,3,0.7219512195121951,6033922,32.81
Heartbeat,FEDformer,405,256,8,2,1,1024,203,0.7365853658536585,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,162,0.7268292682926829,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,122,0.7560975609756098,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,81,0.7365853658536585,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,41,0.7463414634146341,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,21,0.751219512195122,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,13,0.7268292682926829,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,9,0.7219512195121951,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,5,0.7121951219512195,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,1024,3,0.7365853658536585,4461058,26.81
Heartbeat,FEDformer,405,256,8,2,1,512,203,0.7365853658536585,3674626,23.81
Heartbeat,FEDformer,405,256,8,2,1,512,162,0.7414634146341463,3674626,23.81
Heartbeat,FEDformer,405,256,8,2,1,512,122,0.7463414634146341,3674626,23.81
Heartbeat,FEDformer,405,256,8,2,1,512,81,0.751219512195122,3674626,23.81
Heartbeat,FEDformer,405,256,8,2,1,512,41,0.751219512195122,3674626,23.81
Heartbeat,FEDformer,405,256,8,2,1,512,21,0.7463414634146341,3674626,23.81
Heartbeat,FEDformer,405,256,8,2,1,512,13,0.7219512195121951,3674626,23.81
Heartbeat,FEDformer,405,256,8,2,1,512,9,0.7268292682926829,3674626,23.81
Heartbeat,FEDformer,405,256,8,2,1,512,5,0.7121951219512195,3674626,23.81
