data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
InsectWingbeat,FEDformer,22,512,8,2,1,2048,11,0.62128,12306954,66.5
InsectWingbeat,FEDformer,22,512,8,2,1,2048,9,0.62156,12306954,66.5
InsectWingbeat,FEDformer,22,512,8,2,1,2048,7,0.61776,12306954,66.5
InsectWingbeat,FEDformer,22,512,8,2,1,2048,5,0.61172,12306954,66.5
InsectWingbeat,FEDformer,22,512,8,2,1,2048,3,0.61376,12306954,66.5
InsectWingbeat,FEDformer,22,512,8,2,1,2048,2,0.60208,12306954,66.5
InsectWingbeat,FEDformer,22,512,8,2,1,2048,1,0.1,12306954,66.5
InsectWingbeat,FEDformer,22,512,8,2,1,1024,11,0.62084,9161226,54.5
InsectWingbeat,FEDformer,22,512,8,2,1,1024,9,0.61792,9161226,54.5
InsectWingbeat,FEDformer,22,512,8,2,1,1024,7,0.60884,9161226,54.5
InsectWingbeat,FEDformer,22,512,8,2,1,1024,5,0.60936,9161226,54.5
InsectWingbeat,FEDformer,22,512,8,2,1,1024,3,0.61116,9161226,54.5
InsectWingbeat,FEDformer,22,512,8,2,1,1024,2,0.61404,9161226,54.5
InsectWingbeat,FEDformer,22,512,8,2,1,1024,1,0.1,9161226,54.5
InsectWingbeat,FEDformer,22,512,8,2,1,512,11,0.63192,7588362,48.5
InsectWingbeat,FEDformer,22,512,8,2,1,512,9,0.61996,7588362,48.5
InsectWingbeat,FEDformer,22,512,8,2,1,512,7,0.61896,7588362,48.5
InsectWingbeat,FEDformer,22,512,8,2,1,512,5,0.61716,7588362,48.5
InsectWingbeat,FEDformer,22,512,8,2,1,512,3,0.61348,7588362,48.5
InsectWingbeat,FEDformer,22,512,8,2,1,512,2,0.6156,7588362,48.5
InsectWingbeat,FEDformer,22,512,8,2,1,512,1,0.1,7588362,48.5
InsectWingbeat,FEDformer,22,512,8,2,1,256,11,0.62572,6801930,45.5
InsectWingbeat,FEDformer,22,512,8,2,1,256,9,0.60896,6801930,45.5
InsectWingbeat,FEDformer,22,512,8,2,1,256,7,0.61264,6801930,45.5
InsectWingbeat,FEDformer,22,512,8,2,1,256,5,0.61388,6801930,45.5
InsectWingbeat,FEDformer,22,512,8,2,1,256,3,0.617,6801930,45.5
InsectWingbeat,FEDformer,22,512,8,2,1,256,2,0.5922,6801930,45.5
InsectWingbeat,FEDformer,22,512,8,2,1,256,1,0.1,6801930,45.5
InsectWingbeat,FEDformer,22,512,8,2,1,128,11,0.61984,6408714,44.0
InsectWingbeat,FEDformer,22,512,8,2,1,128,9,0.61808,6408714,44.0
InsectWingbeat,FEDformer,22,512,8,2,1,128,7,0.60592,6408714,44.0
InsectWingbeat,FEDformer,22,512,8,2,1,128,5,0.60604,6408714,44.0
InsectWingbeat,FEDformer,22,512,8,2,1,128,3,0.61616,6408714,44.0
InsectWingbeat,FEDformer,22,512,8,2,1,128,2,0.61764,6408714,44.0
InsectWingbeat,FEDformer,22,512,8,2,1,128,1,0.1,6408714,44.0
InsectWingbeat,FEDformer,22,256,8,2,1,2048,11,0.61992,4760842,27.95
InsectWingbeat,FEDformer,22,256,8,2,1,2048,9,0.62192,4760842,27.95
InsectWingbeat,FEDformer,22,256,8,2,1,2048,7,0.6206,4760842,27.95
InsectWingbeat,FEDformer,22,256,8,2,1,2048,5,0.61568,4760842,27.95
InsectWingbeat,FEDformer,22,256,8,2,1,2048,3,0.61124,4760842,27.95
InsectWingbeat,FEDformer,22,256,8,2,1,2048,2,0.6206,4760842,27.95
InsectWingbeat,FEDformer,22,256,8,2,1,2048,1,0.1,4760842,27.95
InsectWingbeat,FEDformer,22,256,8,2,1,1024,11,0.62296,3187978,21.95
InsectWingbeat,FEDformer,22,256,8,2,1,1024,9,0.61996,3187978,21.95
InsectWingbeat,FEDformer,22,256,8,2,1,1024,7,0.622,3187978,21.95
InsectWingbeat,FEDformer,22,256,8,2,1,1024,5,0.62088,3187978,21.95
InsectWingbeat,FEDformer,22,256,8,2,1,1024,3,0.61656,3187978,21.95
InsectWingbeat,FEDformer,22,256,8,2,1,1024,2,0.62004,3187978,21.95
InsectWingbeat,FEDformer,22,256,8,2,1,1024,1,0.1,3187978,21.95
InsectWingbeat,FEDformer,22,256,8,2,1,512,11,0.62304,2401546,18.95
InsectWingbeat,FEDformer,22,256,8,2,1,512,9,0.62172,2401546,18.95
InsectWingbeat,FEDformer,22,256,8,2,1,512,7,0.62628,2401546,18.95
InsectWingbeat,FEDformer,22,256,8,2,1,512,5,0.62704,2401546,18.95
InsectWingbeat,FEDformer,22,256,8,2,1,512,3,0.62032,2401546,18.95
InsectWingbeat,FEDformer,22,256,8,2,1,512,2,0.622,2401546,18.95
InsectWingbeat,FEDformer,22,256,8,2,1,512,1,0.1,2401546,18.95
InsectWingbeat,FEDformer,22,256,8,2,1,256,11,0.62284,2008330,17.45
InsectWingbeat,FEDformer,22,256,8,2,1,256,9,0.62656,2008330,17.45
InsectWingbeat,FEDformer,22,256,8,2,1,256,7,0.62416,2008330,17.45
InsectWingbeat,FEDformer,22,256,8,2,1,256,5,0.624,2008330,17.45
InsectWingbeat,FEDformer,22,256,8,2,1,256,3,0.61912,2008330,17.45
InsectWingbeat,FEDformer,22,256,8,2,1,256,2,0.61536,2008330,17.45
InsectWingbeat,FEDformer,22,256,8,2,1,256,1,0.1,2008330,17.45
InsectWingbeat,FEDformer,22,256,8,2,1,128,11,0.62688,1811722,16.7
InsectWingbeat,FEDformer,22,256,8,2,1,128,9,0.62668,1811722,16.7
InsectWingbeat,FEDformer,22,256,8,2,1,128,7,0.62292,1811722,16.7
InsectWingbeat,FEDformer,22,256,8,2,1,128,5,0.62276,1811722,16.7
InsectWingbeat,FEDformer,22,256,8,2,1,128,3,0.61408,1811722,16.7
InsectWingbeat,FEDformer,22,256,8,2,1,128,2,0.61516,1811722,16.7
InsectWingbeat,FEDformer,22,256,8,2,1,128,1,0.1,1811722,16.7
InsectWingbeat,FEDformer,22,128,8,2,1,2048,11,0.62444,2032266,12.66
InsectWingbeat,FEDformer,22,128,8,2,1,2048,9,0.62312,2032266,12.66
InsectWingbeat,FEDformer,22,128,8,2,1,2048,7,0.62196,2032266,12.66
InsectWingbeat,FEDformer,22,128,8,2,1,2048,5,0.61904,2032266,12.66
InsectWingbeat,FEDformer,22,128,8,2,1,2048,3,0.6114,2032266,12.66
InsectWingbeat,FEDformer,22,128,8,2,1,2048,2,0.61892,2032266,12.66
InsectWingbeat,FEDformer,22,128,8,2,1,2048,1,0.1,2032266,12.66
InsectWingbeat,FEDformer,22,128,8,2,1,1024,11,0.62744,1245834,9.66
InsectWingbeat,FEDformer,22,128,8,2,1,1024,9,0.62604,1245834,9.66
InsectWingbeat,FEDformer,22,128,8,2,1,1024,7,0.62628,1245834,9.66
InsectWingbeat,FEDformer,22,128,8,2,1,1024,5,0.62288,1245834,9.66
InsectWingbeat,FEDformer,22,128,8,2,1,1024,3,0.61556,1245834,9.66
InsectWingbeat,FEDformer,22,128,8,2,1,1024,2,0.62056,1245834,9.66
InsectWingbeat,FEDformer,22,128,8,2,1,1024,1,0.1,1245834,9.66
InsectWingbeat,FEDformer,22,128,8,2,1,512,11,0.63276,852618,8.16
InsectWingbeat,FEDformer,22,128,8,2,1,512,9,0.62688,852618,8.16
InsectWingbeat,FEDformer,22,128,8,2,1,512,7,0.62896,852618,8.16
InsectWingbeat,FEDformer,22,128,8,2,1,512,5,0.62504,852618,8.16
InsectWingbeat,FEDformer,22,128,8,2,1,512,3,0.62148,852618,8.16
InsectWingbeat,FEDformer,22,128,8,2,1,512,2,0.62716,852618,8.16
InsectWingbeat,FEDformer,22,128,8,2,1,512,1,0.1,852618,8.16
InsectWingbeat,FEDformer,22,128,8,2,1,256,11,0.63108,656010,7.41
InsectWingbeat,FEDformer,22,128,8,2,1,256,9,0.62972,656010,7.41
InsectWingbeat,FEDformer,22,128,8,2,1,256,7,0.63128,656010,7.41
InsectWingbeat,FEDformer,22,128,8,2,1,256,5,0.62748,656010,7.41
InsectWingbeat,FEDformer,22,128,8,2,1,256,3,0.62048,656010,7.41
InsectWingbeat,FEDformer,22,128,8,2,1,256,2,0.62588,656010,7.41
InsectWingbeat,FEDformer,22,128,8,2,1,256,1,0.1,656010,7.41
InsectWingbeat,FEDformer,22,128,8,2,1,128,11,0.6394,557706,7.03
InsectWingbeat,FEDformer,22,128,8,2,1,128,9,0.63812,557706,7.03
InsectWingbeat,FEDformer,22,128,8,2,1,128,7,0.6404,557706,7.03
InsectWingbeat,FEDformer,22,128,8,2,1,128,5,0.63492,557706,7.03
InsectWingbeat,FEDformer,22,128,8,2,1,128,3,0.62224,557706,7.03
InsectWingbeat,FEDformer,22,128,8,2,1,128,2,0.62756,557706,7.03
InsectWingbeat,FEDformer,22,128,8,2,1,128,1,0.1,557706,7.03
InsectWingbeat,FEDformer,22,64,8,2,1,2048,11,0.63356,929098,6.01
InsectWingbeat,FEDformer,22,64,8,2,1,2048,9,0.62748,929098,6.01
InsectWingbeat,FEDformer,22,64,8,2,1,2048,7,0.62656,929098,6.01
InsectWingbeat,FEDformer,22,64,8,2,1,2048,5,0.61604,929098,6.01
