data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
JapaneseVowels,FEDformer,29,512,8,2,1,2048,15,0.9675675675675676,12497929,67.23
JapaneseVowels,FEDformer,29,512,8,2,1,2048,12,0.9675675675675676,12497929,67.23
JapaneseVowels,FEDformer,29,512,8,2,1,2048,9,0.9621621621621622,12497929,67.23
JapaneseVowels,FEDformer,29,512,8,2,1,2048,6,0.9621621621621622,12497929,67.23
JapaneseVowels,FEDformer,29,512,8,2,1,2048,3,0.9648648648648649,12497929,67.23
JapaneseVowels,FEDformer,29,512,8,2,1,2048,2,0.9756756756756757,12497929,67.23
JapaneseVowels,FEDformer,29,512,8,2,1,2048,1,0.08378378378378379,12497929,67.23
JapaneseVowels,FEDformer,29,512,8,2,1,1024,15,0.9648648648648649,9352201,55.23
JapaneseVowels,FEDformer,29,512,8,2,1,1024,12,0.9648648648648649,9352201,55.23
JapaneseVowels,FEDformer,29,512,8,2,1,1024,9,0.9594594594594594,9352201,55.23
JapaneseVowels,FEDformer,29,512,8,2,1,1024,6,0.9513513513513514,9352201,55.23
JapaneseVowels,FEDformer,29,512,8,2,1,1024,3,0.9621621621621622,9352201,55.23
JapaneseVowels,FEDformer,29,512,8,2,1,1024,2,0.9675675675675676,9352201,55.23
JapaneseVowels,FEDformer,29,512,8,2,1,1024,1,0.0945945945945946,9352201,55.23
JapaneseVowels,FEDformer,29,512,8,2,1,512,15,0.9594594594594594,7779337,49.23
JapaneseVowels,FEDformer,29,512,8,2,1,512,12,0.9540540540540541,7779337,49.23
JapaneseVowels,FEDformer,29,512,8,2,1,512,9,0.9648648648648649,7779337,49.23
JapaneseVowels,FEDformer,29,512,8,2,1,512,6,0.9621621621621622,7779337,49.23
JapaneseVowels,FEDformer,29,512,8,2,1,512,3,0.9648648648648649,7779337,49.23
JapaneseVowels,FEDformer,29,512,8,2,1,512,2,0.9648648648648649,7779337,49.23
JapaneseVowels,FEDformer,29,512,8,2,1,512,1,0.06486486486486487,7779337,49.23
JapaneseVowels,FEDformer,29,512,8,2,1,256,15,0.9675675675675676,6992905,46.23
JapaneseVowels,FEDformer,29,512,8,2,1,256,12,0.9675675675675676,6992905,46.23
JapaneseVowels,FEDformer,29,512,8,2,1,256,9,0.9702702702702702,6992905,46.23
JapaneseVowels,FEDformer,29,512,8,2,1,256,6,0.9486486486486486,6992905,46.23
JapaneseVowels,FEDformer,29,512,8,2,1,256,3,0.9567567567567568,6992905,46.23
JapaneseVowels,FEDformer,29,512,8,2,1,256,2,0.9648648648648649,6992905,46.23
JapaneseVowels,FEDformer,29,512,8,2,1,256,1,0.23783783783783785,6992905,46.23
JapaneseVowels,FEDformer,29,512,8,2,1,128,15,0.972972972972973,6599689,44.73
JapaneseVowels,FEDformer,29,512,8,2,1,128,12,0.972972972972973,6599689,44.73
JapaneseVowels,FEDformer,29,512,8,2,1,128,9,0.9648648648648649,6599689,44.73
JapaneseVowels,FEDformer,29,512,8,2,1,128,6,0.9540540540540541,6599689,44.73
JapaneseVowels,FEDformer,29,512,8,2,1,128,3,0.9675675675675676,6599689,44.73
JapaneseVowels,FEDformer,29,512,8,2,1,128,2,0.9648648648648649,6599689,44.73
JapaneseVowels,FEDformer,29,512,8,2,1,128,1,0.08378378378378379,6599689,44.73
JapaneseVowels,FEDformer,29,256,8,2,1,2048,15,0.9675675675675676,4741641,27.88
JapaneseVowels,FEDformer,29,256,8,2,1,2048,12,0.9675675675675676,4741641,27.88
JapaneseVowels,FEDformer,29,256,8,2,1,2048,9,0.9567567567567568,4741641,27.88
JapaneseVowels,FEDformer,29,256,8,2,1,2048,6,0.9675675675675676,4741641,27.88
JapaneseVowels,FEDformer,29,256,8,2,1,2048,3,0.9675675675675676,4741641,27.88
JapaneseVowels,FEDformer,29,256,8,2,1,2048,2,0.9594594594594594,4741641,27.88
JapaneseVowels,FEDformer,29,256,8,2,1,2048,1,0.23783783783783785,4741641,27.88
JapaneseVowels,FEDformer,29,256,8,2,1,1024,15,0.9648648648648649,3168777,21.88
JapaneseVowels,FEDformer,29,256,8,2,1,1024,12,0.9621621621621622,3168777,21.88
JapaneseVowels,FEDformer,29,256,8,2,1,1024,9,0.9567567567567568,3168777,21.88
JapaneseVowels,FEDformer,29,256,8,2,1,1024,6,0.9621621621621622,3168777,21.88
JapaneseVowels,FEDformer,29,256,8,2,1,1024,3,0.9621621621621622,3168777,21.88
JapaneseVowels,FEDformer,29,256,8,2,1,1024,2,0.9594594594594594,3168777,21.88
JapaneseVowels,FEDformer,29,256,8,2,1,1024,1,0.13513513513513514,3168777,21.88
JapaneseVowels,FEDformer,29,256,8,2,1,512,15,0.9594594594594594,2382345,18.88
JapaneseVowels,FEDformer,29,256,8,2,1,512,12,0.9594594594594594,2382345,18.88
JapaneseVowels,FEDformer,29,256,8,2,1,512,9,0.9621621621621622,2382345,18.88
JapaneseVowels,FEDformer,29,256,8,2,1,512,6,0.9594594594594594,2382345,18.88
JapaneseVowels,FEDformer,29,256,8,2,1,512,3,0.9621621621621622,2382345,18.88
JapaneseVowels,FEDformer,29,256,8,2,1,512,2,0.9594594594594594,2382345,18.88
JapaneseVowels,FEDformer,29,256,8,2,1,512,1,0.10810810810810811,2382345,18.88
JapaneseVowels,FEDformer,29,256,8,2,1,256,15,0.9756756756756757,1989129,17.38
JapaneseVowels,FEDformer,29,256,8,2,1,256,12,0.9702702702702702,1989129,17.38
JapaneseVowels,FEDformer,29,256,8,2,1,256,9,0.9621621621621622,1989129,17.38
JapaneseVowels,FEDformer,29,256,8,2,1,256,6,0.9540540540540541,1989129,17.38
JapaneseVowels,FEDformer,29,256,8,2,1,256,3,0.9675675675675676,1989129,17.38
JapaneseVowels,FEDformer,29,256,8,2,1,256,2,0.9756756756756757,1989129,17.38
JapaneseVowels,FEDformer,29,256,8,2,1,256,1,0.07837837837837838,1989129,17.38
JapaneseVowels,FEDformer,29,256,8,2,1,128,15,0.9621621621621622,1792521,16.63
JapaneseVowels,FEDformer,29,256,8,2,1,128,12,0.9648648648648649,1792521,16.63
JapaneseVowels,FEDformer,29,256,8,2,1,128,9,0.9594594594594594,1792521,16.63
