data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
Libras,FEDformer,45,512,8,2,1,2048,23,0.9055555555555556,13743119,71.98
Libras,FEDformer,45,512,8,2,1,2048,18,0.9055555555555556,13743119,71.98
Libras,FEDformer,45,512,8,2,1,2048,14,0.8777777777777778,13743119,71.98
Libras,FEDformer,45,512,8,2,1,2048,9,0.8444444444444444,13743119,71.98
Libras,FEDformer,45,512,8,2,1,2048,5,0.8555555555555555,13743119,71.98
Libras,FEDformer,45,512,8,2,1,2048,3,0.8833333333333333,13743119,71.98
Libras,FEDformer,45,512,8,2,1,2048,2,0.8333333333333334,13743119,71.98
Libras,FEDformer,45,512,8,2,1,2048,1,0.06666666666666667,13743119,71.98
Libras,FEDformer,45,512,8,2,1,1024,23,0.9333333333333333,10597391,59.98
Libras,FEDformer,45,512,8,2,1,1024,18,0.9,10597391,59.98
Libras,FEDformer,45,512,8,2,1,1024,14,0.8666666666666667,10597391,59.98
Libras,FEDformer,45,512,8,2,1,1024,9,0.8777777777777778,10597391,59.98
Libras,FEDformer,45,512,8,2,1,1024,5,0.85,10597391,59.98
Libras,FEDformer,45,512,8,2,1,1024,3,0.8666666666666667,10597391,59.98
Libras,FEDformer,45,512,8,2,1,1024,2,0.8611111111111112,10597391,59.98
Libras,FEDformer,45,512,8,2,1,1024,1,0.06666666666666667,10597391,59.98
Libras,FEDformer,45,512,8,2,1,512,23,0.9055555555555556,9024527,53.98
Libras,FEDformer,45,512,8,2,1,512,18,0.9055555555555556,9024527,53.98
Libras,FEDformer,45,512,8,2,1,512,14,0.8888888888888888,9024527,53.98
Libras,FEDformer,45,512,8,2,1,512,9,0.8722222222222222,9024527,53.98
Libras,FEDformer,45,512,8,2,1,512,5,0.8888888888888888,9024527,53.98
Libras,FEDformer,45,512,8,2,1,512,3,0.8666666666666667,9024527,53.98
Libras,FEDformer,45,512,8,2,1,512,2,0.8611111111111112,9024527,53.98
Libras,FEDformer,45,512,8,2,1,512,1,0.06666666666666667,9024527,53.98
Libras,FEDformer,45,512,8,2,1,256,23,0.9055555555555556,8238095,50.98
Libras,FEDformer,45,512,8,2,1,256,18,0.9,8238095,50.98
Libras,FEDformer,45,512,8,2,1,256,14,0.8777777777777778,8238095,50.98
Libras,FEDformer,45,512,8,2,1,256,9,0.8833333333333333,8238095,50.98
Libras,FEDformer,45,512,8,2,1,256,5,0.8888888888888888,8238095,50.98
Libras,FEDformer,45,512,8,2,1,256,3,0.8722222222222222,8238095,50.98
Libras,FEDformer,45,512,8,2,1,256,2,0.8777777777777778,8238095,50.98
Libras,FEDformer,45,512,8,2,1,256,1,0.06666666666666667,8238095,50.98
Libras,FEDformer,45,512,8,2,1,128,23,0.9055555555555556,7844879,49.48
Libras,FEDformer,45,512,8,2,1,128,18,0.9,7844879,49.48
Libras,FEDformer,45,512,8,2,1,128,14,0.8777777777777778,7844879,49.48
Libras,FEDformer,45,512,8,2,1,128,9,0.8666666666666667,7844879,49.48
Libras,FEDformer,45,512,8,2,1,128,5,0.8888888888888888,7844879,49.48
Libras,FEDformer,45,512,8,2,1,128,3,0.8666666666666667,7844879,49.48
Libras,FEDformer,45,512,8,2,1,128,2,0.8611111111111112,7844879,49.48
Libras,FEDformer,45,512,8,2,1,128,1,0.06666666666666667,7844879,49.48
Libras,FEDformer,45,256,8,2,1,2048,23,0.9111111111111111,5102095,29.25
Libras,FEDformer,45,256,8,2,1,2048,18,0.8944444444444445,5102095,29.25
Libras,FEDformer,45,256,8,2,1,2048,14,0.8833333333333333,5102095,29.25
Libras,FEDformer,45,256,8,2,1,2048,9,0.8888888888888888,5102095,29.25
Libras,FEDformer,45,256,8,2,1,2048,5,0.8722222222222222,5102095,29.25
Libras,FEDformer,45,256,8,2,1,2048,3,0.8722222222222222,5102095,29.25
Libras,FEDformer,45,256,8,2,1,2048,2,0.8611111111111112,5102095,29.25
Libras,FEDformer,45,256,8,2,1,2048,1,0.06666666666666667,5102095,29.25
Libras,FEDformer,45,256,8,2,1,1024,23,0.9,3529231,23.25
Libras,FEDformer,45,256,8,2,1,1024,18,0.9,3529231,23.25
Libras,FEDformer,45,256,8,2,1,1024,14,0.8777777777777778,3529231,23.25
Libras,FEDformer,45,256,8,2,1,1024,9,0.8777777777777778,3529231,23.25
Libras,FEDformer,45,256,8,2,1,1024,5,0.8444444444444444,3529231,23.25
Libras,FEDformer,45,256,8,2,1,1024,3,0.8833333333333333,3529231,23.25
Libras,FEDformer,45,256,8,2,1,1024,2,0.8777777777777778,3529231,23.25
Libras,FEDformer,45,256,8,2,1,1024,1,0.06666666666666667,3529231,23.25
Libras,FEDformer,45,256,8,2,1,512,23,0.9055555555555556,2742799,20.25
Libras,FEDformer,45,256,8,2,1,512,18,0.9,2742799,20.25
Libras,FEDformer,45,256,8,2,1,512,14,0.8833333333333333,2742799,20.25
Libras,FEDformer,45,256,8,2,1,512,9,0.8777777777777778,2742799,20.25
Libras,FEDformer,45,256,8,2,1,512,5,0.8833333333333333,2742799,20.25
Libras,FEDformer,45,256,8,2,1,512,3,0.8666666666666667,2742799,20.25
Libras,FEDformer,45,256,8,2,1,512,2,0.8777777777777778,2742799,20.25
Libras,FEDformer,45,256,8,2,1,512,1,0.06666666666666667,2742799,20.25
Libras,FEDformer,45,256,8,2,1,256,23,0.9111111111111111,2349583,18.75
Libras,FEDformer,45,256,8,2,1,256,18,0.9,2349583,18.75
Libras,FEDformer,45,256,8,2,1,256,14,0.8888888888888888,2349583,18.75
Libras,FEDformer,45,256,8,2,1,256,9,0.8833333333333333,2349583,18.75
Libras,FEDformer,45,256,8,2,1,256,5,0.8611111111111112,2349583,18.75
Libras,FEDformer,45,256,8,2,1,256,3,0.8666666666666667,2349583,18.75
Libras,FEDformer,45,256,8,2,1,256,2,0.8722222222222222,2349583,18.75
Libras,FEDformer,45,256,8,2,1,256,1,0.06666666666666667,2349583,18.75
Libras,FEDformer,45,256,8,2,1,128,23,0.9111111111111111,2152975,18.0
Libras,FEDformer,45,256,8,2,1,128,18,0.9055555555555556,2152975,18.0
Libras,FEDformer,45,256,8,2,1,128,14,0.8888888888888888,2152975,18.0
Libras,FEDformer,45,256,8,2,1,128,9,0.8888888888888888,2152975,18.0
Libras,FEDformer,45,256,8,2,1,128,5,0.8777777777777778,2152975,18.0
Libras,FEDformer,45,256,8,2,1,128,3,0.8833333333333333,2152975,18.0
Libras,FEDformer,45,256,8,2,1,128,2,0.8833333333333333,2152975,18.0
Libras,FEDformer,45,256,8,2,1,128,1,0.06666666666666667,2152975,18.0
Libras,FEDformer,45,128,8,2,1,2048,23,0.9,2108687,12.95
Libras,FEDformer,45,128,8,2,1,2048,18,0.9,2108687,12.95
Libras,FEDformer,45,128,8,2,1,2048,14,0.8833333333333333,2108687,12.95
Libras,FEDformer,45,128,8,2,1,2048,9,0.8722222222222222,2108687,12.95
Libras,FEDformer,45,128,8,2,1,2048,5,0.8555555555555555,2108687,12.95
Libras,FEDformer,45,128,8,2,1,2048,3,0.8722222222222222,2108687,12.95
Libras,FEDformer,45,128,8,2,1,2048,2,0.8611111111111112,2108687,12.95
Libras,FEDformer,45,128,8,2,1,2048,1,0.06666666666666667,2108687,12.95
Libras,FEDformer,45,128,8,2,1,1024,23,0.9055555555555556,1322255,9.95
Libras,FEDformer,45,128,8,2,1,1024,18,0.8944444444444445,1322255,9.95
Libras,FEDformer,45,128,8,2,1,1024,14,0.8944444444444445,1322255,9.95
Libras,FEDformer,45,128,8,2,1,1024,9,0.8722222222222222,1322255,9.95
Libras,FEDformer,45,128,8,2,1,1024,5,0.8777777777777778,1322255,9.95
Libras,FEDformer,45,128,8,2,1,1024,3,0.8611111111111112,1322255,9.95
Libras,FEDformer,45,128,8,2,1,1024,2,0.8611111111111112,1322255,9.95
Libras,FEDformer,45,128,8,2,1,1024,1,0.06666666666666667,1322255,9.95
Libras,FEDformer,45,128,8,2,1,512,23,0.9,929039,8.45
Libras,FEDformer,45,128,8,2,1,512,18,0.9055555555555556,929039,8.45
Libras,FEDformer,45,128,8,2,1,512,14,0.8833333333333333,929039,8.45
Libras,FEDformer,45,128,8,2,1,512,9,0.8833333333333333,929039,8.45
Libras,FEDformer,45,128,8,2,1,512,5,0.8611111111111112,929039,8.45
Libras,FEDformer,45,128,8,2,1,512,3,0.8611111111111112,929039,8.45
Libras,FEDformer,45,128,8,2,1,512,2,0.8555555555555555,929039,8.45
Libras,FEDformer,45,128,8,2,1,512,1,0.06666666666666667,929039,8.45
Libras,FEDformer,45,128,8,2,1,256,23,0.9111111111111111,732431,7.7
Libras,FEDformer,45,128,8,2,1,256,18,0.9,732431,7.7
Libras,FEDformer,45,128,8,2,1,256,14,0.8944444444444445,732431,7.7
Libras,FEDformer,45,128,8,2,1,256,9,0.8666666666666667,732431,7.7
Libras,FEDformer,45,128,8,2,1,256,5,0.8722222222222222,732431,7.7
Libras,FEDformer,45,128,8,2,1,256,3,0.85,732431,7.7
Libras,FEDformer,45,128,8,2,1,256,2,0.8666666666666667,732431,7.7
Libras,FEDformer,45,128,8,2,1,256,1,0.06666666666666667,732431,7.7
Libras,FEDformer,45,128,8,2,1,128,23,0.9055555555555556,634127,7.33
Libras,FEDformer,45,128,8,2,1,128,18,0.9,634127,7.33
Libras,FEDformer,45,128,8,2,1,128,14,0.8666666666666667,634127,7.33
Libras,FEDformer,45,128,8,2,1,128,9,0.8777777777777778,634127,7.33
Libras,FEDformer,45,128,8,2,1,128,5,0.8611111111111112,634127,7.33
Libras,FEDformer,45,128,8,2,1,128,3,0.85,634127,7.33
Libras,FEDformer,45,128,8,2,1,128,2,0.8722222222222222,634127,7.33
Libras,FEDformer,45,128,8,2,1,128,1,0.06666666666666667,634127,7.33
Libras,FEDformer,45,64,8,2,1,2048,23,0.9111111111111111,943759,6.07
Libras,FEDformer,45,64,8,2,1,2048,18,0.9,943759,6.07
Libras,FEDformer,45,64,8,2,1,2048,14,0.8833333333333333,943759,6.07
Libras,FEDformer,45,64,8,2,1,2048,9,0.8666666666666667,943759,6.07
Libras,FEDformer,45,64,8,2,1,2048,5,0.8722222222222222,943759,6.07
Libras,FEDformer,45,64,8,2,1,2048,3,0.8611111111111112,943759,6.07
Libras,FEDformer,45,64,8,2,1,2048,2,0.8611111111111112,943759,6.07
Libras,FEDformer,45,64,8,2,1,2048,1,0.06666666666666667,943759,6.07
Libras,FEDformer,45,64,8,2,1,1024,23,0.9,550543,4.57
Libras,FEDformer,45,64,8,2,1,1024,18,0.9055555555555556,550543,4.57
Libras,FEDformer,45,64,8,2,1,1024,14,0.8888888888888888,550543,4.57
Libras,FEDformer,45,64,8,2,1,1024,9,0.8666666666666667,550543,4.57
Libras,FEDformer,45,64,8,2,1,1024,5,0.8722222222222222,550543,4.57
Libras,FEDformer,45,64,8,2,1,1024,3,0.8722222222222222,550543,4.57
Libras,FEDformer,45,64,8,2,1,1024,2,0.8666666666666667,550543,4.57
Libras,FEDformer,45,64,8,2,1,1024,1,0.06666666666666667,550543,4.57
Libras,FEDformer,45,64,8,2,1,512,23,0.9166666666666666,353935,3.82
Libras,FEDformer,45,64,8,2,1,512,18,0.9,353935,3.82
Libras,FEDformer,45,64,8,2,1,512,14,0.8833333333333333,353935,3.82
Libras,FEDformer,45,64,8,2,1,512,9,0.8833333333333333,353935,3.82
Libras,FEDformer,45,64,8,2,1,512,5,0.8444444444444444,353935,3.82
Libras,FEDformer,45,64,8,2,1,512,3,0.8611111111111112,353935,3.82
Libras,FEDformer,45,64,8,2,1,512,2,0.8611111111111112,353935,3.82
Libras,FEDformer,45,64,8,2,1,512,1,0.06666666666666667,353935,3.82
Libras,FEDformer,45,64,8,2,1,256,23,0.9055555555555556,255631,3.44
Libras,FEDformer,45,64,8,2,1,256,18,0.9055555555555556,255631,3.44
Libras,FEDformer,45,64,8,2,1,256,14,0.8611111111111112,255631,3.44
Libras,FEDformer,45,64,8,2,1,256,9,0.85,255631,3.44
Libras,FEDformer,45,64,8,2,1,256,5,0.8666666666666667,255631,3.44
Libras,FEDformer,45,64,8,2,1,256,3,0.8666666666666667,255631,3.44
Libras,FEDformer,45,64,8,2,1,256,2,0.8555555555555555,255631,3.44
Libras,FEDformer,45,64,8,2,1,256,1,0.06666666666666667,255631,3.44
Libras,FEDformer,45,64,8,2,1,128,23,0.9166666666666666,206479,3.25
Libras,FEDformer,45,64,8,2,1,128,18,0.9111111111111111,206479,3.25
Libras,FEDformer,45,64,8,2,1,128,14,0.8666666666666667,206479,3.25
Libras,FEDformer,45,64,8,2,1,128,9,0.8722222222222222,206479,3.25
