data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
MotorImagery,FEDformer,3000,512,8,2,1,2048,1500,0.58,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,1200,0.55,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,900,0.6,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,600,0.58,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,300,0.61,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,150,0.59,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,90,0.59,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,60,0.58,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,30,0.62,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,2048,15,0.59,19972610,95.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,1500,0.58,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,1200,0.57,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,900,0.62,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,600,0.56,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,300,0.58,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,150,0.53,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,90,0.56,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,60,0.6,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,30,0.55,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,1024,15,0.61,16826882,83.74
MotorImagery,FEDformer,3000,512,8,2,1,512,1500,0.58,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,1200,0.56,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,900,0.56,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,600,0.58,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,300,0.61,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,150,0.58,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,90,0.63,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,60,0.61,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,30,0.58,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,512,15,0.56,15254018,77.74
MotorImagery,FEDformer,3000,512,8,2,1,256,1500,0.58,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,1200,0.57,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,900,0.61,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,600,0.58,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,300,0.59,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,150,0.58,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,90,0.53,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,60,0.62,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,30,0.58,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,256,15,0.55,14467586,74.74
MotorImagery,FEDformer,3000,512,8,2,1,128,1500,0.55,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,1200,0.61,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,900,0.56,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,600,0.61,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,300,0.55,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,150,0.55,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,90,0.58,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,60,0.57,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,30,0.61,14074370,73.24
MotorImagery,FEDformer,3000,512,8,2,1,128,15,0.61,14074370,73.24
MotorImagery,FEDformer,3000,256,8,2,1,2048,1500,0.57,7364866,37.88
MotorImagery,FEDformer,3000,256,8,2,1,2048,1200,0.57,7364866,37.88
