data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
NATOPS,FEDformer,51,512,8,2,1,2048,26,0.9166666666666666,13915654,72.64
NATOPS,FEDformer,51,512,8,2,1,2048,21,0.9166666666666666,13915654,72.64
NATOPS,FEDformer,51,512,8,2,1,2048,16,0.9,13915654,72.64
NATOPS,FEDformer,51,512,8,2,1,2048,11,0.8833333333333333,13915654,72.64
NATOPS,FEDformer,51,512,8,2,1,2048,6,0.9222222222222223,13915654,72.64
NATOPS,FEDformer,51,512,8,2,1,2048,3,0.9277777777777778,13915654,72.64
NATOPS,FEDformer,51,512,8,2,1,2048,2,0.9111111111111111,13915654,72.64
NATOPS,FEDformer,51,512,8,2,1,2048,1,0.16666666666666666,13915654,72.64
NATOPS,FEDformer,51,512,8,2,1,1024,26,0.9166666666666666,10769926,60.64
NATOPS,FEDformer,51,512,8,2,1,1024,21,0.9,10769926,60.64
NATOPS,FEDformer,51,512,8,2,1,1024,16,0.8833333333333333,10769926,60.64
NATOPS,FEDformer,51,512,8,2,1,1024,11,0.9111111111111111,10769926,60.64
NATOPS,FEDformer,51,512,8,2,1,1024,6,0.9333333333333333,10769926,60.64
NATOPS,FEDformer,51,512,8,2,1,1024,3,0.9222222222222223,10769926,60.64
NATOPS,FEDformer,51,512,8,2,1,1024,2,0.9333333333333333,10769926,60.64
NATOPS,FEDformer,51,512,8,2,1,1024,1,0.16666666666666666,10769926,60.64
NATOPS,FEDformer,51,512,8,2,1,512,26,0.9277777777777778,9197062,54.64
NATOPS,FEDformer,51,512,8,2,1,512,21,0.9222222222222223,9197062,54.64
NATOPS,FEDformer,51,512,8,2,1,512,16,0.8833333333333333,9197062,54.64
NATOPS,FEDformer,51,512,8,2,1,512,11,0.8944444444444445,9197062,54.64
NATOPS,FEDformer,51,512,8,2,1,512,6,0.9166666666666666,9197062,54.64
NATOPS,FEDformer,51,512,8,2,1,512,3,0.9111111111111111,9197062,54.64
NATOPS,FEDformer,51,512,8,2,1,512,2,0.9333333333333333,9197062,54.64
NATOPS,FEDformer,51,512,8,2,1,512,1,0.16666666666666666,9197062,54.64
NATOPS,FEDformer,51,512,8,2,1,256,26,0.9388888888888889,8410630,51.64
NATOPS,FEDformer,51,512,8,2,1,256,21,0.9222222222222223,8410630,51.64
NATOPS,FEDformer,51,512,8,2,1,256,16,0.8833333333333333,8410630,51.64
NATOPS,FEDformer,51,512,8,2,1,256,11,0.9,8410630,51.64
NATOPS,FEDformer,51,512,8,2,1,256,6,0.9388888888888889,8410630,51.64
NATOPS,FEDformer,51,512,8,2,1,256,3,0.9222222222222223,8410630,51.64
NATOPS,FEDformer,51,512,8,2,1,256,2,0.9277777777777778,8410630,51.64
NATOPS,FEDformer,51,512,8,2,1,256,1,0.16666666666666666,8410630,51.64
NATOPS,FEDformer,51,512,8,2,1,128,26,0.9222222222222223,8017414,50.14
NATOPS,FEDformer,51,512,8,2,1,128,21,0.9222222222222223,8017414,50.14
NATOPS,FEDformer,51,512,8,2,1,128,16,0.9111111111111111,8017414,50.14
NATOPS,FEDformer,51,512,8,2,1,128,11,0.8944444444444445,8017414,50.14
NATOPS,FEDformer,51,512,8,2,1,128,6,0.9166666666666666,8017414,50.14
NATOPS,FEDformer,51,512,8,2,1,128,3,0.9277777777777778,8017414,50.14
NATOPS,FEDformer,51,512,8,2,1,128,2,0.9222222222222223,8017414,50.14
NATOPS,FEDformer,51,512,8,2,1,128,1,0.16666666666666666,8017414,50.14
NATOPS,FEDformer,51,256,8,2,1,2048,26,0.9055555555555556,5106438,29.27
NATOPS,FEDformer,51,256,8,2,1,2048,21,0.9055555555555556,5106438,29.27
NATOPS,FEDformer,51,256,8,2,1,2048,16,0.9,5106438,29.27
NATOPS,FEDformer,51,256,8,2,1,2048,11,0.8944444444444445,5106438,29.27
NATOPS,FEDformer,51,256,8,2,1,2048,6,0.9166666666666666,5106438,29.27
NATOPS,FEDformer,51,256,8,2,1,2048,3,0.95,5106438,29.27
NATOPS,FEDformer,51,256,8,2,1,2048,2,0.9444444444444444,5106438,29.27
NATOPS,FEDformer,51,256,8,2,1,2048,1,0.16666666666666666,5106438,29.27
NATOPS,FEDformer,51,256,8,2,1,1024,26,0.9277777777777778,3533574,23.27
NATOPS,FEDformer,51,256,8,2,1,1024,21,0.9166666666666666,3533574,23.27
NATOPS,FEDformer,51,256,8,2,1,1024,16,0.9,3533574,23.27
NATOPS,FEDformer,51,256,8,2,1,1024,11,0.9222222222222223,3533574,23.27
NATOPS,FEDformer,51,256,8,2,1,1024,6,0.9444444444444444,3533574,23.27
NATOPS,FEDformer,51,256,8,2,1,1024,3,0.9277777777777778,3533574,23.27
NATOPS,FEDformer,51,256,8,2,1,1024,2,0.9277777777777778,3533574,23.27
NATOPS,FEDformer,51,256,8,2,1,1024,1,0.16666666666666666,3533574,23.27
NATOPS,FEDformer,51,256,8,2,1,512,26,0.9277777777777778,2747142,20.27
NATOPS,FEDformer,51,256,8,2,1,512,21,0.9222222222222223,2747142,20.27
NATOPS,FEDformer,51,256,8,2,1,512,16,0.9,2747142,20.27
NATOPS,FEDformer,51,256,8,2,1,512,11,0.9333333333333333,2747142,20.27
NATOPS,FEDformer,51,256,8,2,1,512,6,0.9444444444444444,2747142,20.27
NATOPS,FEDformer,51,256,8,2,1,512,3,0.9444444444444444,2747142,20.27
NATOPS,FEDformer,51,256,8,2,1,512,2,0.95,2747142,20.27
NATOPS,FEDformer,51,256,8,2,1,512,1,0.16666666666666666,2747142,20.27
NATOPS,FEDformer,51,256,8,2,1,256,26,0.9166666666666666,2353926,18.77
NATOPS,FEDformer,51,256,8,2,1,256,21,0.9166666666666666,2353926,18.77
NATOPS,FEDformer,51,256,8,2,1,256,16,0.9,2353926,18.77
NATOPS,FEDformer,51,256,8,2,1,256,11,0.8888888888888888,2353926,18.77
NATOPS,FEDformer,51,256,8,2,1,256,6,0.9333333333333333,2353926,18.77
NATOPS,FEDformer,51,256,8,2,1,256,3,0.95,2353926,18.77
