data_name,model,seq_len,d_model,n_heads,e_layers,d_layers,d_ff,moving_average,acc,model_params,model_size (MB)
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,158,0.7625,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,126,0.7125,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,95,0.703125,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,63,0.646875,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,32,0.575,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,16,0.525,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,10,0.584375,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,7,0.53125,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,4,0.559375,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,2048,2,0.490625,18097160,88.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,158,0.753125,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,126,0.703125,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,95,0.671875,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,63,0.671875,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,32,0.559375,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,16,0.53125,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,10,0.490625,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,7,0.4875,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,4,0.578125,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,1024,2,0.5625,14951432,76.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,158,0.746875,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,126,0.7125,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,95,0.6625,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,63,0.65625,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,32,0.509375,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,16,0.45,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,10,0.471875,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,7,0.534375,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,4,0.540625,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,512,2,0.509375,13378568,70.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,158,0.75,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,126,0.7,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,95,0.65625,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,63,0.646875,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,32,0.503125,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,16,0.496875,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,10,0.496875,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,7,0.53125,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,4,0.540625,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,256,2,0.50625,12592136,67.59
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,158,0.771875,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,126,0.71875,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,95,0.70625,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,63,0.65625,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,32,0.5125,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,16,0.478125,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,10,0.49375,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,7,0.615625,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,4,0.565625,12198920,66.09
UWaveGestureLibrary,FEDformer,315,512,8,2,1,128,2,0.525,12198920,66.09
UWaveGestureLibrary,FEDformer,315,256,8,2,1,2048,158,0.784375,6427144,34.31
