data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
ArticularyWordRecognition,GPT4TS,144,6,768,768,6,2,0.97,44970265,186.23
ArticularyWordRecognition,GPT4TS,144,6,768,768,6,3,0.9733333333333334,44493337,184.41
ArticularyWordRecognition,GPT4TS,144,6,768,768,6,6,0.9766666666666667,44016409,182.59
ArticularyWordRecognition,GPT4TS,144,6,768,768,7,2,0.95,44970265,186.23
ArticularyWordRecognition,GPT4TS,144,6,768,768,7,4,0.98,44265241,183.54
ArticularyWordRecognition,GPT4TS,144,6,768,768,7,7,0.98,43954201,182.35
ArticularyWordRecognition,GPT4TS,144,6,768,768,8,2,0.9666666666666667,44991001,186.31
ArticularyWordRecognition,GPT4TS,144,6,768,768,8,4,0.9733333333333334,44285977,183.62
ArticularyWordRecognition,GPT4TS,144,6,768,768,8,8,0.9766666666666667,43933465,182.27
ArticularyWordRecognition,GPT4TS,144,6,768,768,9,3,0.9733333333333334,44534809,184.56
ArticularyWordRecognition,GPT4TS,144,6,768,768,9,5,0.9766666666666667,44161561,183.14
ArticularyWordRecognition,GPT4TS,144,6,768,768,9,9,0.98,43912729,182.19
ArticularyWordRecognition,GPT4TS,144,6,768,768,10,3,0.9666666666666667,44534809,184.56
ArticularyWordRecognition,GPT4TS,144,6,768,768,10,5,0.9766666666666667,44161561,183.14
ArticularyWordRecognition,GPT4TS,144,6,768,768,10,10,0.9733333333333334,43891993,182.11
ArticularyWordRecognition,GPT4TS,144,6,768,768,11,3,0.9733333333333334,44555545,184.64
ArticularyWordRecognition,GPT4TS,144,6,768,768,11,6,0.9766666666666667,44099353,182.9
ArticularyWordRecognition,GPT4TS,144,6,768,768,11,11,0.9766666666666667,43891993,182.11
ArticularyWordRecognition,GPT4TS,144,6,768,768,12,3,0.9733333333333334,44576281,184.72
ArticularyWordRecognition,GPT4TS,144,6,768,768,12,6,0.9833333333333333,44120089,182.98
ArticularyWordRecognition,GPT4TS,144,6,768,768,12,12,0.9833333333333333,43891993,182.11
ArticularyWordRecognition,GPT4TS,144,6,768,768,14,4,0.9833333333333333,44368921,183.93
ArticularyWordRecognition,GPT4TS,144,6,768,768,14,7,0.98,44078617,182.82
ArticularyWordRecognition,GPT4TS,144,6,768,768,14,14,0.9766666666666667,43891993,182.11
ArticularyWordRecognition,GPT4TS,144,6,768,768,15,4,0.9766666666666667,44389657,184.01
ArticularyWordRecognition,GPT4TS,144,6,768,768,15,8,0.9733333333333334,44057881,182.75
ArticularyWordRecognition,GPT4TS,144,6,768,768,15,15,0.98,43891993,182.11
ArticularyWordRecognition,GPT4TS,144,6,768,768,16,4,0.9733333333333334,44410393,184.09
ArticularyWordRecognition,GPT4TS,144,6,768,768,16,8,0.98,44078617,182.82
ArticularyWordRecognition,GPT4TS,144,6,768,768,16,16,0.9766666666666667,43912729,182.19
ArticularyWordRecognition,GPT4TS,144,6,768,768,18,5,0.9833333333333333,44306713,183.69
ArticularyWordRecognition,GPT4TS,144,6,768,768,18,9,0.9833333333333333,44078617,182.82
ArticularyWordRecognition,GPT4TS,144,6,768,768,18,18,0.98,43933465,182.27
ArticularyWordRecognition,GPT4TS,144,6,768,768,21,6,0.9766666666666667,44265241,183.54
ArticularyWordRecognition,GPT4TS,144,6,768,768,21,11,0.98,44078617,182.82
ArticularyWordRecognition,GPT4TS,144,6,768,768,21,21,0.98,43954201,182.35
ArticularyWordRecognition,GPT4TS,144,6,768,768,24,6,0.9733333333333334,44327449,183.77
ArticularyWordRecognition,GPT4TS,144,6,768,768,24,12,0.98,44120089,182.98
ArticularyWordRecognition,GPT4TS,144,6,768,768,24,24,0.9766666666666667,44016409,182.59
ArticularyWordRecognition,GPT4TS,144,6,768,768,29,8,0.98,44306713,183.69
ArticularyWordRecognition,GPT4TS,144,6,768,768,29,15,0.9766666666666667,44161561,183.14
ArticularyWordRecognition,GPT4TS,144,6,768,768,29,29,0.9766666666666667,44078617,182.82
ArticularyWordRecognition,GPT4TS,144,5,768,768,6,2,0.9833333333333333,37882393,159.18
ArticularyWordRecognition,GPT4TS,144,5,768,768,6,3,0.98,37405465,157.36
ArticularyWordRecognition,GPT4TS,144,5,768,768,6,6,0.98,36928537,155.55
ArticularyWordRecognition,GPT4TS,144,5,768,768,7,2,0.9666666666666667,37882393,159.18
ArticularyWordRecognition,GPT4TS,144,5,768,768,7,4,0.9833333333333333,37177369,156.49
ArticularyWordRecognition,GPT4TS,144,5,768,768,7,7,0.9833333333333333,36866329,155.31
ArticularyWordRecognition,GPT4TS,144,5,768,768,8,2,0.9566666666666667,37903129,159.26
ArticularyWordRecognition,GPT4TS,144,5,768,768,8,4,0.98,37198105,156.57
ArticularyWordRecognition,GPT4TS,144,5,768,768,8,8,0.9766666666666667,36845593,155.23
ArticularyWordRecognition,GPT4TS,144,5,768,768,9,3,0.9833333333333333,37446937,157.52
ArticularyWordRecognition,GPT4TS,144,5,768,768,9,5,0.98,37073689,156.1
ArticularyWordRecognition,GPT4TS,144,5,768,768,9,9,0.9833333333333333,36824857,155.15
ArticularyWordRecognition,GPT4TS,144,5,768,768,10,3,0.9733333333333334,37446937,157.52
ArticularyWordRecognition,GPT4TS,144,5,768,768,10,5,0.9766666666666667,37073689,156.1
ArticularyWordRecognition,GPT4TS,144,5,768,768,10,10,0.9766666666666667,36804121,155.07
ArticularyWordRecognition,GPT4TS,144,5,768,768,11,3,0.9733333333333334,37467673,157.6
ArticularyWordRecognition,GPT4TS,144,5,768,768,11,6,0.98,37011481,155.86
ArticularyWordRecognition,GPT4TS,144,5,768,768,11,11,0.9766666666666667,36804121,155.07
ArticularyWordRecognition,GPT4TS,144,5,768,768,12,3,0.9766666666666667,37488409,157.68
ArticularyWordRecognition,GPT4TS,144,5,768,768,12,6,0.9866666666666667,37032217,155.94
ArticularyWordRecognition,GPT4TS,144,5,768,768,12,12,0.9833333333333333,36804121,155.07
ArticularyWordRecognition,GPT4TS,144,5,768,768,14,4,0.97,37281049,156.89
ArticularyWordRecognition,GPT4TS,144,5,768,768,14,7,0.9733333333333334,36990745,155.78
ArticularyWordRecognition,GPT4TS,144,5,768,768,14,14,0.9733333333333334,36804121,155.07
