data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
Cricket,GPT4TS,1197,6,768,768,48,12,0.9444444444444444,45080076,186.64
Cricket,GPT4TS,1197,6,768,768,48,24,0.9305555555555556,44563980,184.68
Cricket,GPT4TS,1197,6,768,768,48,48,0.9583333333333334,44305932,183.69
Cricket,GPT4TS,1197,6,768,768,50,13,0.9166666666666666,45032460,186.46
Cricket,GPT4TS,1197,6,768,768,50,25,0.9027777777777778,44570124,184.7
Cricket,GPT4TS,1197,6,768,768,50,50,0.8888888888888888,44322828,183.76
Cricket,GPT4TS,1197,6,768,768,53,14,0.9166666666666666,44998668,186.33
Cricket,GPT4TS,1197,6,768,768,53,27,0.9027777777777778,44579340,184.73
Cricket,GPT4TS,1197,6,768,768,53,53,0.9305555555555556,44353548,183.87
Cricket,GPT4TS,1197,6,768,768,55,14,0.9027777777777778,45026316,186.44
Cricket,GPT4TS,1197,6,768,768,55,28,0.9305555555555556,44585484,184.76
Cricket,GPT4TS,1197,6,768,768,55,55,0.9166666666666666,44370444,183.94
Cricket,GPT4TS,1197,6,768,768,57,15,0.9305555555555556,45000204,186.34
Cricket,GPT4TS,1197,6,768,768,57,29,0.9583333333333334,44602380,184.82
Cricket,GPT4TS,1197,6,768,768,57,57,0.9166666666666666,44398092,184.04
Cricket,GPT4TS,1197,6,768,768,60,15,0.9583333333333334,45030924,186.46
Cricket,GPT4TS,1197,6,768,768,60,30,0.9444444444444444,44622348,184.9
Cricket,GPT4TS,1197,6,768,768,60,60,0.9444444444444444,44418060,184.12
Cricket,GPT4TS,1197,6,768,768,63,16,0.9722222222222222,45018636,186.41
Cricket,GPT4TS,1197,6,768,768,63,32,0.9444444444444444,44642316,184.98
Cricket,GPT4TS,1197,6,768,768,63,63,0.9305555555555556,44459532,184.28
Cricket,GPT4TS,1197,6,768,768,67,17,0.9444444444444444,45030924,186.46
Cricket,GPT4TS,1197,6,768,768,67,34,0.9444444444444444,44676108,185.1
Cricket,GPT4TS,1197,6,768,768,67,67,0.9722222222222222,44493324,184.41
Cricket,GPT4TS,1197,6,768,768,71,18,0.9166666666666666,45043212,186.5
Cricket,GPT4TS,1197,6,768,768,71,36,0.9722222222222222,44709900,185.23
Cricket,GPT4TS,1197,6,768,768,71,71,0.9583333333333334,44537868,184.58
Cricket,GPT4TS,1197,6,768,768,75,19,0.9166666666666666,45066252,186.59
Cricket,GPT4TS,1197,6,768,768,75,38,0.9444444444444444,44743692,185.36
Cricket,GPT4TS,1197,6,768,768,75,75,0.9166666666666666,44582412,184.75
Cricket,GPT4TS,1197,6,768,768,80,20,0.9583333333333334,45092364,186.69
Cricket,GPT4TS,1197,6,768,768,80,40,0.9305555555555556,44791308,185.54
Cricket,GPT4TS,1197,6,768,768,80,80,0.9305555555555556,44640780,184.97
Cricket,GPT4TS,1197,6,768,768,86,22,0.9166666666666666,45121548,186.8
Cricket,GPT4TS,1197,6,768,768,86,43,0.9444444444444444,44852748,185.78
Cricket,GPT4TS,1197,6,768,768,86,86,0.9305555555555556,44712972,185.24
Cricket,GPT4TS,1197,6,768,768,93,24,0.8888888888888888,45175308,187.01
Cricket,GPT4TS,1197,6,768,768,93,47,0.9305555555555556,44928012,186.06
Cricket,GPT4TS,1197,6,768,768,93,93,0.9027777777777778,44798988,185.57
Cricket,GPT4TS,1197,6,768,768,100,25,0.9583333333333334,45239820,187.25
Cricket,GPT4TS,1197,6,768,768,100,50,0.9166666666666666,45003276,186.35
Cricket,GPT4TS,1197,6,768,768,100,100,0.9305555555555556,44885004,185.9
Cricket,GPT4TS,1197,6,768,768,109,28,0.9444444444444444,45310476,187.52
Cricket,GPT4TS,1197,6,768,768,109,55,0.9027777777777778,45106188,186.74
Cricket,GPT4TS,1197,6,768,768,109,109,0.9166666666666666,44998668,186.33
Cricket,GPT4TS,1197,6,768,768,120,30,0.9305555555555556,45430284,187.98
Cricket,GPT4TS,1197,6,768,768,120,60,0.9305555555555556,45236748,187.24
Cricket,GPT4TS,1197,6,768,768,120,120,0.9166666666666666,45139980,186.87
Cricket,GPT4TS,1197,6,768,768,133,34,0.9305555555555556,45566988,188.5
Cricket,GPT4TS,1197,6,768,768,133,67,0.9305555555555556,45394956,187.85
Cricket,GPT4TS,1197,6,768,768,133,133,0.9305555555555556,45319692,187.56
Cricket,GPT4TS,1197,6,768,768,150,38,0.9305555555555556,45758988,189.23
Cricket,GPT4TS,1197,6,768,768,150,75,0.9305555555555556,45608460,188.66
Cricket,GPT4TS,1197,6,768,768,150,150,0.875,45533196,188.37
Cricket,GPT4TS,1197,6,768,768,171,43,0.9305555555555556,46006284,190.18
Cricket,GPT4TS,1197,6,768,768,171,86,0.9444444444444444,45877260,189.69
Cricket,GPT4TS,1197,6,768,768,171,171,0.9027777777777778,45823500,189.48
Cricket,GPT4TS,1197,6,768,768,200,50,0.9166666666666666,46364172,191.54
Cricket,GPT4TS,1197,6,768,768,200,100,0.9583333333333334,46256652,191.13
Cricket,GPT4TS,1197,6,768,768,200,200,0.9027777777777778,46202892,190.93
Cricket,GPT4TS,1197,6,768,768,240,60,0.9583333333333334,46874124,193.49
Cricket,GPT4TS,1197,6,768,768,240,120,0.9027777777777778,46788108,193.16
Cricket,GPT4TS,1197,6,768,768,240,240,0.8611111111111112,46745100,193.0
Cricket,GPT4TS,1197,5,768,768,48,12,0.9444444444444444,37992204,159.6
Cricket,GPT4TS,1197,5,768,768,48,24,0.9444444444444444,37476108,157.63
Cricket,GPT4TS,1197,5,768,768,48,48,0.9444444444444444,37218060,156.65
Cricket,GPT4TS,1197,5,768,768,50,13,0.9166666666666666,37944588,159.42
Cricket,GPT4TS,1197,5,768,768,50,25,0.9166666666666666,37482252,157.66
Cricket,GPT4TS,1197,5,768,768,50,50,0.8888888888888888,37234956,156.71
Cricket,GPT4TS,1197,5,768,768,53,14,0.9305555555555556,37910796,159.29
Cricket,GPT4TS,1197,5,768,768,53,27,0.9305555555555556,37491468,157.69
