data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
DuckDuckGeese,GPT4TS,270,6,768,768,11,3,0.58,77934341,311.97
DuckDuckGeese,GPT4TS,270,6,768,768,11,6,0.58,77703173,311.09
DuckDuckGeese,GPT4TS,270,6,768,768,11,11,0.56,77595653,310.68
DuckDuckGeese,GPT4TS,270,6,768,768,12,3,0.64,81033221,323.8
DuckDuckGeese,GPT4TS,270,6,768,768,12,6,0.6,80802053,322.91
DuckDuckGeese,GPT4TS,270,6,768,768,12,12,0.54,80683781,322.46
DuckDuckGeese,GPT4TS,270,6,768,768,13,4,0.6,84013829,335.17
DuckDuckGeese,GPT4TS,270,6,768,768,13,7,0.52,83863301,334.59
DuckDuckGeese,GPT4TS,270,6,768,768,13,13,0.58,83771909,334.24
DuckDuckGeese,GPT4TS,270,6,768,768,14,4,0.64,87112709,346.99
DuckDuckGeese,GPT4TS,270,6,768,768,14,7,0.54,86962181,346.41
DuckDuckGeese,GPT4TS,270,6,768,768,14,14,0.58,86865413,346.04
DuckDuckGeese,GPT4TS,270,6,768,768,15,4,0.54,90206213,358.79
DuckDuckGeese,GPT4TS,270,6,768,768,15,8,0.54,90034181,358.13
DuckDuckGeese,GPT4TS,270,6,768,768,15,15,0.56,89958917,357.84
DuckDuckGeese,GPT4TS,270,6,768,768,16,4,0.56,93305093,370.61
DuckDuckGeese,GPT4TS,270,6,768,768,16,8,0.6,93133061,369.95
DuckDuckGeese,GPT4TS,270,6,768,768,16,16,0.54,93047045,369.62
DuckDuckGeese,GPT4TS,270,6,768,768,17,5,0.6,96334085,382.16
DuckDuckGeese,GPT4TS,270,6,768,768,17,9,0.58,96215813,381.71
DuckDuckGeese,GPT4TS,270,6,768,768,17,17,0.52,96140549,381.43
DuckDuckGeese,GPT4TS,270,6,768,768,18,5,0.56,99432965,393.98
DuckDuckGeese,GPT4TS,270,6,768,768,18,9,0.58,99314693,393.53
DuckDuckGeese,GPT4TS,270,6,768,768,18,18,0.6,99239429,393.25
DuckDuckGeese,GPT4TS,270,6,768,768,20,5,0.6,105630725,417.63
DuckDuckGeese,GPT4TS,270,6,768,768,20,10,0.54,105496325,417.11
DuckDuckGeese,GPT4TS,270,6,768,768,20,20,0.5,105426437,416.85
DuckDuckGeese,GPT4TS,270,6,768,768,21,6,0.58,108681221,429.26
DuckDuckGeese,GPT4TS,270,6,768,768,21,11,0.46,108579077,428.87
DuckDuckGeese,GPT4TS,270,6,768,768,21,21,0.52,108519941,428.65
DuckDuckGeese,GPT4TS,270,6,768,768,23,6,0.6,114878981,452.91
DuckDuckGeese,GPT4TS,270,6,768,768,23,12,0.56,114766085,452.48
DuckDuckGeese,GPT4TS,270,6,768,768,23,23,0.48,114712325,452.27
DuckDuckGeese,GPT4TS,270,6,768,768,25,7,0.56,121044485,476.43
DuckDuckGeese,GPT4TS,270,6,768,768,25,13,0.48,120953093,476.08
DuckDuckGeese,GPT4TS,270,6,768,768,25,25,0.52,120904709,475.89
DuckDuckGeese,GPT4TS,270,6,768,768,27,7,0.54,127236869,500.05
DuckDuckGeese,GPT4TS,270,6,768,768,27,14,0.56,127145477,499.7
DuckDuckGeese,GPT4TS,270,6,768,768,27,27,0.56,127102469,499.54
DuckDuckGeese,GPT4TS,270,6,768,768,30,8,0.6,136512005,535.43
DuckDuckGeese,GPT4TS,270,6,768,768,30,15,0.5,136436741,535.14
DuckDuckGeese,GPT4TS,270,6,768,768,30,30,0.56,136393733,534.98
DuckDuckGeese,GPT4TS,270,6,768,768,34,9,0.54,148886021,582.63
DuckDuckGeese,GPT4TS,270,6,768,768,34,17,0.52,148816133,582.37
DuckDuckGeese,GPT4TS,270,6,768,768,34,34,0.46,148778501,582.22
DuckDuckGeese,GPT4TS,270,6,768,768,39,10,0.52,164364293,641.68
DuckDuckGeese,GPT4TS,270,6,768,768,39,20,0.5,164299781,641.43
DuckDuckGeese,GPT4TS,270,6,768,768,39,39,0.52,164267525,641.31
DuckDuckGeese,GPT4TS,270,6,768,768,45,12,0.56,182930693,712.5
DuckDuckGeese,GPT4TS,270,6,768,768,45,23,0.44,182882309,712.32
DuckDuckGeese,GPT4TS,270,6,768,768,45,45,0.46,182860805,712.24
DuckDuckGeese,GPT4TS,270,6,768,768,54,14,0.5,210804485,818.83
DuckDuckGeese,GPT4TS,270,6,768,768,54,27,0.56,210766853,818.69
DuckDuckGeese,GPT4TS,270,6,768,768,54,54,0.52,210745349,818.61
DuckDuckGeese,GPT4TS,270,5,768,768,11,3,0.54,70846469,284.93
DuckDuckGeese,GPT4TS,270,5,768,768,11,6,0.6,70615301,284.05
DuckDuckGeese,GPT4TS,270,5,768,768,11,11,0.54,70507781,283.64
DuckDuckGeese,GPT4TS,270,5,768,768,12,3,0.6,73945349,296.75
DuckDuckGeese,GPT4TS,270,5,768,768,12,6,0.56,73714181,295.87
DuckDuckGeese,GPT4TS,270,5,768,768,12,12,0.58,73595909,295.42
DuckDuckGeese,GPT4TS,270,5,768,768,13,4,0.64,76925957,308.12
DuckDuckGeese,GPT4TS,270,5,768,768,13,7,0.56,76775429,307.55
DuckDuckGeese,GPT4TS,270,5,768,768,13,13,0.54,76684037,307.2
DuckDuckGeese,GPT4TS,270,5,768,768,14,4,0.6,80024837,319.94
DuckDuckGeese,GPT4TS,270,5,768,768,14,7,0.52,79874309,319.37
DuckDuckGeese,GPT4TS,270,5,768,768,14,14,0.54,79777541,319.0
DuckDuckGeese,GPT4TS,270,5,768,768,15,4,0.6,83118341,331.75
DuckDuckGeese,GPT4TS,270,5,768,768,15,8,0.56,82946309,331.09
DuckDuckGeese,GPT4TS,270,5,768,768,15,15,0.54,82871045,330.8
DuckDuckGeese,GPT4TS,270,5,768,768,16,4,0.56,86217221,343.57
DuckDuckGeese,GPT4TS,270,5,768,768,16,8,0.6,86045189,342.91
DuckDuckGeese,GPT4TS,270,5,768,768,16,16,0.52,85959173,342.58
DuckDuckGeese,GPT4TS,270,5,768,768,17,5,0.56,89246213,355.12
DuckDuckGeese,GPT4TS,270,5,768,768,17,9,0.58,89127941,354.67
DuckDuckGeese,GPT4TS,270,5,768,768,17,17,0.6,89052677,354.38
DuckDuckGeese,GPT4TS,270,5,768,768,18,5,0.58,92345093,366.94
DuckDuckGeese,GPT4TS,270,5,768,768,18,9,0.56,92226821,366.49
DuckDuckGeese,GPT4TS,270,5,768,768,18,18,0.6,92151557,366.2
DuckDuckGeese,GPT4TS,270,5,768,768,20,5,0.58,98542853,390.59
DuckDuckGeese,GPT4TS,270,5,768,768,20,10,0.58,98408453,390.07
DuckDuckGeese,GPT4TS,270,5,768,768,20,20,0.5,98338565,389.81
DuckDuckGeese,GPT4TS,270,5,768,768,21,6,0.6,101593349,402.22
DuckDuckGeese,GPT4TS,270,5,768,768,21,11,0.5,101491205,401.83
DuckDuckGeese,GPT4TS,270,5,768,768,21,21,0.5,101432069,401.61
DuckDuckGeese,GPT4TS,270,5,768,768,23,6,0.58,107791109,425.86
DuckDuckGeese,GPT4TS,270,5,768,768,23,12,0.54,107678213,425.43
DuckDuckGeese,GPT4TS,270,5,768,768,23,23,0.48,107624453,425.23
DuckDuckGeese,GPT4TS,270,5,768,768,25,7,0.6,113956613,449.38
DuckDuckGeese,GPT4TS,270,5,768,768,25,13,0.42,113865221,449.04
DuckDuckGeese,GPT4TS,270,5,768,768,25,25,0.52,113816837,448.85
DuckDuckGeese,GPT4TS,270,5,768,768,27,7,0.52,120148997,473.01
DuckDuckGeese,GPT4TS,270,5,768,768,27,14,0.58,120057605,472.66
DuckDuckGeese,GPT4TS,270,5,768,768,27,27,0.56,120014597,472.49
DuckDuckGeese,GPT4TS,270,5,768,768,30,8,0.52,129424133,508.39
