data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
EigenWorms,GPT4TS,17984,6,768,768,720,180,0.549618320610687,53848325,220.09
EigenWorms,GPT4TS,17984,6,768,768,720,360,0.6641221374045801,53590277,219.11
EigenWorms,GPT4TS,17984,6,768,768,720,720,0.5267175572519084,53461253,218.62
EigenWorms,GPT4TS,17984,6,768,768,750,188,0.5725190839694656,54241541,221.59
EigenWorms,GPT4TS,17984,6,768,768,750,375,0.6030534351145038,53994245,220.65
EigenWorms,GPT4TS,17984,6,768,768,750,750,0.549618320610687,53870597,220.18
EigenWorms,GPT4TS,17984,6,768,768,782,196,0.5419847328244275,54662405,223.2
EigenWorms,GPT4TS,17984,6,768,768,782,391,0.5572519083969466,54425861,222.3
EigenWorms,GPT4TS,17984,6,768,768,782,782,0.5267175572519084,54307589,221.85
EigenWorms,GPT4TS,17984,6,768,768,818,205,0.5801526717557252,55138565,225.02
EigenWorms,GPT4TS,17984,6,768,768,818,409,0.5648854961832062,54912773,224.15
EigenWorms,GPT4TS,17984,6,768,768,818,818,0.5572519083969466,54799877,223.72
EigenWorms,GPT4TS,17984,6,768,768,857,215,0.5954198473282443,55656197,226.99
EigenWorms,GPT4TS,17984,6,768,768,857,429,0.5572519083969466,55441157,226.17
EigenWorms,GPT4TS,17984,6,768,768,857,857,0.4961832061068702,55333637,225.76
EigenWorms,GPT4TS,17984,6,768,768,900,225,0.5725190839694656,56229125,229.18
EigenWorms,GPT4TS,17984,6,768,768,900,450,0.5572519083969466,56024837,228.4
EigenWorms,GPT4TS,17984,6,768,768,900,900,0.5954198473282443,55922693,228.01
EigenWorms,GPT4TS,17984,6,768,768,947,237,0.5801526717557252,56857349,231.57
EigenWorms,GPT4TS,17984,6,768,768,947,474,0.5725190839694656,56663813,230.83
EigenWorms,GPT4TS,17984,6,768,768,947,947,0.5725190839694656,56567045,230.46
EigenWorms,GPT4TS,17984,6,768,768,1000,250,0.5572519083969466,57568517,234.28
EigenWorms,GPT4TS,17984,6,768,768,1000,500,0.5572519083969466,57385733,233.59
EigenWorms,GPT4TS,17984,6,768,768,1000,1000,0.5725190839694656,57294341,233.24
EigenWorms,GPT4TS,17984,6,768,768,1058,265,0.6030534351145038,58348805,237.26
EigenWorms,GPT4TS,17984,6,768,768,1058,529,0.5648854961832062,58176773,236.6
EigenWorms,GPT4TS,17984,6,768,768,1058,1058,0.5419847328244275,58090757,236.28
EigenWorms,GPT4TS,17984,6,768,768,1124,281,0.5877862595419847,59245061,240.68
EigenWorms,GPT4TS,17984,6,768,768,1124,562,0.5267175572519084,59083781,240.06
EigenWorms,GPT4TS,17984,6,768,768,1124,1124,0.5419847328244275,59003141,239.76
EigenWorms,GPT4TS,17984,6,768,768,1199,300,0.5419847328244275,60254981,244.53
EigenWorms,GPT4TS,17984,6,768,768,1199,600,0.5572519083969466,60104453,243.96
EigenWorms,GPT4TS,17984,6,768,768,1199,1199,0.5343511450381679,60029189,243.67
EigenWorms,GPT4TS,17984,6,768,768,1285,322,0.5877862595419847,61422341,248.99
EigenWorms,GPT4TS,17984,6,768,768,1285,643,0.5572519083969466,61282565,248.45
EigenWorms,GPT4TS,17984,6,768,768,1285,1285,0.549618320610687,61212677,248.19
EigenWorms,GPT4TS,17984,6,768,768,1384,346,0.5801526717557252,62769413,254.12
EigenWorms,GPT4TS,17984,6,768,768,1384,692,0.5877862595419847,62640389,253.63
EigenWorms,GPT4TS,17984,6,768,768,1384,1384,0.5114503816793893,62575877,253.39
