data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
Epilepsy,GPT4TS,206,6,768,768,9,3,0.8405797101449275,43744516,181.55
Epilepsy,GPT4TS,206,6,768,768,9,5,0.8840579710144928,43624708,181.09
Epilepsy,GPT4TS,206,6,768,768,9,9,0.855072463768116,43541764,180.78
Epilepsy,GPT4TS,206,6,768,768,10,3,0.8405797101449275,43751428,181.58
Epilepsy,GPT4TS,206,6,768,768,10,5,0.8695652173913043,43631620,181.12
Epilepsy,GPT4TS,206,6,768,768,10,10,0.8623188405797102,43539460,180.77
Epilepsy,GPT4TS,206,6,768,768,11,3,0.8695652173913043,43758340,181.6
Epilepsy,GPT4TS,206,6,768,768,11,6,0.8695652173913043,43606276,181.02
Epilepsy,GPT4TS,206,6,768,768,11,11,0.8188405797101449,43537156,180.76
Epilepsy,GPT4TS,206,6,768,768,12,3,0.8768115942028986,43760644,181.61
Epilepsy,GPT4TS,206,6,768,768,12,6,0.8260869565217391,43613188,181.05
Epilepsy,GPT4TS,206,6,768,768,12,12,0.8260869565217391,43539460,180.77
Epilepsy,GPT4TS,206,6,768,768,13,4,0.8623188405797102,43693828,181.36
Epilepsy,GPT4TS,206,6,768,768,13,7,0.8695652173913043,43597060,180.99
Epilepsy,GPT4TS,206,6,768,768,13,13,0.8188405797101449,43537156,180.76
Epilepsy,GPT4TS,206,6,768,768,14,4,0.8695652173913043,43700740,181.38
Epilepsy,GPT4TS,206,6,768,768,14,7,0.855072463768116,43603972,181.01
Epilepsy,GPT4TS,206,6,768,768,14,14,0.8405797101449275,43539460,180.77
Epilepsy,GPT4TS,206,6,768,768,15,4,0.8478260869565217,43703044,181.39
Epilepsy,GPT4TS,206,6,768,768,15,8,0.8478260869565217,43592452,180.97
Epilepsy,GPT4TS,206,6,768,768,15,15,0.8188405797101449,43541764,180.78
Epilepsy,GPT4TS,206,6,768,768,16,4,0.8695652173913043,43709956,181.42
Epilepsy,GPT4TS,206,6,768,768,16,8,0.855072463768116,43599364,181.0
Epilepsy,GPT4TS,206,6,768,768,16,16,0.8405797101449275,43544068,180.79
Epilepsy,GPT4TS,206,6,768,768,18,5,0.8768115942028986,43677700,181.3
Epilepsy,GPT4TS,206,6,768,768,18,9,0.8405797101449275,43599364,181.0
Epilepsy,GPT4TS,206,6,768,768,18,18,0.7898550724637681,43553284,180.82
Epilepsy,GPT4TS,206,6,768,768,19,5,0.8695652173913043,43684612,181.32
Epilepsy,GPT4TS,206,6,768,768,19,10,0.8405797101449275,43597060,180.99
Epilepsy,GPT4TS,206,6,768,768,19,19,0.8333333333333334,43555588,180.83
Epilepsy,GPT4TS,206,6,768,768,21,6,0.8405797101449275,43666180,181.25
Epilepsy,GPT4TS,206,6,768,768,21,11,0.8260869565217391,43601668,181.01
Epilepsy,GPT4TS,206,6,768,768,21,21,0.8333333333333334,43564804,180.86
Epilepsy,GPT4TS,206,6,768,768,23,6,0.855072463768116,43680004,181.3
Epilepsy,GPT4TS,206,6,768,768,23,12,0.855072463768116,43610884,181.04
Epilepsy,GPT4TS,206,6,768,768,23,23,0.8115942028985508,43574020,180.9
Epilepsy,GPT4TS,206,6,768,768,26,7,0.8840579710144928,43677700,181.3
Epilepsy,GPT4TS,206,6,768,768,26,13,0.8333333333333334,43622404,181.08
Epilepsy,GPT4TS,206,6,768,768,26,26,0.8115942028985508,43590148,180.96
Epilepsy,GPT4TS,206,6,768,768,30,8,0.8478260869565217,43691524,181.35
Epilepsy,GPT4TS,206,6,768,768,30,15,0.855072463768116,43640836,181.15
Epilepsy,GPT4TS,206,6,768,768,30,30,0.8115942028985508,43613188,181.05
Epilepsy,GPT4TS,206,6,768,768,35,9,0.8333333333333334,43712260,181.43
Epilepsy,GPT4TS,206,6,768,768,35,18,0.8043478260869565,43666180,181.25
Epilepsy,GPT4TS,206,6,768,768,35,35,0.7971014492753623,43643140,181.16
Epilepsy,GPT4TS,206,6,768,768,42,11,0.8115942028985508,43737604,181.52
Epilepsy,GPT4TS,206,6,768,768,42,21,0.8188405797101449,43705348,181.4
Epilepsy,GPT4TS,206,6,768,768,42,42,0.7971014492753623,43686916,181.33
Epilepsy,GPT4TS,206,5,768,768,9,3,0.8623188405797102,36656644,154.51
Epilepsy,GPT4TS,206,5,768,768,9,5,0.8768115942028986,36536836,154.05
Epilepsy,GPT4TS,206,5,768,768,9,9,0.8333333333333334,36453892,153.73
Epilepsy,GPT4TS,206,5,768,768,10,3,0.8405797101449275,36663556,154.53
Epilepsy,GPT4TS,206,5,768,768,10,5,0.8695652173913043,36543748,154.08
Epilepsy,GPT4TS,206,5,768,768,10,10,0.8478260869565217,36451588,153.73
Epilepsy,GPT4TS,206,5,768,768,11,3,0.8840579710144928,36670468,154.56
Epilepsy,GPT4TS,206,5,768,768,11,6,0.8623188405797102,36518404,153.98
Epilepsy,GPT4TS,206,5,768,768,11,11,0.8260869565217391,36449284,153.72
Epilepsy,GPT4TS,206,5,768,768,12,3,0.8695652173913043,36672772,154.57
Epilepsy,GPT4TS,206,5,768,768,12,6,0.8405797101449275,36525316,154.01
Epilepsy,GPT4TS,206,5,768,768,12,12,0.8260869565217391,36451588,153.73
Epilepsy,GPT4TS,206,5,768,768,13,4,0.8913043478260869,36605956,154.31
Epilepsy,GPT4TS,206,5,768,768,13,7,0.855072463768116,36509188,153.95
Epilepsy,GPT4TS,206,5,768,768,13,13,0.8405797101449275,36449284,153.72
Epilepsy,GPT4TS,206,5,768,768,14,4,0.8840579710144928,36612868,154.34
Epilepsy,GPT4TS,206,5,768,768,14,7,0.855072463768116,36516100,153.97
Epilepsy,GPT4TS,206,5,768,768,14,14,0.8405797101449275,36451588,153.73
Epilepsy,GPT4TS,206,5,768,768,15,4,0.855072463768116,36615172,154.35
Epilepsy,GPT4TS,206,5,768,768,15,8,0.855072463768116,36504580,153.93
Epilepsy,GPT4TS,206,5,768,768,15,15,0.8188405797101449,36453892,153.73
Epilepsy,GPT4TS,206,5,768,768,16,4,0.855072463768116,36622084,154.38
Epilepsy,GPT4TS,206,5,768,768,16,8,0.8478260869565217,36511492,153.95
Epilepsy,GPT4TS,206,5,768,768,16,16,0.8188405797101449,36456196,153.74
Epilepsy,GPT4TS,206,5,768,768,18,5,0.855072463768116,36589828,154.25
Epilepsy,GPT4TS,206,5,768,768,18,9,0.8333333333333334,36511492,153.95
Epilepsy,GPT4TS,206,5,768,768,18,18,0.8115942028985508,36465412,153.78
Epilepsy,GPT4TS,206,5,768,768,19,5,0.8405797101449275,36596740,154.28
Epilepsy,GPT4TS,206,5,768,768,19,10,0.8623188405797102,36509188,153.95
Epilepsy,GPT4TS,206,5,768,768,19,19,0.8333333333333334,36467716,153.79
Epilepsy,GPT4TS,206,5,768,768,21,6,0.8623188405797102,36578308,154.21
Epilepsy,GPT4TS,206,5,768,768,21,11,0.8333333333333334,36513796,153.96
Epilepsy,GPT4TS,206,5,768,768,21,21,0.8333333333333334,36476932,153.82
Epilepsy,GPT4TS,206,5,768,768,23,6,0.8623188405797102,36592132,154.26
Epilepsy,GPT4TS,206,5,768,768,23,12,0.8333333333333334,36523012,154.0
Epilepsy,GPT4TS,206,5,768,768,23,23,0.8115942028985508,36486148,153.86
Epilepsy,GPT4TS,206,5,768,768,26,7,0.8768115942028986,36589828,154.25
Epilepsy,GPT4TS,206,5,768,768,26,13,0.8405797101449275,36534532,154.04
Epilepsy,GPT4TS,206,5,768,768,26,26,0.8188405797101449,36502276,153.92
Epilepsy,GPT4TS,206,5,768,768,30,8,0.855072463768116,36603652,154.31
Epilepsy,GPT4TS,206,5,768,768,30,15,0.855072463768116,36552964,154.11
Epilepsy,GPT4TS,206,5,768,768,30,30,0.8043478260869565,36525316,154.01
Epilepsy,GPT4TS,206,5,768,768,35,9,0.8405797101449275,36624388,154.38
Epilepsy,GPT4TS,206,5,768,768,35,18,0.8043478260869565,36578308,154.21
Epilepsy,GPT4TS,206,5,768,768,35,35,0.782608695652174,36555268,154.12
Epilepsy,GPT4TS,206,5,768,768,42,11,0.8043478260869565,36649732,154.48
Epilepsy,GPT4TS,206,5,768,768,42,21,0.8188405797101449,36617476,154.36
Epilepsy,GPT4TS,206,5,768,768,42,42,0.7971014492753623,36599044,154.29
Epilepsy,GPT4TS,206,4,768,768,9,3,0.855072463768116,29568772,127.47
Epilepsy,GPT4TS,206,4,768,768,9,5,0.855072463768116,29448964,127.01
Epilepsy,GPT4TS,206,4,768,768,9,9,0.8478260869565217,29366020,126.69
Epilepsy,GPT4TS,206,4,768,768,10,3,0.8623188405797102,29575684,127.49
Epilepsy,GPT4TS,206,4,768,768,10,5,0.8623188405797102,29455876,127.04
Epilepsy,GPT4TS,206,4,768,768,10,10,0.855072463768116,29363716,126.68
Epilepsy,GPT4TS,206,4,768,768,11,3,0.8913043478260869,29582596,127.52
Epilepsy,GPT4TS,206,4,768,768,11,6,0.8695652173913043,29430532,126.94
Epilepsy,GPT4TS,206,4,768,768,11,11,0.8333333333333334,29361412,126.67
Epilepsy,GPT4TS,206,4,768,768,12,3,0.8768115942028986,29584900,127.53
Epilepsy,GPT4TS,206,4,768,768,12,6,0.8405797101449275,29437444,126.96
Epilepsy,GPT4TS,206,4,768,768,12,12,0.8188405797101449,29363716,126.68
Epilepsy,GPT4TS,206,4,768,768,13,4,0.8695652173913043,29518084,127.27
Epilepsy,GPT4TS,206,4,768,768,13,7,0.8623188405797102,29421316,126.9
Epilepsy,GPT4TS,206,4,768,768,13,13,0.8115942028985508,29361412,126.67
Epilepsy,GPT4TS,206,4,768,768,14,4,0.8840579710144928,29524996,127.3
Epilepsy,GPT4TS,206,4,768,768,14,7,0.8478260869565217,29428228,126.93
Epilepsy,GPT4TS,206,4,768,768,14,14,0.8188405797101449,29363716,126.68
Epilepsy,GPT4TS,206,4,768,768,15,4,0.8623188405797102,29527300,127.31
Epilepsy,GPT4TS,206,4,768,768,15,8,0.8333333333333334,29416708,126.89
Epilepsy,GPT4TS,206,4,768,768,15,15,0.8115942028985508,29366020,126.69
Epilepsy,GPT4TS,206,4,768,768,16,4,0.8985507246376812,29534212,127.33
Epilepsy,GPT4TS,206,4,768,768,16,8,0.8623188405797102,29423620,126.91
Epilepsy,GPT4TS,206,4,768,768,16,16,0.8333333333333334,29368324,126.7
Epilepsy,GPT4TS,206,4,768,768,18,5,0.8695652173913043,29501956,127.21
Epilepsy,GPT4TS,206,4,768,768,18,9,0.8478260869565217,29423620,126.91
Epilepsy,GPT4TS,206,4,768,768,18,18,0.8188405797101449,29377540,126.74
Epilepsy,GPT4TS,206,4,768,768,19,5,0.8478260869565217,29508868,127.24
Epilepsy,GPT4TS,206,4,768,768,19,10,0.855072463768116,29421316,126.9
Epilepsy,GPT4TS,206,4,768,768,19,19,0.8260869565217391,29379844,126.75
Epilepsy,GPT4TS,206,4,768,768,21,6,0.8695652173913043,29490436,127.17
Epilepsy,GPT4TS,206,4,768,768,21,11,0.8478260869565217,29425924,126.92
Epilepsy,GPT4TS,206,4,768,768,21,21,0.8188405797101449,29389060,126.78
Epilepsy,GPT4TS,206,4,768,768,23,6,0.8478260869565217,29504260,127.22
Epilepsy,GPT4TS,206,4,768,768,23,12,0.8405797101449275,29435140,126.96
Epilepsy,GPT4TS,206,4,768,768,23,23,0.7971014492753623,29398276,126.82
Epilepsy,GPT4TS,206,4,768,768,26,7,0.8405797101449275,29501956,127.21
Epilepsy,GPT4TS,206,4,768,768,26,13,0.8405797101449275,29446660,127.0
Epilepsy,GPT4TS,206,4,768,768,26,26,0.7971014492753623,29414404,126.88
Epilepsy,GPT4TS,206,4,768,768,30,8,0.8260869565217391,29515780,127.26
Epilepsy,GPT4TS,206,4,768,768,30,15,0.8695652173913043,29465092,127.07
Epilepsy,GPT4TS,206,4,768,768,30,30,0.8043478260869565,29437444,126.96
Epilepsy,GPT4TS,206,4,768,768,35,9,0.8478260869565217,29536516,127.34
Epilepsy,GPT4TS,206,4,768,768,35,18,0.8043478260869565,29490436,127.17
Epilepsy,GPT4TS,206,4,768,768,35,35,0.7753623188405797,29467396,127.08
Epilepsy,GPT4TS,206,4,768,768,42,11,0.8115942028985508,29561860,127.44
Epilepsy,GPT4TS,206,4,768,768,42,21,0.8260869565217391,29529604,127.32
Epilepsy,GPT4TS,206,4,768,768,42,42,0.7971014492753623,29511172,127.25
Epilepsy,GPT4TS,206,3,768,768,9,3,0.8768115942028986,22480900,100.42
Epilepsy,GPT4TS,206,3,768,768,9,5,0.8768115942028986,22361092,99.97
Epilepsy,GPT4TS,206,3,768,768,9,9,0.8260869565217391,22278148,99.65
Epilepsy,GPT4TS,206,3,768,768,10,3,0.855072463768116,22487812,100.45
Epilepsy,GPT4TS,206,3,768,768,10,5,0.8768115942028986,22368004,99.99
Epilepsy,GPT4TS,206,3,768,768,10,10,0.8405797101449275,22275844,99.64
Epilepsy,GPT4TS,206,3,768,768,11,3,0.8768115942028986,22494724,100.48
Epilepsy,GPT4TS,206,3,768,768,11,6,0.8405797101449275,22342660,99.9
Epilepsy,GPT4TS,206,3,768,768,11,11,0.8260869565217391,22273540,99.63
Epilepsy,GPT4TS,206,3,768,768,12,3,0.8768115942028986,22497028,100.49
Epilepsy,GPT4TS,206,3,768,768,12,6,0.8115942028985508,22349572,99.92
Epilepsy,GPT4TS,206,3,768,768,12,12,0.8188405797101449,22275844,99.64
Epilepsy,GPT4TS,206,3,768,768,13,4,0.855072463768116,22430212,100.23
Epilepsy,GPT4TS,206,3,768,768,13,7,0.8333333333333334,22333444,99.86
Epilepsy,GPT4TS,206,3,768,768,13,13,0.8115942028985508,22273540,99.63
Epilepsy,GPT4TS,206,3,768,768,14,4,0.855072463768116,22437124,100.26
Epilepsy,GPT4TS,206,3,768,768,14,7,0.8478260869565217,22340356,99.89
Epilepsy,GPT4TS,206,3,768,768,14,14,0.8188405797101449,22275844,99.64
Epilepsy,GPT4TS,206,3,768,768,15,4,0.8478260869565217,22439428,100.27
Epilepsy,GPT4TS,206,3,768,768,15,8,0.8333333333333334,22328836,99.84
Epilepsy,GPT4TS,206,3,768,768,15,15,0.8405797101449275,22278148,99.65
Epilepsy,GPT4TS,206,3,768,768,16,4,0.8840579710144928,22446340,100.29
Epilepsy,GPT4TS,206,3,768,768,16,8,0.8623188405797102,22335748,99.87
Epilepsy,GPT4TS,206,3,768,768,16,16,0.8333333333333334,22280452,99.66
Epilepsy,GPT4TS,206,3,768,768,18,5,0.8623188405797102,22414084,100.17
Epilepsy,GPT4TS,206,3,768,768,18,9,0.8405797101449275,22335748,99.87
Epilepsy,GPT4TS,206,3,768,768,18,18,0.8115942028985508,22289668,99.69
Epilepsy,GPT4TS,206,3,768,768,19,5,0.8333333333333334,22420996,100.2
Epilepsy,GPT4TS,206,3,768,768,19,10,0.8333333333333334,22333444,99.86
Epilepsy,GPT4TS,206,3,768,768,19,19,0.8188405797101449,22291972,99.7
Epilepsy,GPT4TS,206,3,768,768,21,6,0.8623188405797102,22402564,100.12
Epilepsy,GPT4TS,206,3,768,768,21,11,0.8405797101449275,22338052,99.88
Epilepsy,GPT4TS,206,3,768,768,21,21,0.8333333333333334,22301188,99.74
Epilepsy,GPT4TS,206,3,768,768,23,6,0.8478260869565217,22416388,100.18
Epilepsy,GPT4TS,206,3,768,768,23,12,0.8405797101449275,22347268,99.91
Epilepsy,GPT4TS,206,3,768,768,23,23,0.8115942028985508,22310404,99.77
Epilepsy,GPT4TS,206,3,768,768,26,7,0.8478260869565217,22414084,100.17
Epilepsy,GPT4TS,206,3,768,768,26,13,0.8405797101449275,22358788,99.96
Epilepsy,GPT4TS,206,3,768,768,26,26,0.8115942028985508,22326532,99.83
Epilepsy,GPT4TS,206,3,768,768,30,8,0.8478260869565217,22427908,100.22
Epilepsy,GPT4TS,206,3,768,768,30,15,0.8478260869565217,22377220,100.03
Epilepsy,GPT4TS,206,3,768,768,30,30,0.8260869565217391,22349572,99.92
Epilepsy,GPT4TS,206,3,768,768,35,9,0.8333333333333334,22448644,100.3
Epilepsy,GPT4TS,206,3,768,768,35,18,0.782608695652174,22402564,100.12
Epilepsy,GPT4TS,206,3,768,768,35,35,0.7753623188405797,22379524,100.04
Epilepsy,GPT4TS,206,3,768,768,42,11,0.8115942028985508,22473988,100.4
