data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
EthanolConcentration,GPT4TS,1751,6,768,768,71,18,0.2661596958174905,44302084,183.68
EthanolConcentration,GPT4TS,1751,6,768,768,71,36,0.2737642585551331,44085508,182.85
EthanolConcentration,GPT4TS,1751,6,768,768,71,71,0.2623574144486692,43979524,182.45
EthanolConcentration,GPT4TS,1751,6,768,768,73,19,0.2813688212927757,44292868,183.64
EthanolConcentration,GPT4TS,1751,6,768,768,73,37,0.2737642585551331,44094724,182.89
EthanolConcentration,GPT4TS,1751,6,768,768,73,73,0.2813688212927757,43988740,182.48
EthanolConcentration,GPT4TS,1751,6,768,768,77,20,0.2737642585551331,44297476,183.66
EthanolConcentration,GPT4TS,1751,6,768,768,77,39,0.27756653992395436,44108548,182.94
EthanolConcentration,GPT4TS,1751,6,768,768,77,77,0.2813688212927757,44011780,182.57
EthanolConcentration,GPT4TS,1751,6,768,768,80,20,0.27756653992395436,44318212,183.74
EthanolConcentration,GPT4TS,1751,6,768,768,80,40,0.29277566539923955,44124676,183.0
EthanolConcentration,GPT4TS,1751,6,768,768,80,80,0.2737642585551331,44027908,182.63
EthanolConcentration,GPT4TS,1751,6,768,768,84,21,0.2737642585551331,44327428,183.77
EthanolConcentration,GPT4TS,1751,6,768,768,84,42,0.2623574144486692,44143108,183.07
EthanolConcentration,GPT4TS,1751,6,768,768,84,84,0.2813688212927757,44050948,182.72
EthanolConcentration,GPT4TS,1751,6,768,768,88,22,0.26996197718631176,44336644,183.81
EthanolConcentration,GPT4TS,1751,6,768,768,88,44,0.2661596958174905,44161540,183.14
EthanolConcentration,GPT4TS,1751,6,768,768,88,88,0.26996197718631176,44073988,182.81
EthanolConcentration,GPT4TS,1751,6,768,768,93,24,0.2813688212927757,44343556,183.84
EthanolConcentration,GPT4TS,1751,6,768,768,93,47,0.2813688212927757,44186884,183.24
EthanolConcentration,GPT4TS,1751,6,768,768,93,93,0.2813688212927757,44103940,182.92
EthanolConcentration,GPT4TS,1751,6,768,768,98,25,0.2737642585551331,44364292,183.91
EthanolConcentration,GPT4TS,1751,6,768,768,98,49,0.30038022813688214,44212228,183.33
EthanolConcentration,GPT4TS,1751,6,768,768,98,98,0.28517110266159695,44133892,183.04
EthanolConcentration,GPT4TS,1751,6,768,768,103,26,0.26996197718631176,44385028,183.99
EthanolConcentration,GPT4TS,1751,6,768,768,103,52,0.26996197718631176,44237572,183.43
EthanolConcentration,GPT4TS,1751,6,768,768,103,103,0.2661596958174905,44168452,183.17
EthanolConcentration,GPT4TS,1751,6,768,768,110,28,0.2889733840304182,44410372,184.09
EthanolConcentration,GPT4TS,1751,6,768,768,110,55,0.2661596958174905,44276740,183.58
EthanolConcentration,GPT4TS,1751,6,768,768,110,110,0.28517110266159695,44207620,183.32
EthanolConcentration,GPT4TS,1751,6,768,768,117,30,0.28517110266159695,44440324,184.2
EthanolConcentration,GPT4TS,1751,6,768,768,117,59,0.3041825095057034,44315908,183.73
EthanolConcentration,GPT4TS,1751,6,768,768,117,117,0.2965779467680608,44251396,183.48
EthanolConcentration,GPT4TS,1751,6,768,768,126,32,0.29277566539923955,44484100,184.37
EthanolConcentration,GPT4TS,1751,6,768,768,126,63,0.2813688212927757,44368900,183.93
EthanolConcentration,GPT4TS,1751,6,768,768,126,126,0.2661596958174905,44308996,183.7
EthanolConcentration,GPT4TS,1751,6,768,768,135,34,0.2737642585551331,44532484,184.56
EthanolConcentration,GPT4TS,1751,6,768,768,135,68,0.3155893536121673,44421892,184.13
EthanolConcentration,GPT4TS,1751,6,768,768,135,135,0.2813688212927757,44366596,183.92
EthanolConcentration,GPT4TS,1751,6,768,768,146,37,0.27756653992395436,44590084,184.78
EthanolConcentration,GPT4TS,1751,6,768,768,146,73,0.2813688212927757,44488708,184.39
EthanolConcentration,GPT4TS,1751,6,768,768,146,146,0.2813688212927757,44438020,184.2
EthanolConcentration,GPT4TS,1751,6,768,768,160,40,0.28517110266159695,44668420,185.07
EthanolConcentration,GPT4TS,1751,6,768,768,160,80,0.29277566539923955,44576260,184.72
