data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
InsectWingbeat,GPT4TS,22,6,768,768,2,1,0.61396,44497930,184.42
InsectWingbeat,GPT4TS,22,6,768,768,2,2,0.57412,44405770,184.07
InsectWingbeat,GPT4TS,22,6,768,768,3,1,0.60244,44949514,186.15
InsectWingbeat,GPT4TS,22,6,768,768,3,2,0.56676,44857354,185.8
InsectWingbeat,GPT4TS,22,6,768,768,3,3,0.56208,44829706,185.69
InsectWingbeat,GPT4TS,22,6,768,768,4,1,0.59744,45401098,187.87
InsectWingbeat,GPT4TS,22,6,768,768,4,2,0.577,45318154,187.55
InsectWingbeat,GPT4TS,22,6,768,768,4,4,0.5532,45272074,187.38
InsectWingbeat,GPT4TS,22,6,768,768,5,2,0.566,45769738,189.28
InsectWingbeat,GPT4TS,22,6,768,768,5,3,0.55224,45742090,189.17
InsectWingbeat,GPT4TS,22,6,768,768,5,5,0.54836,45723658,189.1
InsectWingbeat,GPT4TS,22,5,768,768,2,1,0.6138,37410058,157.38
InsectWingbeat,GPT4TS,22,5,768,768,2,2,0.57692,37317898,157.03
InsectWingbeat,GPT4TS,22,5,768,768,3,1,0.60208,37861642,159.1
InsectWingbeat,GPT4TS,22,5,768,768,3,2,0.57388,37769482,158.75
InsectWingbeat,GPT4TS,22,5,768,768,3,3,0.56092,37741834,158.65
InsectWingbeat,GPT4TS,22,5,768,768,4,1,0.59892,38313226,160.83
InsectWingbeat,GPT4TS,22,5,768,768,4,2,0.57456,38230282,160.51
InsectWingbeat,GPT4TS,22,5,768,768,4,4,0.55068,38184202,160.34
InsectWingbeat,GPT4TS,22,5,768,768,5,2,0.56524,38681866,162.23
InsectWingbeat,GPT4TS,22,5,768,768,5,3,0.55284,38654218,162.13
InsectWingbeat,GPT4TS,22,5,768,768,5,5,0.53904,38635786,162.06
InsectWingbeat,GPT4TS,22,4,768,768,2,1,0.6086,30322186,130.34
InsectWingbeat,GPT4TS,22,4,768,768,2,2,0.58004,30230026,129.99
InsectWingbeat,GPT4TS,22,4,768,768,3,1,0.60404,30773770,132.06
InsectWingbeat,GPT4TS,22,4,768,768,3,2,0.57484,30681610,131.71
InsectWingbeat,GPT4TS,22,4,768,768,3,3,0.56468,30653962,131.61
InsectWingbeat,GPT4TS,22,4,768,768,4,1,0.60608,31225354,133.79
InsectWingbeat,GPT4TS,22,4,768,768,4,2,0.5756,31142410,133.47
InsectWingbeat,GPT4TS,22,4,768,768,4,4,0.5548,31096330,133.29
InsectWingbeat,GPT4TS,22,4,768,768,5,2,0.56672,31593994,135.19
InsectWingbeat,GPT4TS,22,4,768,768,5,3,0.55772,31566346,135.09
InsectWingbeat,GPT4TS,22,4,768,768,5,5,0.54704,31547914,135.02
InsectWingbeat,GPT4TS,22,3,768,768,2,1,0.60484,23234314,103.3
InsectWingbeat,GPT4TS,22,3,768,768,2,2,0.57856,23142154,102.95
InsectWingbeat,GPT4TS,22,3,768,768,3,1,0.60224,23685898,105.02
InsectWingbeat,GPT4TS,22,3,768,768,3,2,0.5712,23593738,104.67
InsectWingbeat,GPT4TS,22,3,768,768,3,3,0.56088,23566090,104.56
InsectWingbeat,GPT4TS,22,3,768,768,4,1,0.59164,24137482,106.74
InsectWingbeat,GPT4TS,22,3,768,768,4,2,0.5718,24054538,106.43
InsectWingbeat,GPT4TS,22,3,768,768,4,4,0.5532,24008458,106.25
InsectWingbeat,GPT4TS,22,3,768,768,5,2,0.56736,24506122,108.15
InsectWingbeat,GPT4TS,22,3,768,768,5,3,0.5568,24478474,108.04
InsectWingbeat,GPT4TS,22,3,768,768,5,5,0.55144,24460042,107.97
