data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
JapaneseVowels,GPT4TS,29,6,768,768,2,1,0.9756756756756757,43673865,181.28
JapaneseVowels,GPT4TS,29,6,768,768,2,2,0.9756756756756757,43555593,180.83
JapaneseVowels,GPT4TS,29,6,768,768,3,1,0.981081081081081,43693065,181.35
JapaneseVowels,GPT4TS,29,6,768,768,3,2,0.9783783783783784,43583241,180.93
JapaneseVowels,GPT4TS,29,6,768,768,3,3,0.981081081081081,43541001,180.77
JapaneseVowels,GPT4TS,29,6,768,768,4,1,0.9783783783783784,43712265,181.43
JapaneseVowels,GPT4TS,29,6,768,768,4,2,0.9756756756756757,43602441,181.01
JapaneseVowels,GPT4TS,29,6,768,768,4,4,0.9702702702702702,43551753,180.81
JapaneseVowels,GPT4TS,29,6,768,768,5,2,0.981081081081081,43630089,181.11
JapaneseVowels,GPT4TS,29,6,768,768,5,3,0.981081081081081,43596297,180.98
JapaneseVowels,GPT4TS,29,6,768,768,5,5,0.981081081081081,43562505,180.86
JapaneseVowels,GPT4TS,29,6,768,768,6,2,0.972972972972973,43649289,181.19
JapaneseVowels,GPT4TS,29,6,768,768,6,3,0.9756756756756757,43615497,181.06
JapaneseVowels,GPT4TS,29,6,768,768,6,6,0.9783783783783784,43581705,180.93
JapaneseVowels,GPT4TS,29,5,768,768,2,1,0.9756756756756757,36585993,154.24
JapaneseVowels,GPT4TS,29,5,768,768,2,2,0.981081081081081,36467721,153.79
JapaneseVowels,GPT4TS,29,5,768,768,3,1,0.972972972972973,36605193,154.31
JapaneseVowels,GPT4TS,29,5,768,768,3,2,0.9783783783783784,36495369,153.89
JapaneseVowels,GPT4TS,29,5,768,768,3,3,0.9783783783783784,36453129,153.73
JapaneseVowels,GPT4TS,29,5,768,768,4,1,0.9783783783783784,36624393,154.38
JapaneseVowels,GPT4TS,29,5,768,768,4,2,0.9783783783783784,36514569,153.97
JapaneseVowels,GPT4TS,29,5,768,768,4,4,0.972972972972973,36463881,153.77
JapaneseVowels,GPT4TS,29,5,768,768,5,2,0.9783783783783784,36542217,154.07
JapaneseVowels,GPT4TS,29,5,768,768,5,3,0.9756756756756757,36508425,153.94
JapaneseVowels,GPT4TS,29,5,768,768,5,5,0.9756756756756757,36474633,153.81
JapaneseVowels,GPT4TS,29,5,768,768,6,2,0.9756756756756757,36561417,154.14
JapaneseVowels,GPT4TS,29,5,768,768,6,3,0.9783783783783784,36527625,154.02
JapaneseVowels,GPT4TS,29,5,768,768,6,6,0.9783783783783784,36493833,153.89
JapaneseVowels,GPT4TS,29,4,768,768,2,1,0.9783783783783784,29498121,127.2
JapaneseVowels,GPT4TS,29,4,768,768,2,2,0.9783783783783784,29379849,126.75
JapaneseVowels,GPT4TS,29,4,768,768,3,1,0.9783783783783784,29517321,127.27
JapaneseVowels,GPT4TS,29,4,768,768,3,2,0.9783783783783784,29407497,126.85
JapaneseVowels,GPT4TS,29,4,768,768,3,3,0.9783783783783784,29365257,126.69
JapaneseVowels,GPT4TS,29,4,768,768,4,1,0.9783783783783784,29536521,127.34
JapaneseVowels,GPT4TS,29,4,768,768,4,2,0.972972972972973,29426697,126.92
JapaneseVowels,GPT4TS,29,4,768,768,4,4,0.9675675675675676,29376009,126.73
JapaneseVowels,GPT4TS,29,4,768,768,5,2,0.981081081081081,29454345,127.03
JapaneseVowels,GPT4TS,29,4,768,768,5,3,0.9783783783783784,29420553,126.9
JapaneseVowels,GPT4TS,29,4,768,768,5,5,0.9756756756756757,29386761,126.77
JapaneseVowels,GPT4TS,29,4,768,768,6,2,0.972972972972973,29473545,127.1
JapaneseVowels,GPT4TS,29,4,768,768,6,3,0.9756756756756757,29439753,126.97
JapaneseVowels,GPT4TS,29,4,768,768,6,6,0.9783783783783784,29405961,126.84
JapaneseVowels,GPT4TS,29,3,768,768,2,1,0.981081081081081,22410249,100.15
JapaneseVowels,GPT4TS,29,3,768,768,2,2,0.9756756756756757,22291977,99.7
JapaneseVowels,GPT4TS,29,3,768,768,3,1,0.981081081081081,22429449,100.23
JapaneseVowels,GPT4TS,29,3,768,768,3,2,0.981081081081081,22319625,99.81
JapaneseVowels,GPT4TS,29,3,768,768,3,3,0.9783783783783784,22277385,99.65
JapaneseVowels,GPT4TS,29,3,768,768,4,1,0.9756756756756757,22448649,100.3
JapaneseVowels,GPT4TS,29,3,768,768,4,2,0.9756756756756757,22338825,99.88
JapaneseVowels,GPT4TS,29,3,768,768,4,4,0.9756756756756757,22288137,99.69
JapaneseVowels,GPT4TS,29,3,768,768,5,2,0.9756756756756757,22366473,99.99
JapaneseVowels,GPT4TS,29,3,768,768,5,3,0.9783783783783784,22332681,99.86
JapaneseVowels,GPT4TS,29,3,768,768,5,5,0.9756756756756757,22298889,99.73
JapaneseVowels,GPT4TS,29,3,768,768,6,2,0.9702702702702702,22385673,100.06
JapaneseVowels,GPT4TS,29,3,768,768,6,3,0.9756756756756757,22351881,99.93
JapaneseVowels,GPT4TS,29,3,768,768,6,6,0.9783783783783784,22318089,99.8
