data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
LSST,GPT4TS,36,6,768,768,2,1,0.36942416869424166,43843598,181.93
LSST,GPT4TS,36,6,768,768,2,2,0.3426601784266018,43634702,181.13
LSST,GPT4TS,36,6,768,768,3,1,0.3710462287104623,43845134,181.93
LSST,GPT4TS,36,6,768,768,3,2,0.36253041362530414,43636238,181.14
LSST,GPT4TS,36,6,768,768,3,3,0.36009732360097324,43574798,180.9
LSST,GPT4TS,36,6,768,768,4,1,0.3637469586374696,43846670,181.94
LSST,GPT4TS,36,6,768,768,4,2,0.35766423357664234,43650062,181.19
LSST,GPT4TS,36,6,768,768,4,4,0.35766423357664234,43551758,180.81
LSST,GPT4TS,36,6,768,768,5,2,0.3548256285482563,43651598,181.2
LSST,GPT4TS,36,6,768,768,5,3,0.3491484184914842,43590158,180.96
LSST,GPT4TS,36,6,768,768,5,5,0.3629359286293593,43541006,180.77
LSST,GPT4TS,36,6,768,768,6,2,0.3495539334955393,43665422,181.25
LSST,GPT4TS,36,6,768,768,6,3,0.3519870235198702,43603982,181.01
LSST,GPT4TS,36,6,768,768,6,6,0.3523925385239254,43542542,180.78
LSST,GPT4TS,36,6,768,768,8,2,0.33698296836982966,43680782,181.31
LSST,GPT4TS,36,6,768,768,8,4,0.33495539334955393,43594766,180.98
LSST,GPT4TS,36,6,768,768,8,8,0.3422546634225466,43545614,180.79
LSST,GPT4TS,36,5,768,768,2,1,0.35928629359286296,36755726,154.89
LSST,GPT4TS,36,5,768,768,2,2,0.3357664233576642,36546830,154.09
LSST,GPT4TS,36,5,768,768,3,1,0.36739659367396593,36757262,154.89
LSST,GPT4TS,36,5,768,768,3,2,0.34387672343876724,36548366,154.09
LSST,GPT4TS,36,5,768,768,3,3,0.3564476885644769,36486926,153.86
LSST,GPT4TS,36,5,768,768,4,1,0.3613138686131387,36758798,154.9
LSST,GPT4TS,36,5,768,768,4,2,0.3402270884022709,36562190,154.15
LSST,GPT4TS,36,5,768,768,4,4,0.3572587185725872,36463886,153.77
LSST,GPT4TS,36,5,768,768,5,2,0.3515815085158151,36563726,154.15
LSST,GPT4TS,36,5,768,768,5,3,0.3499594484995945,36502286,153.92
LSST,GPT4TS,36,5,768,768,5,5,0.3313057583130576,36453134,153.73
LSST,GPT4TS,36,5,768,768,6,2,0.3609083536090835,36577550,154.21
LSST,GPT4TS,36,5,768,768,6,3,0.34387672343876724,36516110,153.97
LSST,GPT4TS,36,5,768,768,6,6,0.354014598540146,36454670,153.74
LSST,GPT4TS,36,5,768,768,8,2,0.35077047850770476,36592910,154.26
LSST,GPT4TS,36,5,768,768,8,4,0.33698296836982966,36506894,153.94
LSST,GPT4TS,36,5,768,768,8,8,0.3653690186536902,36457742,153.75
LSST,GPT4TS,36,4,768,768,2,1,0.3799675587996756,29667854,127.84
LSST,GPT4TS,36,4,768,768,2,2,0.3564476885644769,29458958,127.05
LSST,GPT4TS,36,4,768,768,3,1,0.37793998377939986,29669390,127.85
LSST,GPT4TS,36,4,768,768,3,2,0.3418491484184915,29460494,127.05
LSST,GPT4TS,36,4,768,768,3,3,0.3544201135442011,29399054,126.82
LSST,GPT4TS,36,4,768,768,4,1,0.35320356853203566,29670926,127.86
LSST,GPT4TS,36,4,768,768,4,2,0.3799675587996756,29474318,127.11
LSST,GPT4TS,36,4,768,768,4,4,0.3499594484995945,29376014,126.73
LSST,GPT4TS,36,4,768,768,5,2,0.34630981346309814,29475854,127.11
LSST,GPT4TS,36,4,768,768,5,3,0.3475263584752636,29414414,126.88
LSST,GPT4TS,36,4,768,768,5,5,0.33211678832116787,29365262,126.69
LSST,GPT4TS,36,4,768,768,6,2,0.3442822384428224,29489678,127.16
LSST,GPT4TS,36,4,768,768,6,3,0.3491484184914842,29428238,126.93
LSST,GPT4TS,36,4,768,768,6,6,0.3495539334955393,29366798,126.7
LSST,GPT4TS,36,4,768,768,8,2,0.3426601784266018,29505038,127.22
LSST,GPT4TS,36,4,768,768,8,4,0.3471208434712084,29419022,126.89
LSST,GPT4TS,36,4,768,768,8,8,0.34793187347931875,29369870,126.71
LSST,GPT4TS,36,3,768,768,2,1,0.38077858880778587,22579982,100.8
LSST,GPT4TS,36,3,768,768,2,2,0.3361719383617194,22371086,100.0
LSST,GPT4TS,36,3,768,768,3,1,0.3609083536090835,22581518,100.81
LSST,GPT4TS,36,3,768,768,3,2,0.37388483373884834,22372622,100.01
LSST,GPT4TS,36,3,768,768,3,3,0.34793187347931875,22311182,99.78
LSST,GPT4TS,36,3,768,768,4,1,0.3718572587185726,22583054,100.81
LSST,GPT4TS,36,3,768,768,4,2,0.35928629359286296,22386446,100.06
LSST,GPT4TS,36,3,768,768,4,4,0.33901054339010545,22288142,99.69
LSST,GPT4TS,36,3,768,768,5,2,0.3426601784266018,22387982,100.07
LSST,GPT4TS,36,3,768,768,5,3,0.3442822384428224,22326542,99.83
LSST,GPT4TS,36,3,768,768,5,5,0.33495539334955393,22277390,99.65
LSST,GPT4TS,36,3,768,768,6,2,0.36455798864557987,22401806,100.12
LSST,GPT4TS,36,3,768,768,6,3,0.3410381184103812,22340366,99.89
LSST,GPT4TS,36,3,768,768,6,6,0.3564476885644769,22278926,99.65
LSST,GPT4TS,36,3,768,768,8,2,0.3381995133819951,22417166,100.18
LSST,GPT4TS,36,3,768,768,8,4,0.32522303325223034,22331150,99.85
LSST,GPT4TS,36,3,768,768,8,8,0.3361719383617194,22281998,99.66
