data_name,model,seq_len,n_layers,d_model,d_ff,patch_size,patch_stride,acc,model_params,model_size (MB)
RacketSports,GPT4TS,30,6,768,768,2,1,0.8355263157894737,43539460,180.77
RacketSports,GPT4TS,30,6,768,768,2,2,0.868421052631579,43474948,180.52
RacketSports,GPT4TS,30,6,768,768,3,1,0.8157894736842105,43548676,180.8
RacketSports,GPT4TS,30,6,768,768,3,2,0.8421052631578947,43484164,180.56
RacketSports,GPT4TS,30,6,768,768,3,3,0.8421052631578947,43465732,180.49
RacketSports,GPT4TS,30,6,768,768,4,1,0.8552631578947368,43557892,180.84
RacketSports,GPT4TS,30,6,768,768,4,2,0.8223684210526315,43497988,180.61
RacketSports,GPT4TS,30,6,768,768,4,4,0.8026315789473685,43465732,180.49
RacketSports,GPT4TS,30,6,768,768,5,2,0.8289473684210527,43507204,180.64
RacketSports,GPT4TS,30,6,768,768,5,3,0.7960526315789473,43488772,180.57
RacketSports,GPT4TS,30,6,768,768,5,5,0.8092105263157895,43474948,180.52
RacketSports,GPT4TS,30,6,768,768,6,2,0.8026315789473685,43521028,180.7
RacketSports,GPT4TS,30,6,768,768,6,3,0.8289473684210527,43502596,180.63
RacketSports,GPT4TS,30,6,768,768,6,6,0.8289473684210527,43484164,180.56
RacketSports,GPT4TS,30,5,768,768,2,1,0.8355263157894737,36451588,153.73
RacketSports,GPT4TS,30,5,768,768,2,2,0.8552631578947368,36387076,153.48
RacketSports,GPT4TS,30,5,768,768,3,1,0.8223684210526315,36460804,153.76
RacketSports,GPT4TS,30,5,768,768,3,2,0.8618421052631579,36396292,153.51
RacketSports,GPT4TS,30,5,768,768,3,3,0.8421052631578947,36377860,153.44
RacketSports,GPT4TS,30,5,768,768,4,1,0.868421052631579,36470020,153.8
RacketSports,GPT4TS,30,5,768,768,4,2,0.8289473684210527,36410116,153.57
RacketSports,GPT4TS,30,5,768,768,4,4,0.8289473684210527,36377860,153.44
RacketSports,GPT4TS,30,5,768,768,5,2,0.8223684210526315,36419332,153.6
RacketSports,GPT4TS,30,5,768,768,5,3,0.8355263157894737,36400900,153.53
RacketSports,GPT4TS,30,5,768,768,5,5,0.8355263157894737,36387076,153.48
RacketSports,GPT4TS,30,5,768,768,6,2,0.8223684210526315,36433156,153.66
RacketSports,GPT4TS,30,5,768,768,6,3,0.8157894736842105,36414724,153.59
RacketSports,GPT4TS,30,5,768,768,6,6,0.8223684210526315,36396292,153.51
RacketSports,GPT4TS,30,4,768,768,2,1,0.8552631578947368,29363716,126.68
RacketSports,GPT4TS,30,4,768,768,2,2,0.8355263157894737,29299204,126.44
RacketSports,GPT4TS,30,4,768,768,3,1,0.8355263157894737,29372932,126.72
RacketSports,GPT4TS,30,4,768,768,3,2,0.8552631578947368,29308420,126.47
RacketSports,GPT4TS,30,4,768,768,3,3,0.8618421052631579,29289988,126.4
RacketSports,GPT4TS,30,4,768,768,4,1,0.8552631578947368,29382148,126.75
RacketSports,GPT4TS,30,4,768,768,4,2,0.8421052631578947,29322244,126.53
RacketSports,GPT4TS,30,4,768,768,4,4,0.8223684210526315,29289988,126.4
RacketSports,GPT4TS,30,4,768,768,5,2,0.8421052631578947,29331460,126.56
RacketSports,GPT4TS,30,4,768,768,5,3,0.8421052631578947,29313028,126.49
RacketSports,GPT4TS,30,4,768,768,5,5,0.8289473684210527,29299204,126.44
RacketSports,GPT4TS,30,4,768,768,6,2,0.8421052631578947,29345284,126.61
RacketSports,GPT4TS,30,4,768,768,6,3,0.8289473684210527,29326852,126.54
RacketSports,GPT4TS,30,4,768,768,6,6,0.8157894736842105,29308420,126.47
RacketSports,GPT4TS,30,3,768,768,2,1,0.8618421052631579,22275844,99.64
RacketSports,GPT4TS,30,3,768,768,2,2,0.8552631578947368,22211332,99.4
RacketSports,GPT4TS,30,3,768,768,3,1,0.8486842105263158,22285060,99.68
RacketSports,GPT4TS,30,3,768,768,3,2,0.8421052631578947,22220548,99.43
RacketSports,GPT4TS,30,3,768,768,3,3,0.8486842105263158,22202116,99.36
RacketSports,GPT4TS,30,3,768,768,4,1,0.8618421052631579,22294276,99.71
RacketSports,GPT4TS,30,3,768,768,4,2,0.8421052631578947,22234372,99.48
RacketSports,GPT4TS,30,3,768,768,4,4,0.8223684210526315,22202116,99.36
RacketSports,GPT4TS,30,3,768,768,5,2,0.8618421052631579,22243588,99.52
RacketSports,GPT4TS,30,3,768,768,5,3,0.8421052631578947,22225156,99.45
RacketSports,GPT4TS,30,3,768,768,5,5,0.8223684210526315,22211332,99.4
RacketSports,GPT4TS,30,3,768,768,6,2,0.8289473684210527,22257412,99.57
RacketSports,GPT4TS,30,3,768,768,6,3,0.8355263157894737,22238980,99.5
RacketSports,GPT4TS,30,3,768,768,6,6,0.8223684210526315,22220548,99.43
